Date,Symbol,Open,High,Low,Close
2018-01-22,NKVI,16.2700,16.7800,16.1700,16.3300
2018-01-23,NKVI,16.3200,16.5100,15.9700,16.1600
2018-01-24,NKVI,16.4100,16.4100,16.0700,16.3300
2018-01-25,NKVI,16.8300,17.0400,16.3100,16.7800
2018-01-26,NKVI,16.5600,17.2000,16.3100,16.6600
2018-01-29,NKVI,17.2700,17.2800,16.4800,16.5300
2018-01-30,NKVI,16.7500,17.9400,16.5900,17.6500
2018-01-31,NKVI,18.2900,18.2900,16.9300,17.9700
2018-02-01,NKVI,17.3700,17.3700,16.6500,17.2000
2018-02-02,NKVI,17.4500,18.3200,17.2900,17.5100
2018-02-05,NKVI,20.9400,22.7400,19.4600,20.4500
2018-02-06,NKVI,28.1500,35.3400,27.7900,31.0200
2018-02-07,NKVI,25.2100,31.3900,24.0100,30.9700
2018-02-08,NKVI,27.9400,29.8000,27.1500,28.0700
2018-02-09,NKVI,35.5200,38.3100,33.4500,36.0500
2018-02-13,NKVI,25.2700,33.7700,22.9300,33.7500
2018-02-14,NKVI,30.8900,33.1000,28.3500,30.0200
2018-02-15,NKVI,26.2900,26.9300,24.7300,25.3700
2018-02-16,NKVI,24.1300,24.8200,23.0300,23.4800
2018-02-19,NKVI,23.2200,23.2200,21.9400,22.2100
2018-02-20,NKVI,22.4000,24.8500,22.2800,23.8400
2018-02-21,NKVI,23.3300,24.1200,22.1900,22.9600
2018-02-22,NKVI,24.3600,25.4000,24.0300,25.0100
2018-02-23,NKVI,23.4200,23.7600,22.0700,22.0800
2018-02-26,NKVI,21.6800,21.8700,20.7200,20.7200
2018-02-27,NKVI,19.9500,21.2700,19.7500,21.0300
2018-02-28,NKVI,21.6100,22.4200,21.0600,22.0900
2018-03-01,NKVI,23.1300,25.0700,23.1300,24.5900
2018-03-02,NKVI,27.6400,28.7200,26.1000,26.8800
2018-03-05,NKVI,29.5300,29.8300,27.1200,28.3900
2018-03-06,NKVI,25.1000,29.1800,24.4700,25.6200
2018-03-07,NKVI,26.5900,28.2700,25.8400,27.3900
2018-03-08,NKVI,25.3500,25.8100,24.7900,25.0900
2018-03-09,NKVI,23.8000,25.4000,23.1700,24.3400
2018-03-12,NKVI,22.2200,23.8800,22.1200,22.3700
2018-03-13,NKVI,23.1200,23.3300,21.1700,21.2800
2018-03-14,NKVI,22.2300,22.2300,21.1500,21.1500
2018-03-15,NKVI,21.5700,22.4100,21.0300,21.0800
2018-03-16,NKVI,20.7400,22.4300,20.4600,21.7900
2018-03-19,NKVI,22.1200,22.8200,21.1600,21.9100
2018-03-20,NKVI,23.6600,24.0800,21.9100,22.0200
2018-03-22,NKVI,21.8900,21.8900,20.5000,20.6400
2018-03-23,NKVI,25.2000,27.3200,24.6800,27.0000
2018-03-26,NKVI,28.2000,28.2300,24.7700,25.4100
2018-03-27,NKVI,24.1600,24.1600,22.2800,22.8200
2018-03-28,NKVI,24.3400,25.3900,23.8300,24.1100
2018-03-29,NKVI,23.6800,25.1800,23.6800,23.8000
2018-04-02,NKVI,23.1400,23.2000,22.4000,22.8200
