Date,Symbol,Open,High,Low,Close
2011-03-16,VXEEM,29.1800,34.3200,28.5300,32.8600
2011-03-17,VXEEM,31.0000,31.1100,29.5400,30.3000
2011-03-18,VXEEM,29.1800,30.1000,27.7300,29.5900
2011-03-21,VXEEM,27.5900,27.6600,25.7600,26.4500
2011-03-22,VXEEM,26.1700,26.1700,25.2300,25.5000
2011-03-23,VXEEM,25.5000,25.9000,24.5800,25.0000
2011-03-24,VXEEM,24.4500,24.7700,23.4100,23.6800
2011-03-25,VXEEM,23.8800,24.1700,23.2700,24.1000
2011-03-28,VXEEM,25.3400,25.3400,24.0300,24.2600
2011-03-29,VXEEM,24.0000,24.5800,24.0000,24.1600
2011-03-30,VXEEM,23.5000,23.8600,22.8500,22.9000
2011-03-31,VXEEM,22.4900,23.4900,22.4800,23.0800
2011-04-01,VXEEM,22.0700,23.0400,21.9400,22.1400
2011-04-04,VXEEM,22.4600,22.9900,22.2800,22.9100
2011-04-05,VXEEM,23.5700,23.5800,22.4400,22.9500
2011-04-06,VXEEM,22.2600,23.7500,22.2600,23.4900
2011-04-07,VXEEM,23.6300,24.1400,22.7300,23.8100
2011-04-08,VXEEM,23.2900,24.2000,22.8900,24.0500
2011-04-11,VXEEM,24.4800,24.5200,23.2600,23.7300
2011-04-12,VXEEM,25.1000,25.5500,23.7700,24.1300
2011-04-13,VXEEM,23.0300,23.8200,22.2400,22.6600
2011-04-14,VXEEM,23.2600,23.4900,21.7700,21.8500
2011-04-15,VXEEM,22.1200,22.4800,20.7800,21.0700
2011-04-18,VXEEM,23.9500,24.1300,22.8300,23.0200
2011-04-19,VXEEM,22.5900,22.6000,21.1400,21.3000
2011-04-20,VXEEM,20.0600,20.9400,20.0100,20.5900
2011-04-21,VXEEM,20.4000,21.3300,20.2700,21.1400
2011-04-25,VXEEM,22.7900,23.5900,22.6200,23.1300
2011-04-26,VXEEM,23.1900,23.5100,22.1100,22.3500
2011-04-27,VXEEM,22.5500,23.8000,21.8300,22.0200
2011-04-28,VXEEM,22.8000,22.9700,21.9300,21.9500
2011-04-29,VXEEM,21.8100,21.9500,21.4000,21.8500
2011-05-02,VXEEM,22.5800,23.3600,22.4300,23.1300
2011-05-03,VXEEM,24.1800,25.6900,23.9900,25.5600
2011-05-04,VXEEM,26.0200,26.5500,25.2100,25.5000
2011-05-05,VXEEM,26.1300,26.5900,24.8100,26.1100
2011-05-06,VXEEM,24.7800,26.3200,23.7000,25.2100
2011-05-09,VXEEM,26.1400,26.1400,24.2500,24.3700
2011-05-10,VXEEM,23.9900,24.0100,23.0200,23.3200
2011-05-11,VXEEM,23.8500,25.6400,23.8500,24.8400
2011-05-12,VXEEM,25.5800,26.0800,23.9300,24.4000
2011-05-13,VXEEM,24.8400,25.8800,24.5700,25.3500
2011-05-16,VXEEM,26.2100,26.2500,24.4200,25.2700
2011-05-17,VXEEM,25.8100,25.9600,24.8600,24.9500
2011-05-18,VXEEM,24.7500,24.8000,23.1600,23.5000
2011-05-19,VXEEM,23.6900,23.9600,23.2000,23.3100
2011-05-20,VXEEM,23.5800,24.3400,22.7600,23.2800
2011-05-23,VXEEM,26.0800,26.1700,25.0300,25.2700
2011-05-24,VXEEM,24.7500,24.7500,23.7300,24.4600
2011-05-25,VXEEM,24.8600,24.9100,23.1000,23.1600
2011-05-26,VXEEM,23.0600,23.0600,22.0400,22.3600
2011-05-27,VXEEM,21.8100,21.9900,20.8400,21.8700
2011-05-31,VXEEM,21.9700,22.8100,21.8000,22.2900
2011-06-01,VXEEM,22.5100,25.1700,22.4300,25.1700
2011-06-02,VXEEM,24.8200,25.4000,24.2700,24.7500
2011-06-03,VXEEM,25.5000,25.5100,23.9500,24.7800
2011-06-06,VXEEM,25.4600,26.4400,25.3600,26.1300
2011-06-07,VXEEM,25.1200,25.6200,24.6500,25.6200
2011-06-08,VXEEM,26.0500,26.3000,25.7400,26.0900
2011-06-09,VXEEM,26.0800,26.4300,24.1400,24.2700
2011-06-10,VXEEM,25.2300,26.2000,25.1900,26.0100
2011-06-13,VXEEM,26.1100,26.9400,25.5100,26.4900
2011-06-14,VXEEM,25.7800,25.8200,24.3000,24.7700
2011-06-15,VXEEM,26.0800,28.5000,25.9200,28.2900
2011-06-16,VXEEM,28.8900,31.7700,27.3600,31.0300
2011-06-17,VXEEM,29.7100,30.7800,28.8100,29.6500
2011-06-20,VXEEM,31.5400,31.6600,27.7400,28.2100
2011-06-21,VXEEM,27.1700,27.1700,24.9500,26.2900
2011-06-22,VXEEM,26.9700,26.9700,24.6600,25.3600
2011-06-23,VXEEM,27.2700,28.7500,26.1100,26.9500
2011-06-24,VXEEM,26.2100,27.8800,26.1300,27.5100
2011-06-27,VXEEM,28.6100,28.6600,26.6900,27.2000
2011-06-28,VXEEM,27.0900,27.3800,25.7200,26.1700
