Date,Symbol,Open,High,Low,Close
2008-01-02,VXEFA,18.9700,18.9700,18.9700,18.9700
2008-01-03,VXEFA,18.9100,18.9100,18.9100,18.9100
2008-01-04,VXEFA,19.0300,19.0300,19.0300,19.0300
2008-01-07,VXEFA,19.1300,19.1300,19.1300,19.1300
2008-01-08,VXEFA,18.8700,18.8700,18.8700,18.8700
2008-01-09,VXEFA,21.6300,21.6300,21.6300,21.6300
2008-01-10,VXEFA,21.5700,21.5700,21.5700,21.5700
2008-01-11,VXEFA,21.9800,21.9800,21.9800,21.9800
2008-01-14,VXEFA,21.5300,21.5300,21.5300,21.5300
2008-01-15,VXEFA,22.6600,22.6600,22.6600,22.6600
2008-01-16,VXEFA,22.7100,22.7100,22.7100,22.7100
2008-01-17,VXEFA,21.7900,21.7900,21.7900,21.7900
2008-01-18,VXEFA,26.7500,26.7500,26.7500,26.7500
2008-01-22,VXEFA,30.9300,30.9300,30.9300,30.9300
2008-01-23,VXEFA,31.9400,31.9400,31.9400,31.9400
2008-01-24,VXEFA,31.5500,31.5500,31.5500,31.5500
2008-01-25,VXEFA,30.9200,30.9200,30.9200,30.9200
2008-01-28,VXEFA,31.4100,31.4100,31.4100,31.4100
2008-01-29,VXEFA,30.3700,30.3700,30.3700,30.3700
2008-01-30,VXEFA,30.8400,30.8400,30.8400,30.8400
2008-01-31,VXEFA,29.0500,29.0500,29.0500,29.0500
2008-02-01,VXEFA,26.3100,26.3100,26.3100,26.3100
2008-02-04,VXEFA,27.4100,27.4100,27.4100,27.4100
2008-02-05,VXEFA,30.4200,30.4200,30.4200,30.4200
2008-02-06,VXEFA,30.6700,30.6700,30.6700,30.6700
2008-02-07,VXEFA,30.4900,30.4900,30.4900,30.4900
2008-02-08,VXEFA,30.6400,30.6400,30.6400,30.6400
2008-02-11,VXEFA,31.3900,31.3900,31.3900,31.3900
2008-02-12,VXEFA,29.6400,29.6400,29.6400,29.6400
2008-02-13,VXEFA,27.5000,27.5000,27.5000,27.5000
2008-02-14,VXEFA,27.8200,27.8200,27.8200,27.8200
2008-02-15,VXEFA,27.7600,27.7600,27.7600,27.7600
2008-02-19,VXEFA,26.0600,26.0600,26.0600,26.0600
2008-02-20,VXEFA,27.0200,27.0200,27.0200,27.0200
2008-02-21,VXEFA,26.6400,26.6400,26.6400,26.6400
2008-02-22,VXEFA,26.0600,26.0600,26.0600,26.0600
2008-02-25,VXEFA,24.5100,24.5100,24.5100,24.5100
2008-02-26,VXEFA,22.5400,22.5400,22.5400,22.5400
2008-02-27,VXEFA,22.8600,22.8600,22.8600,22.8600
2008-02-28,VXEFA,24.5500,24.5500,24.5500,24.5500
2008-02-29,VXEFA,27.5600,27.5600,27.5600,27.5600
2008-03-03,VXEFA,28.2200,28.2200,28.2200,28.2200
2008-03-04,VXEFA,28.4500,28.4500,28.4500,28.4500
2008-03-05,VXEFA,27.7700,27.7700,27.7700,27.7700
2008-03-06,VXEFA,30.4800,30.4800,30.4800,30.4800
2008-03-07,VXEFA,30.5700,30.5700,30.5700,30.5700
2008-03-10,VXEFA,31.7600,31.7600,31.7600,31.7600
2008-03-11,VXEFA,28.8900,28.8900,28.8900,28.8900
2008-03-12,VXEFA,28.8000,28.8000,28.8000,28.8000
2008-03-13,VXEFA,29.2300,29.2300,29.2300,29.2300
2008-03-14,VXEFA,30.5000,30.5000,30.5000,30.5000
2008-03-17,VXEFA,33.4900,33.4900,33.4900,33.4900
2008-03-18,VXEFA,31.7000,31.7000,31.7000,31.7000
2008-03-19,VXEFA,33.2400,33.2400,33.2400,33.2400
2008-03-20,VXEFA,33.1100,33.1100,33.1100,33.1100
2008-03-24,VXEFA,26.7800,26.7800,26.7800,26.7800
2008-03-25,VXEFA,24.9300,24.9300,24.9300,24.9300
2008-03-26,VXEFA,25.3100,25.3100,25.3100,25.3100
2008-03-27,VXEFA,24.9300,24.9300,24.9300,24.9300
2008-03-28,VXEFA,24.8200,24.8200,24.8200,24.8200
2008-03-31,VXEFA,26.6200,26.6200,26.6200,26.6200
2008-04-01,VXEFA,23.8100,23.8100,23.8100,23.8100
2008-04-02,VXEFA,23.9500,23.9500,23.9500,23.9500
2008-04-03,VXEFA,23.9600,23.9600,23.9600,23.9600
2008-04-04,VXEFA,23.4800,23.4800,23.4800,23.4800
2008-04-07,VXEFA,23.5300,23.5300,23.5300,23.5300
2008-04-08,VXEFA,24.7200,24.7200,24.7200,24.7200
2008-04-09,VXEFA,25.0000,25.0000,25.0000,25.0000
2008-04-10,VXEFA,24.5200,24.5200,24.5200,24.5200
2008-04-11,VXEFA,25.1100,25.1100,25.1100,25.1100
2008-04-14,VXEFA,25.5600,25.5600,25.5600,25.5600
2008-04-15,VXEFA,23.5700,23.5700,23.5700,23.5700
2008-04-16,VXEFA,20.9600,20.9600,20.9600,20.9600
2008-04-17,VXEFA,21.8100,21.8100,21.8100,21.8100
2008-04-18,VXEFA,20.0400,20.0400,20.0400,20.0400
2008-04-21,VXEFA,20.7700,20.7700,20.7700,20.7700
2008-04-22,VXEFA,21.3500,21.3500,21.3500,21.3500
2008-04-23,VXEFA,20.7700,20.7700,20.7700,20.7700
2008-04-24,VXEFA,20.6300,20.6300,20.6300,20.6300
2008-04-25,VXEFA,20.2100,20.2100,20.2100,20.2100
2008-04-28,VXEFA,20.1200,20.1200,20.1200,20.1200
2008-04-29,VXEFA,20.5800,20.5800,20.5800,20.5800
2008-04-30,VXEFA,20.2100,20.2100,20.2100,20.2100
2008-05-01,VXEFA,19.9800,19.9800,19.9800,19.9800
2008-05-02,VXEFA,18.9900,18.9900,18.9900,18.9900
2008-05-05,VXEFA,19.4700,19.4700,19.4700,19.4700
2008-05-06,VXEFA,18.9900,18.9900,18.9900,18.9900
2008-05-07,VXEFA,20.1500,20.1500,20.1500,20.1500
2008-05-08,VXEFA,19.5700,19.5700,19.5700,19.5700
