Date,Symbol,Open,High,Low,Close,Volume,OHLC_Consistent,LogReturn
1990-01-01,DXY,93.190002,93.309998,93.080002,93.209999,0,True,
1990-01-02,DXY,93.129997,94.309998,93.080002,94.290001,0,True,0.01152015
1990-01-03,DXY,94.150002,94.519997,94.080002,94.419998,0,True,0.00137775
1990-01-04,DXY,93.720001,93.879997,92.389999,92.519997,0,True,-0.02032809
1990-01-05,DXY,93.339996,93.419998,92.550003,92.849998,0,True,0.00356047
1990-01-08,DXY,92.519997,92.540001,91.940002,92.050003,0,True,-0.00865333
1990-01-09,DXY,92.529999,92.790001,92.309998,92.349998,0,True,0.00325375
1990-01-10,DXY,92.199997,92.589996,91.93,92.389999,0,True,0.00043305
1990-01-11,DXY,92.639999,92.730003,92.32,92.400002,0,True,0.00010825
1990-01-12,DXY,92.360001,92.459999,91.940002,92.43,0,True,0.00032461
1990-01-15,DXY,92.370003,92.900002,92.349998,92.839996,0,True,0.00442594
1990-01-16,DXY,93.410004,93.519997,92.75,92.940002,0,True,0.00107661
1990-01-17,DXY,92.949997,92.980003,92.43,92.720001,0,True,-0.00236994
1990-01-18,DXY,93.349998,93.839996,93.099998,93.739998,0,True,0.01094076
1990-01-19,DXY,93.830002,93.959999,93.449997,93.690002,0,True,-0.00053348
1990-01-22,DXY,94.0,94.540001,93.970001,94.32,0,True,0.00670177
1990-01-23,DXY,93.629997,93.669998,93.040001,93.190002,0,True,-0.01205281
1990-01-24,DXY,92.559998,93.080002,92.360001,93.029999,0,True,-0.00171844
1990-01-25,DXY,92.760002,92.940002,92.529999,92.650002,0,True,-0.00409304
1990-01-26,DXY,92.650002,92.989998,92.470001,92.519997,0,True,-0.00140417
1990-01-29,DXY,92.0,92.279999,91.889999,92.099998,0,True,-0.00454987
1990-01-30,DXY,92.190002,93.309998,91.980003,92.910004,0,True,0.0087564
1990-01-31,DXY,92.379997,92.599998,92.25,92.410004,0,True,-0.00539608
1990-02-01,DXY,92.32,92.489998,92.129997,92.160004,0,True,-0.002709
1990-02-02,DXY,92.449997,92.75,92.309998,92.440002,0,True,0.00303358
1990-02-05,DXY,92.089996,92.089996,91.449997,91.540001,0,True,-0.00978377
1990-02-06,DXY,91.269997,91.639999,91.260002,91.550003,0,True,0.00010926
