Date,Symbol,Open,High,Low,Close,Volume,OHLC_Consistent,LogReturn
1996-03-18,EWH,13.0,13.125,13.0,13.0625,24800,True,
1996-03-19,EWH,13.375,13.375,13.25,13.25,27000,True,0.01425202
1996-03-20,EWH,13.25,13.25,13.125,13.125,2200,True,-0.00947874
1996-03-21,EWH,13.5625,13.5625,13.5625,13.5625,100,True,0.03278982
1996-03-22,EWH,13.625,13.625,13.5,13.5,13800,True,-0.00461895
1996-03-25,EWH,13.875,13.875,13.75,13.75,11200,True,0.01834914
1996-03-26,EWH,13.875,13.875,13.5625,13.75,12500,True,0.0
1996-03-27,EWH,13.75,13.75,13.5,13.5,14500,True,-0.01834914
1996-03-28,EWH,13.5625,13.5625,13.5625,13.5625,15200,True,0.00461895
1996-03-29,EWH,13.5,13.5625,13.4375,13.4375,3500,True,-0.00925933
1996-04-01,EWH,13.5,13.5625,13.5,13.5625,3100,True,0.00925933
1996-04-02,EWH,13.625,13.875,13.625,13.875,16600,True,0.02278003
1996-04-03,EWH,13.6875,13.875,13.6875,13.8125,33000,True,-0.00451468
1996-04-04,EWH,13.6875,13.75,13.5625,13.5625,26500,True,-0.01826535
1996-04-08,EWH,13.625,13.625,13.4375,13.4375,1500,True,-0.00925933
1996-04-09,EWH,13.5,13.625,13.5,13.625,1100,True,0.01385703
1996-04-10,EWH,13.625,13.625,13.5,13.5,15300,True,-0.00921666
1996-04-11,EWH,13.375,13.5,13.375,13.5,9100,True,0.0
1996-04-12,EWH,13.4375,13.5,13.4375,13.5,1500,True,0.0
1996-04-15,EWH,13.5,13.5625,13.5,13.5625,18700,True,0.00461895
1996-04-16,EWH,13.625,13.625,13.625,13.625,1300,True,0.00459771
1996-04-17,EWH,13.5,13.625,13.4375,13.4375,17200,True,-0.01385703
1996-04-18,EWH,13.4375,13.4375,13.3125,13.3125,2300,True,-0.00934586
1996-04-19,EWH,13.3125,13.375,13.3125,13.375,3600,True,0.00468385
1996-04-22,EWH,13.375,13.5625,13.375,13.5625,20000,True,0.01392134
1996-04-23,EWH,13.375,13.4375,13.3125,13.375,35900,True,-0.01392134
1996-04-24,EWH,13.375,13.375,13.375,13.375,0,True,0.0
1996-04-25,EWH,13.3125,13.3125,13.25,13.25,6300,True,-0.00938974
1996-04-26,EWH,13.125,13.3125,13.125,13.3125,30300,True,0.00470589
1996-04-29,EWH,13.3125,13.3125,13.3125,13.3125,400,True,0.0
1996-04-30,EWH,13.5625,13.625,13.5,13.625,7200,True,0.0232029
1996-05-01,EWH,13.5625,13.5625,13.5,13.5,700,True,-0.00921666
1996-05-02,EWH,13.5,13.5,13.1875,13.1875,29500,True,-0.02342027
1996-05-03,EWH,13.25,13.375,13.25,13.3125,72400,True,0.00943403
1996-05-06,EWH,13.125,13.25,13.125,13.25,5100,True,-0.00470589
1996-05-07,EWH,13.3125,13.375,13.25,13.375,18900,True,0.00938974
1996-05-08,EWH,13.4375,13.4375,13.25,13.4375,7400,True,0.00466201
1996-05-09,EWH,13.4375,13.5,13.4375,13.5,6800,True,0.00464038
1996-05-10,EWH,13.5,13.5625,13.5,13.5625,3000,True,0.00461895
1996-05-13,EWH,13.5,13.5625,13.4375,13.4375,5200,True,-0.00925933
1996-05-14,EWH,13.4375,13.625,13.4375,13.625,83500,True,0.01385703
1996-05-15,EWH,13.6875,13.6875,13.4375,13.4375,4600,True,-0.01385703
1996-05-16,EWH,13.4375,13.5625,13.4375,13.5625,2300,True,0.00925933
1996-05-17,EWH,13.625,13.625,13.625,13.625,5700,True,0.00459771
1996-05-20,EWH,13.75,13.75,13.6875,13.6875,6500,True,0.00457667
1996-05-21,EWH,13.75,13.9375,13.75,13.875,3800,True,0.01360565
1996-05-22,EWH,14.0,14.0,13.625,13.625,76700,True,-0.01818232
1996-05-23,EWH,13.8125,13.8125,13.625,13.75,5400,True,0.00913248
1996-05-24,EWH,13.8125,13.8125,13.75,13.8125,8700,True,0.00453516
1996-05-28,EWH,13.875,13.875,13.8125,13.875,6400,True,0.00451468
1996-05-29,EWH,13.9375,13.9375,13.875,13.9375,6800,True,0.00449439
1996-05-30,EWH,13.9375,13.9375,13.8125,13.875,4100,True,-0.00449439
1996-05-31,EWH,13.9375,13.9375,13.8125,13.875,13200,True,0.0
1996-06-03,EWH,13.875,13.875,13.5625,13.5625,700,True,-0.02278003
1996-06-04,EWH,13.625,13.75,13.625,13.75,3600,True,0.01373019
1996-06-05,EWH,13.8125,13.8125,13.75,13.75,1700,True,0.0
1996-06-06,EWH,14.0,14.0,13.9375,13.9375,1600,True,0.01354423
1996-06-07,EWH,13.625,13.875,13.625,13.875,1100,True,-0.00449439
1996-06-10,EWH,13.875,13.875,13.875,13.875,4000,True,0.0
1996-06-11,EWH,13.8125,13.8125,13.6875,13.6875,8100,True,-0.01360565
1996-06-12,EWH,13.5,13.5625,13.5,13.5625,3200,True,-0.00917438
1996-06-13,EWH,13.3125,13.3125,13.3125,13.3125,2100,True,-0.01860519
1996-06-14,EWH,13.3125,13.5,13.3125,13.5,2700,True,0.01398624
1996-06-17,EWH,13.5625,13.5625,13.375,13.375,9200,True,-0.00930239
1996-06-18,EWH,13.625,13.625,13.625,13.625,200,True,0.01851905
1996-06-19,EWH,13.4375,13.625,13.4375,13.625,2500,True,0.0
1996-06-20,EWH,13.5625,13.5625,13.5625,13.5625,300,True,-0.00459771
1996-06-21,EWH,13.5625,13.5625,13.5625,13.5625,4300,True,0.0
1996-06-24,EWH,13.6875,13.6875,13.6875,13.6875,7600,True,0.00917438
1996-06-25,EWH,13.625,13.625,13.625,13.625,100,True,-0.00457667
1996-06-26,EWH,13.75,13.75,13.6875,13.6875,400,True,0.00457667
1996-06-27,EWH,13.5625,13.6875,13.5625,13.6875,3000,True,0.0
1996-06-28,EWH,13.6875,13.6875,13.6875,13.6875,14000,True,0.0
1996-07-01,EWH,13.5625,13.6875,13.5625,13.6875,1400,True,0.0
1996-07-02,EWH,13.6875,13.6875,13.5,13.5,32900,True,-0.01379332
1996-07-03,EWH,13.4375,13.5,13.4375,13.5,2600,True,0.0
1996-07-05,EWH,13.4375,13.5,13.4375,13.4375,4800,True,-0.00464038
