Date,Symbol,Open,High,Low,Close,Volume,OHLC_Consistent,LogReturn
2002-07-30,TLT,81.75,81.900002,81.519997,81.519997,6100,True,
2002-07-31,TLT,81.949997,82.800003,81.900002,82.529999,29400,True,0.0123135
2002-08-01,TLT,82.540001,83.019997,82.540001,83.0,25000,True,0.00567876
2002-08-02,TLT,83.160004,84.099998,82.879997,83.849998,52800,True,0.01018886
2002-08-05,TLT,84.040001,84.440002,83.849998,84.220001,61100,True,0.00440297
2002-08-06,TLT,83.870003,83.900002,83.220001,83.5,64900,True,-0.00858581
2002-08-07,TLT,83.599998,84.139999,83.360001,83.699997,40300,True,0.00239231
2002-08-08,TLT,83.580002,83.769997,83.360001,83.699997,40900,True,0.0
2002-08-09,TLT,84.0,84.879997,84.0,84.879997,35900,True,0.01399952
2002-08-12,TLT,85.300003,86.699997,85.139999,85.400002,32100,True,0.00610766
2002-08-13,TLT,85.779999,86.470001,85.370003,86.449997,75400,True,0.01222006
2002-08-14,TLT,87.459999,87.900002,86.75,86.779999,130000,True,0.00380999
2002-08-15,TLT,86.379997,86.5,85.849998,86.019997,87100,True,-0.00879638
2002-08-16,TLT,86.440002,86.519997,84.82,85.059998,85000,True,-0.01122293
2002-08-19,TLT,85.050003,85.339996,84.709999,85.32,47300,True,0.00305203
2002-08-20,TLT,85.620003,86.290001,85.599998,86.269997,40800,True,0.01107298
2002-08-21,TLT,85.68,86.099998,85.629997,85.809998,40000,True,-0.00534635
2002-08-22,TLT,85.550003,85.550003,85.059998,85.059998,34400,True,-0.00877866
2002-08-23,TLT,85.199997,85.949997,85.199997,85.900002,20100,True,0.00982699
2002-08-26,TLT,85.699997,86.209999,85.669998,85.980003,23900,True,0.0009309
2002-08-27,TLT,85.400002,85.68,85.199997,85.440002,301800,True,-0.00630035
2002-08-28,TLT,86.040001,86.18,85.839996,85.870003,18100,True,0.00502015
2002-08-29,TLT,86.760002,86.860001,86.349998,86.559998,135700,True,0.00800323
2002-08-30,TLT,86.75,87.129997,86.449997,87.080002,78100,True,0.00598947
2002-09-03,TLT,87.080002,88.040001,87.0,88.040001,102100,True,0.01096401
2002-09-04,TLT,88.029999,88.300003,87.839996,88.019997,66300,True,-0.00022724
2002-09-05,TLT,88.57,88.650002,87.379997,88.5,648400,True,0.00543853
2002-09-06,TLT,87.970001,88.190002,87.199997,87.459999,140000,True,-0.01182102
2002-09-09,TLT,87.5,87.830002,87.260002,87.330002,83800,True,-0.00148747
2002-09-10,TLT,87.169998,88.0,87.0,87.75,336000,True,0.00479779
2002-09-11,TLT,87.0,87.300003,86.75,87.290001,177700,True,-0.00525594
2002-09-12,TLT,87.480003,88.139999,87.470001,87.970001,43400,True,0.00775994
2002-09-13,TLT,88.330002,88.940002,88.18,88.779999,155100,True,0.00916552
2002-09-16,TLT,89.199997,89.220001,88.900002,88.93,73000,True,0.00168816
2002-09-17,TLT,88.639999,89.32,88.360001,89.099998,75400,True,0.00190977
2002-09-18,TLT,89.160004,89.559998,89.019997,89.120003,196600,True,0.00022449
2002-09-19,TLT,89.699997,89.769997,89.260002,89.720001,109900,True,0.00670992
2002-09-20,TLT,89.449997,89.519997,89.059998,89.300003,113500,True,-0.0046922
2002-09-23,TLT,90.0,90.239998,89.769997,90.099998,163200,True,0.00891863
2002-09-24,TLT,90.300003,90.940002,90.209999,90.68,251900,True,0.00641668
2002-09-25,TLT,90.099998,90.360001,89.260002,89.580002,127200,True,-0.01220473
2002-09-26,TLT,89.050003,89.529999,88.610001,89.370003,429000,True,-0.00234702
2002-09-27,TLT,89.529999,90.040001,89.480003,90.040001,298200,True,0.00746894
2002-09-30,TLT,90.660004,90.900002,90.080002,90.400002,297800,True,0.00399026
2002-10-01,TLT,89.160004,89.300003,88.800003,88.940002,257500,True,-0.01628227
2002-10-02,TLT,89.239998,89.480003,88.839996,89.449997,91000,True,0.00571776
2002-10-03,TLT,89.300003,89.510002,88.800003,89.230003,29900,True,-0.00246243
