Date,Symbol,Open,High,Low,Close,Volume,OHLC_Consistent,LogReturn
2001-07-16,USDHKD,7.7999,7.801,7.7985,7.8001,0,True,
2001-07-17,USDHKD,7.7999,7.801,7.7988,7.7997,0,True,-5.129e-05
2001-07-18,USDHKD,7.7997,7.8009,7.7988,7.7999,0,True,2.568e-05
2001-07-19,USDHKD,7.7999,7.8009,7.7988,7.7999,0,True,0.0
2001-07-20,USDHKD,7.7999,7.8009,7.7988,7.7997,0,True,-2.568e-05
2001-07-23,USDHKD,7.7997,7.8008,7.7985,7.7997,0,True,0.0
2001-07-24,USDHKD,7.7999,7.8009,7.7985,7.7997,0,True,0.0
2001-07-25,USDHKD,7.7998,7.8009,7.7986,7.7999,0,True,2.568e-05
2001-07-26,USDHKD,7.7997,7.8018,7.798,7.7997,0,True,-2.568e-05
2001-07-27,USDHKD,7.7997,7.8009,7.7986,7.7997,0,True,0.0
2001-07-30,USDHKD,7.7997,7.8008,7.7986,7.7997,0,True,0.0
2001-07-31,USDHKD,7.7997,7.8008,7.7984,7.7997,0,True,0.0
2001-08-01,USDHKD,7.7997,7.8008,7.7984,7.7996,0,True,-1.278e-05
2001-08-02,USDHKD,7.7994,7.8007,7.7982,7.7995,0,True,-1.284e-05
2001-08-03,USDHKD,7.7995,7.8003,7.7982,7.7991,0,True,-5.13e-05
2001-08-06,USDHKD,7.7995,7.8005,7.7979,7.7989,0,True,-2.562e-05
2001-08-07,USDHKD,7.7991,7.8003,7.7979,7.7991,0,True,2.562e-05
2001-08-08,USDHKD,7.7993,7.8006,7.798,7.7997,0,True,7.691e-05
2001-08-09,USDHKD,7.7997,7.8006,7.7985,7.7997,0,True,0.0
2001-08-10,USDHKD,7.7997,7.8008,7.7982,7.7995,0,True,-2.562e-05
2001-08-13,USDHKD,7.7995,7.8002,7.7982,7.7995,0,True,0.0
2001-08-14,USDHKD,7.7997,7.8008,7.7982,7.7997,0,True,2.562e-05
2001-08-15,USDHKD,7.7999,7.8008,7.7985,7.7997,0,True,0.0
2001-08-16,USDHKD,7.7997,7.8009,7.798,7.7999,0,True,2.568e-05
2001-08-17,USDHKD,7.7997,7.8009,7.7985,7.7999,0,True,0.0
2001-08-20,USDHKD,7.7998,7.8008,7.7985,7.7999,0,True,0.0
2001-08-21,USDHKD,7.7998,7.801,7.7985,7.7999,0,True,0.0
2001-08-22,USDHKD,7.8001,7.8012,7.7988,7.7997,0,True,-2.568e-05
2001-08-23,USDHKD,7.7998,7.801,7.7987,7.7997,0,True,0.0
2001-08-24,USDHKD,7.7998,7.8009,7.7988,7.7999,0,True,2.568e-05
2001-08-27,USDHKD,7.8002,7.8012,7.7984,7.7999,0,True,0.0
2001-08-28,USDHKD,7.7999,7.8009,7.7984,7.7999,0,True,0.0
2001-08-29,USDHKD,7.7998,7.8009,7.7985,7.7999,0,True,0.0
2001-08-30,USDHKD,7.7999,7.8009,7.7984,7.7999,0,True,0.0
2001-08-31,USDHKD,7.7998,7.8011,7.7984,7.7998,0,True,-1.284e-05
2001-09-03,USDHKD,7.7999,7.801,7.7988,7.7999,0,True,1.284e-05
2001-09-04,USDHKD,7.7998,7.8008,7.7985,7.7999,0,True,0.0
2001-09-05,USDHKD,7.7997,7.8008,7.7988,7.7999,0,True,0.0
2001-09-06,USDHKD,7.7999,7.8009,7.7967,7.7999,0,True,0.0
2001-09-07,USDHKD,7.7999,7.8009,7.7985,7.7999,0,True,0.0
2001-09-10,USDHKD,7.7998,7.8009,7.7986,7.8,0,True,1.284e-05
2001-09-11,USDHKD,7.7999,7.804,7.7957,7.7998,0,True,-2.568e-05
2001-09-12,USDHKD,7.799,7.8031,7.7948,7.7989,0,True,-0.00011537
2001-09-13,USDHKD,7.7996,7.8008,7.798,7.7997,0,True,0.00010253
2001-09-14,USDHKD,7.7999,7.8009,7.7987,7.7999,0,True,2.568e-05
2001-09-17,USDHKD,7.7998,7.8039,7.7958,7.7998,0,True,-1.284e-05
2001-09-18,USDHKD,7.7998,7.8009,7.7988,7.7999,0,True,1.284e-05
2001-09-19,USDHKD,7.7995,7.8009,7.7982,7.7991,0,True,-0.00010259
2001-09-20,USDHKD,7.7996,7.8006,7.798,7.7998,0,True,8.975e-05
2001-09-21,USDHKD,7.7998,7.8009,7.7986,7.7999,0,True,1.284e-05
2001-09-24,USDHKD,7.7998,7.8009,7.7986,7.7996,0,True,-3.845e-05
2001-09-25,USDHKD,7.7997,7.8009,7.7986,7.7997,0,True,1.278e-05
2001-09-26,USDHKD,7.7995,7.8008,7.7984,7.7997,0,True,0.0
2001-09-27,USDHKD,7.7995,7.8007,7.7984,7.7995,0,True,-2.562e-05
2001-09-28,USDHKD,7.7995,7.8006,7.7983,7.7995,0,True,0.0
2001-10-01,USDHKD,7.7992,7.8008,7.7976,7.7988,0,True,-8.975e-05
2001-10-02,USDHKD,7.7989,7.8001,7.7977,7.7992,0,True,5.13e-05
2001-10-03,USDHKD,7.7992,7.8,7.7986,7.7991,0,True,-1.284e-05
2001-10-04,USDHKD,7.7996,7.8008,7.7979,7.7994,0,True,3.846e-05
2001-10-05,USDHKD,7.7997,7.8008,7.7984,7.7997,0,True,3.845e-05
2001-10-08,USDHKD,7.7995,7.8015,7.7984,7.7995,0,True,-2.562e-05
2001-10-09,USDHKD,7.7998,7.8009,7.7987,7.7998,0,True,3.845e-05
2001-10-10,USDHKD,7.7998,7.8009,7.7988,7.7999,0,True,1.284e-05
2001-10-11,USDHKD,7.8001,7.801,7.7983,7.7999,0,True,0.0
2001-10-12,USDHKD,7.7995,7.801,7.7984,7.7999,0,True,0.0
2001-10-15,USDHKD,7.8,7.801,7.7988,7.8,0,True,1.284e-05
2001-10-16,USDHKD,7.7999,7.801,7.7988,7.8,0,True,0.0
2001-10-17,USDHKD,7.7999,7.801,7.7989,7.8,0,True,0.0
2001-10-18,USDHKD,7.798,7.801,7.7975,7.7993,0,True,-8.975e-05
2001-10-19,USDHKD,7.8001,7.802,7.7975,7.7997,0,True,5.123e-05
2001-10-22,USDHKD,7.8,7.801,7.7975,7.8,0,True,3.851e-05
2001-10-23,USDHKD,7.8001,7.801,7.7975,7.7998,0,True,-2.568e-05
2001-10-24,USDHKD,7.8001,7.801,7.7989,7.8,0,True,2.568e-05
2001-10-25,USDHKD,7.7991,7.8039,7.7959,7.8,0,True,0.0
2001-10-26,USDHKD,7.7999,7.8011,7.7988,7.8,0,True,0.0
2001-10-29,USDHKD,7.8,7.801,7.7988,7.8,0,True,0.0
2001-10-30,USDHKD,7.8,7.801,7.7988,7.7998,0,True,-2.568e-05
2001-10-31,USDHKD,7.7999,7.8019,7.7979,7.8,0,True,2.568e-05
2001-11-01,USDHKD,7.8,7.8011,7.7988,7.8001,0,True,1.278e-05
2001-11-02,USDHKD,7.8,7.801,7.7989,7.7999,0,True,-2.561e-05
2001-11-05,USDHKD,7.8,7.801,7.7989,7.7999,0,True,0.0
2001-11-06,USDHKD,7.8001,7.801,7.799,7.7999,0,True,0.0
2001-11-07,USDHKD,7.8,7.801,7.7989,7.8,0,True,1.284e-05
2001-11-08,USDHKD,7.8,7.801,7.7986,7.7996,0,True,-5.129e-05
