Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2013-09-30,DAX,12,0.0000016003,0.0000014538,12,0.0000012914,0.0000008060,4,,,2,,,2,,,1,0.0011363854,-13.5598055329,8582.1000000000,8577.2000000000,8582.1000000000,8568.7000000000,,
2013-10-01,DAX,471,0.0000321420,0.0000272509,471,0.0000286445,0.0000277444,102,0.0000296150,0.0000231440,51,0.0000298885,0.0000281824,34,0.0000316862,0.0000307950,17,0.0053520522,-10.4605504057,8619.2000000000,8684.6000000000,8691.2000000000,8613.4000000000,0.0124438223,0.0048847530
2013-10-02,DAX,473,0.0000427818,0.0000398947,473,0.0000458088,0.0000388288,102,0.0000459417,0.0000256888,51,0.0000531173,0.0000312067,34,0.0000404772,0.0000397169,17,0.0067682171,-9.9910351624,8652.0000000000,8626.9000000000,8670.9000000000,8585.3000000000,-0.0066661137,-0.0037608341
2013-10-03,DAX,316,0.0000168957,0.0000159869,316,0.0000167485,0.0000131785,65,0.0000110973,0.0000116068,33,0.0000119183,0.0000124737,22,0.0000108542,0.0000123151,11,0.0040924914,-10.9972027171,8618.3970000000,8600.9980000000,8643.3580000000,8590.6470000000,-0.0030069855,-0.0009861240
2013-10-04,DAX,442,0.0000206229,0.0000159404,442,0.0000206391,0.0000201479,91,0.0000188364,0.0000200365,46,0.0000205084,0.0000195185,31,0.0000193666,0.0000167376,16,0.0045430316,-10.7883214632,8584.3180000000,8628.1970000000,8637.7170000000,8573.1370000000,0.0031573179,-0.0019411927
2013-10-07,DAX,446,0.0000233889,0.0000194160,446,0.0000289528,0.0000222125,93,0.0000229669,0.0000132923,47,0.0000262789,0.0000174080,31,0.0000299674,0.0000202042,16,0.0053807838,-10.4498424506,8526.6180000000,8587.7980000000,8604.3580000000,8516.2880000000,-0.0046932024,-0.0118427610
2013-10-08,DAX,492,0.0000361511,0.0000302923,492,0.0000361664,0.0000311027,102,0.0000304465,0.0000355345,51,0.0000271239,0.0000245864,34,0.0000143979,0.0000059620,17,0.0060138473,-10.2273811838,8593.5980000000,8566.3970000000,8606.0870000000,8553.6370000000,-0.0024951344,0.0006751489
2013-10-09,DAX,487,0.0000416533,0.0000302443,487,0.0000378442,0.0000347364,102,0.0000320325,0.0000300204,51,0.0000344064,0.0000237620,34,0.0000351225,0.0000287505,17,0.0061517631,-10.1820331166,8541.0270000000,8503.6480000000,8588.6980000000,8502.6980000000,-0.0073519762,-0.0029659660
2013-10-10,DAX,382,0.0000405765,0.0000178152,382,0.0000395082,0.0000275410,84,0.0000309062,0.0000253016,43,0.0000494562,0.0000352496,29,0.0000415120,0.0000233465,15,0.0062855563,-10.1390018422,8592.0680000000,8676.2930000000,8691.6020000000,8587.9470000000,0.0200991158,0.0103442042
2013-10-11,DAX,471,0.0000190363,0.0000173507,471,0.0000205460,0.0000196537,102,0.0000204070,0.0000206096,51,0.0000194199,0.0000203203,34,0.0000172019,0.0000156810,17,0.0045327719,-10.7928432560,8708.6220000000,8713.6020000000,8728.9320000000,8697.1330000000,0.0042908893,0.0037192057
2013-10-14,DAX,349,0.0000160406,0.0000118235,349,0.0000201450,0.0000125626,73,0.0000174594,0.0000100600,37,0.0000143289,0.0000080883,25,0.0000067139,0.0000045129,13,0.0044883168,-10.8125550714,8688.4420000000,8702.8020000000,8723.6830000000,8676.4020000000,-0.0012402103,-0.0028916164
2013-10-15,DAX,195,0.0000059519,0.0000050567,195,0.0000062317,0.0000065194,41,0.0000090013,0.0000077539,21,0.0000057621,0.0000059704,15,0.0000053743,0.0000040087,8,0.0024963291,-11.9858679951,8765.2820000000,8795.8530000000,8795.8530000000,8764.1720000000,0.0106353176,0.0071536485
2013-10-16,DAX,63,0.0000049183,0.0000023644,63,0.0000035352,0.0000023662,15,0.0000031790,0.0000024191,8,0.0000038388,0.0000039121,5,0.0000018015,0.0000006251,3,0.0018802123,-12.5527411255,8796.1230000000,8790.8330000000,8807.4830000000,8788.3320000000,-0.0005708864,0.0000306958
2013-10-17,DAX,446,0.0000165998,0.0000131403,446,0.0000169502,0.0000172067,93,0.0000199158,0.0000197091,47,0.0000139493,0.0000156063,31,0.0000123684,0.0000101048,16,0.0041170564,-10.9852336716,8798.7220000000,8794.9730000000,8812.0230000000,8769.1230000000,0.0004708343,0.0008970097
2013-10-18,DAX,494,0.0000174982,0.0000146329,494,0.0000163863,0.0000173929,99,0.0000162558,0.0000166343,50,0.0000146416,0.0000176006,34,0.0000119888,0.0000118622,17,0.0040480056,-11.0190619299,8849.8920000000,8832.5230000000,8850.4220000000,8804.8030000000,0.0042603960,0.0062249473
2013-10-21,DAX,352,0.0000219020,0.0000132142,352,0.0000159375,0.0000120735,73,0.0000087851,0.0000071682,37,0.0000068290,0.0000036286,25,0.0000039496,0.0000031675,13,0.0039921832,-11.0468340615,8828.4620000000,8868.5320000000,8876.1330000000,8827.5120000000,0.0040685767,-0.0004598838
2013-10-22,DAX,331,0.0000170211,0.0000150201,331,0.0000216248,0.0000261784,67,0.0000165512,0.0000104628,34,0.0000214996,0.0000161590,24,0.0000152472,0.0000112798,12,0.0046502487,-10.7416691730,8854.4720000000,8932.9220000000,8942.9420000000,8850.6130000000,0.0072342721,-0.0015866388
2013-10-23,DAX,477,0.0000111427,0.0000103382,477,0.0000093302,0.0000089571,97,0.0000093094,0.0000081694,49,0.0000099294,0.0000093982,33,0.0000067230,0.0000060498,17,0.0030545407,-11.5822520972,8906.6520000000,8918.9520000000,8927.8030000000,8897.4930000000,-0.0015651021,-0.0029451397
2013-10-24,DAX,482,0.0000050207,0.0000038891,482,0.0000049755,0.0000049720,97,0.0000067526,0.0000068436,49,0.0000054767,0.0000052385,33,0.0000022813,0.0000021145,17,0.0022305905,-12.2109778511,8969.3270000000,8952.8930000000,8976.1670000000,8950.7910000000,0.0037982694,0.0056321945
2013-10-25,DAX,472,0.0000027181,0.0000017103,472,0.0000034511,0.0000026087,95,0.0000038531,0.0000025695,48,0.0000034820,0.0000027842,32,0.0000034073,0.0000021837,16,0.0018577022,-12.5768298760,8955.5690000000,8973.2820000000,8974.4210000000,8951.3200000000,0.0022747752,0.0002988531
2013-10-28,DAX,343,0.0000103178,0.0000095147,343,0.0000136019,0.0000133797,69,0.0000115549,0.0000086348,35,0.0000152981,0.0000076864,23,0.0000128332,0.0000086549,12,0.0036880751,-11.2053012081,8984.4980000000,8984.7980000000,8990.9970000000,8951.2970000000,0.0012825426,0.0012491523
2013-10-29,DAX,510,0.0000194101,0.0000187349,510,0.0000147997,0.0000132311,102,0.0000153386,0.0000143513,51,0.0000118205,0.0000087664,34,0.0000126460,0.0000112228,17,0.0038470361,-11.1209045304,8964.2980000000,9017.2980000000,9019.9810000000,8962.9970000000,0.0036106946,-0.0022842386
2013-10-30,DAX,510,0.0000216049,0.0000204124,510,0.0000174869,0.0000138182,102,0.0000160295,0.0000136352,51,0.0000107891,0.0000110495,34,0.0000115511,0.0000119328,17,0.0041817286,-10.9540611493,9031.9980000000,9011.4970000000,9070.2970000000,8995.7970000000,-0.0006435261,0.0016288728
2013-10-31,DAX,510,0.0000304485,0.0000274178,510,0.0000232164,0.0000193188,102,0.0000174028,0.0000133278,51,0.0000168026,0.0000149095,34,0.0000118872,0.0000084282,17,0.0048183420,-10.6706507672,8982.4970000000,9025.4970000000,9037.9970000000,8975.9980000000,0.0015523654,-0.0032233005
2013-11-01,DAX,510,0.0000246320,0.0000242712,510,0.0000186339,0.0000192939,102,0.0000200102,0.0000184368,51,0.0000157557,0.0000122941,34,0.0000111659,0.0000143349,17,0.0043167050,-10.8905257907,9042.4980000000,8999.7970000000,9046.2980000000,8992.2980000000,-0.0028515504,0.0018818917
2013-11-04,DAX,510,0.0000130511,0.0000109959,510,0.0000106389,0.0000077905,102,0.0000093471,0.0000061825,51,0.0000093838,0.0000076099,34,0.0000067565,0.0000038417,17,0.0032617306,-11.4509947255,9030.2970000000,9031.7980000000,9052.0500000000,9019.2970000000,0.0035494401,0.0033832357
2013-11-05,DAX,510,0.0000241248,0.0000210318,510,0.0000197143,0.0000166511,102,0.0000223858,0.0000236753,51,0.0000257302,0.0000236697,34,0.0000200616,0.0000147800,17,0.0044400800,-10.8341657883,9043.9970000000,9004.4970000000,9044.9980000000,8962.9970000000,-0.0030273425,0.0013497610
2013-11-06,DAX,510,0.0000187986,0.0000163554,510,0.0000146479,0.0000123955,102,0.0000146025,0.0000112697,51,0.0000154034,0.0000124769,34,0.0000120437,0.0000066827,17,0.0038272604,-11.1312120449,9030.9980000000,9038.2980000000,9064.7980000000,9020.7970000000,0.0037467631,0.0029387626
2013-11-07,DAX,510,0.0000986595,0.0000626618,510,0.0001190470,0.0000693245,102,0.0001016865,0.0000667026,51,0.0001082391,0.0000500615,34,0.0000931031,0.0000751716,17,0.0109108663,-9.0359921516,9035.4980000000,9083.4970000000,9193.7970000000,9026.0770000000,0.0049883683,-0.0003098408
2013-11-08,DAX,510,0.0000537727,0.0000516781,510,0.0000354600,0.0000264187,102,0.0000284780,0.0000232897,51,0.0000248111,0.0000280305,34,0.0000170390,0.0000181164,17,0.0059548279,-10.2471059551,9029.9970000000,9069.3680000000,9080.7980000000,8987.9980000000,-0.0015566692,-0.0059072154
2013-11-11,DAX,510,0.0000149510,0.0000141959,510,0.0000107266,0.0000106471,102,0.0000086077,0.0000069297,51,0.0000105968,0.0000092380,34,0.0000073373,0.0000032387,17,0.0032751481,-11.4427843695,9085.9980000000,9114.8000000000,9122.7180000000,9063.7970000000,0.0049968846,0.0018319658
2013-11-12,DAX,510,0.0000198234,0.0000180113,510,0.0000193049,0.0000194210,102,0.0000220758,0.0000164822,51,0.0000142613,0.0000130690,34,0.0000156473,0.0000130528,17,0.0043937307,-10.8551531838,9104.4980000000,9079.7980000000,9123.4980000000,9073.7980000000,-0.0038475204,-0.0011308889
2013-11-13,DAX,510,0.0000308169,0.0000281166,510,0.0000423577,0.0000334641,102,0.0000479454,0.0000349635,51,0.0000553508,0.0000380906,34,0.0000492101,0.0000420795,17,0.0065082824,-10.0693594087,9047.9980000000,9049.2980000000,9074.4980000000,8980.2970000000,-0.0033647600,-0.0035084279
2013-11-14,DAX,510,0.0000264810,0.0000244492,510,0.0000256435,0.0000204362,102,0.0000265620,0.0000303727,51,0.0000243000,0.0000193836,34,0.0000191103,0.0000203736,17,0.0050639373,-10.5712219329,9127.9980000000,9146.9980000000,9150.9970000000,9101.2980000000,0.0107385524,0.0086592078
2013-11-15,DAX,510,0.0000194167,0.0000172147,510,0.0000165746,0.0000169303,102,0.0000144767,0.0000136616,51,0.0000110850,0.0000119070,34,0.0000070567,0.0000084992,17,0.0040711940,-11.0076378939,9143.2980000000,9170.7980000000,9188.4980000000,9133.4910000000,0.0025985674,-0.0004045861
2013-11-18,DAX,510,0.0000260292,0.0000234729,510,0.0000296261,0.0000196131,102,0.0000292687,0.0000243622,51,0.0000354042,0.0000203377,34,0.0000334113,0.0000272346,17,0.0054429830,-10.4268560622,9153.4980000000,9232.7970000000,9254.7980000000,9139.9980000000,0.0067377308,-0.0018882041
2013-11-19,DAX,510,0.0000210555,0.0000204203,510,0.0000191576,0.0000177754,102,0.0000169554,0.0000189239,51,0.0000138505,0.0000155821,34,0.0000068556,0.0000063010,17,0.0043769392,-10.8628112232,9204.7970000000,9194.9970000000,9217.2980000000,9179.2980000000,-0.0041025044,-0.0030372750
2013-11-20,DAX,510,0.0000435965,0.0000369152,510,0.0000351589,0.0000250566,102,0.0000325485,0.0000383054,51,0.0000275182,0.0000299526,34,0.0000290484,0.0000302367,17,0.0059294975,-10.2556316107,9182.2970000000,9200.7970000000,9235.2980000000,9160.9970000000,0.0006305789,-0.0013821406
2013-11-21,DAX,510,0.0000388779,0.0000330120,510,0.0000231782,0.0000208015,102,0.0000210772,0.0000175971,51,0.0000202228,0.0000165788,34,0.0000212504,0.0000173708,17,0.0048143725,-10.6722991415,9153.9980000000,9202.7970000000,9210.9980000000,9114.9980000000,0.0002173489,-0.0050993870
2013-11-22,DAX,510,0.0000276391,0.0000239104,510,0.0000216831,0.0000199265,102,0.0000206971,0.0000189703,51,0.0000216604,0.0000147056,34,0.0000200840,0.0000136793,17,0.0046565143,-10.7389762116,9208.9970000000,9215.1790000000,9228.2970000000,9168.9970000000,0.0013445562,0.0006734814
2013-11-25,DAX,510,0.0000182570,0.0000176831,510,0.0000152013,0.0000129882,102,0.0000160610,0.0000152553,51,0.0000174459,0.0000181021,34,0.0000150897,0.0000093074,17,0.0038988908,-11.0941263496,9254.9980000000,9303.2980000000,9324.2980000000,9250.7970000000,0.0095169452,0.0043117141
2013-11-26,DAX,510,0.0000150097,0.0000140872,510,0.0000127982,0.0000129937,102,0.0000088328,0.0000081992,51,0.0000095077,0.0000095557,34,0.0000050840,0.0000045241,17,0.0035774594,-11.2662047915,9296.9970000000,9299.4980000000,9316.4600000000,9287.7970000000,-0.0004085407,-0.0006775162
2013-11-27,DAX,510,0.0000162588,0.0000146528,510,0.0000146642,0.0000152781,102,0.0000156170,0.0000115458,51,0.0000100724,0.0000123680,34,0.0000081837,0.0000060529,17,0.0038293866,-11.1301012772,9308.4970000000,9352.4970000000,9364.9970000000,9296.7980000000,0.0056829463,0.0009672187
2013-11-28,DAX,510,0.0000093520,0.0000086264,510,0.0000071781,0.0000078457,102,0.0000077799,0.0000058515,51,0.0000045155,0.0000045312,34,0.0000048248,0.0000048552,17,0.0026791987,-11.8444750688,9360.7980000000,9391.2970000000,9399.9980000000,9358.7510000000,0.0041400429,0.0008871768
2013-11-29,DAX,510,0.0000097512,0.0000096423,510,0.0000106334,0.0000098643,102,0.0000078561,0.0000050583,51,0.0000117346,0.0000077649,34,0.0000063115,0.0000039117,17,0.0032608958,-11.4515066785,9380.2980000000,9406.9980000000,9425.2980000000,9378.5280000000,0.0016704710,-0.0011718771
2013-12-02,DAX,510,0.0000190786,0.0000190295,510,0.0000142234,0.0000109947,102,0.0000129692,0.0000115965,51,0.0000118739,0.0000124887,34,0.0000156604,0.0000174828,17,0.0037713928,-11.1606218097,9413.2980000000,9403.2970000000,9424.9980000000,9383.4980000000,-0.0003935079,0.0006694900
2013-12-03,DAX,510,0.0000450449,0.0000414613,510,0.0000400039,0.0000364301,102,0.0000449505,0.0000445865,51,0.0000421871,0.0000403575,34,0.0000608609,0.0000317253,17,0.0063248673,-10.1265324524,9396.9980000000,9228.2970000000,9402.9970000000,9221.7970000000,-0.0187858480,-0.0006700959
2013-12-04,DAX,510,0.0000773561,0.0000713039,510,0.0001011155,0.0000757808,102,0.0000937375,0.0000606848,51,0.0001372686,0.0001061097,34,0.0001375264,0.0000589508,17,0.0100556214,-9.1992469095,9246.2970000000,9138.7970000000,9253.7980000000,9092.7970000000,-0.0097457669,0.0019486226
2013-12-05,DAX,510,0.0000663912,0.0000622911,510,0.0000544772,0.0000548119,102,0.0000444733,0.0000444948,51,0.0000408752,0.0000454908,34,0.0000349239,0.0000281296,17,0.0073808696,-9.8177276237,9117.2970000000,9088.9980000000,9171.4980000000,9076.2970000000,-0.0054640865,-0.0023553790
2013-12-06,DAX,510,0.0000756463,0.0000711836,510,0.0000521193,0.0000444986,102,0.0000497134,0.0000518551,51,0.0000551930,0.0000628157,34,0.0000541393,0.0000348662,17,0.0072193675,-9.8619758736,9128.9970000000,9170.4980000000,9193.7970000000,9082.2970000000,0.0089269212,0.0043911599
2013-12-09,DAX,510,0.0000346525,0.0000288841,510,0.0000300441,0.0000283714,102,0.0000282781,0.0000296285,51,0.0000209446,0.0000207704,34,0.0000210280,0.0000112439,17,0.0054812511,-10.4128437854,9220.9980000000,9199.2970000000,9223.1350000000,9169.2980000000,0.0031354758,0.0054916823
2013-12-10,DAX,510,0.0000513616,0.0000473018,510,0.0000393274,0.0000372978,102,0.0000532753,0.0000467234,51,0.0000539128,0.0000516712,34,0.0000571639,0.0000708530,17,0.0062711584,-10.1435883723,9176.2980000000,9126.7330000000,9222.5170000000,9089.7970000000,-0.0079192688,-0.0025032128
