Date,Symbol,RV_1min,RS_pos_1min,RS_neg_1min,SignedJump_1min,BPV_1min,BPV_c_1min,MedRV_1min,RQ_1min,TQ_1min,RSkew_1min,RKurt_1min,NBars_1min,NZeroRet_1min,MaxAbsRet_1min,RV_5min,RS_pos_5min,RS_neg_5min,SignedJump_5min,BPV_5min,BPV_c_5min,MedRV_5min,RQ_5min,TQ_5min,RSkew_5min,RKurt_5min,NBars_5min,NZeroRet_5min,MaxAbsRet_5min,RV_ss5min,Jump_BPV_5min,Jump_MedRV_5min,ContVar_MedRV_5min,JumpShare_5min,RSV_Ratio_5min,RV_SE_5min,RV_RelSE_5min,NoiseRatio_1v5
2013-09-30,DAX,1.60030959451e-06,7.55763373613e-07,8.44546220898e-07,-8.87828472852e-08,1.45380907002e-06,1.59918997702e-06,1.96178676826e-06,1.48264514803e-12,1.72155081839e-12,0.000844724397864,1.73680258714,11,0,0.000571485235662,1.29137174941e-06,5.25946950998e-07,7.65424798414e-07,-2.39477847416e-07,8.05966553317e-07,1.20894982997e-06,1.75196796776e-06,7.68273411873e-13,5.70890120293e-13,-0.433156870211,1.38208417896,3,0,0.000874885591614,8.32116870363e-07,8.24219194362e-08,0,1.29137174941e-06,0,0.592722272856,7.15669109702e-07,0.554192942527,1.23923230878
2013-10-01,DAX,3.21420347665e-05,2.04452511672e-05,1.16967835994e-05,8.74846756781e-06,2.72509289539e-05,2.730903328e-05,2.34369987756e-05,3.72411045748e-09,1.04078189277e-09,1.34768480647,10.8142666882,470,9,0.00188676025251,2.8644462751e-05,1.91326398321e-05,9.51182291889e-06,9.62081691323e-06,2.77443612632e-05,2.80218048758e-05,2.82933002984e-05,1.02216489658e-09,6.84705149053e-10,0.863824308889,3.73732490267,101,2,0.00173641300792,2.80348804147e-05,6.22657875205e-07,3.51162452646e-07,2.82933002984e-05,0.0122593485414,0.332064978896,4.49898755736e-06,0.157063080445,1.12210290156
2013-10-02,DAX,4.2781787899e-05,1.78086951974e-05,2.49730927016e-05,-7.16439750423e-06,3.98946770822e-05,3.99793791567e-05,3.52367037741e-05,7.30289709834e-09,5.49313360592e-09,-1.17208282716,11.9701219628,472,12,0.00225408502941,4.58087625832e-05,1.76335439073e-05,2.81752186759e-05,-1.05416747687e-05,3.88287856568e-05,3.92170735134e-05,3.39252282462e-05,6.47345209901e-09,2.27002425243e-09,-1.34801439494,9.25465156847,101,3,0.00355310283001,4.58058770855e-05,6.59168906982e-06,1.18835343371e-05,3.39252282462e-05,0.259416182995,0.615061771746,1.13219773131e-05,0.247157457975,0.933921492012
2013-10-03,DAX,1.68956888383e-05,7.37969831905e-06,9.51599051923e-06,-2.13629220019e-06,1.59869257206e-05,1.60378394968e-05,1.65617997952e-05,4.95398826076e-10,4.82630703179e-10,-0.503024146566,5.20624285193,315,0,0.000859489365549,1.67484855761e-05,6.31536590188e-06,1.04331196742e-05,-4.11775377232e-06,1.31785183608e-05,1.3387701192e-05,1.22955042662e-05,6.51822035625e-10,2.28811841218e-10,-0.928754773811,6.97106618094,64,0,0.0020989276332,1.66402671596e-05,3.36078438411e-06,4.45298130989e-06,1.22955042662e-05,0.265873668975,0.622929137492,4.51325144583e-06,0.269472211402,1.00878904911
2013-10-04,DAX,2.06228993479e-05,1.28903746655e-05,7.73252468232e-06,5.15784998322e-06,1.59403513897e-05,1.59765794611e-05,1.50190272353e-05,1.09782722656e-09,3.1074833971e-10,1.00626560606,7.7438299518,441,1,0.00127887180862,2.06391363199e-05,1.47851434667e-05,5.85399285316e-06,8.93115061358e-06,2.01478546339e-05,2.0374235023e-05,2.1039216443e-05,6.55394140884e-10,3.12493684801e-10,1.30703210802,4.61573397091,90,0,0.00175548329122,2.04493598029e-05,2.64901296887e-07,0,2.06391363199e-05,0,0.283635553466,3.81632208309e-06,0.184907063161,0.999213292078
2013-10-07,DAX,2.33889126753e-05,1.50988089372e-05,8.29010373814e-06,6.80870519902e-06,1.94159590819e-05,1.94596887194e-05,1.81748821134e-05,2.30700703684e-09,8.88776820367e-10,1.5687241727,12.6517356524,445,0,0.00167003747207,2.89528344403e-05,2.21425440333e-05,6.81029040696e-06,1.53322536263e-05,2.22124520365e-05,2.2456544916e-05,1.70555821391e-05,3.33921748797e-09,4.66940544356e-10,2.29666268008,11.9504370084,92,0,0.00303638272452,2.88720179472e-05,6.49628952424e-06,1.18972523011e-05,1.70555821391e-05,0.410918396458,0.235220161985,8.52007538236e-06,0.29427431017,0.807828080651
2013-10-08,DAX,3.61510518835e-05,1.66071261764e-05,1.95439257071e-05,-2.93679953076e-06,3.02922596638e-05,3.03540806018e-05,2.73023343077e-05,4.42038228591e-09,1.47375936981e-09,-0.228705954269,10.1470361526,491,1,0.00177240942945,3.61663588852e-05,1.58425061252e-05,2.032385276e-05,-4.48134663483e-06,3.11027316067e-05,3.14137589228e-05,3.72232743843e-05,1.92991650457e-09,1.30454443075e-09,-0.208139464027,4.42639533798,101,1,0.00211341182728,3.61643418907e-05,4.75259996243e-06,0,3.61663588852e-05,0,0.561954628182,6.1819227112e-06,0.170930193189,0.999576761328
2013-10-09,DAX,4.16532625658e-05,1.82194200953e-05,2.34338424705e-05,-5.21442237519e-06,3.02443054075e-05,3.03066648001e-05,2.83032600072e-05,1.23180295886e-08,1.31744989727e-09,-1.5130996321,21.2992567993,486,0,0.00273292292528,3.7844189015e-05,1.55230868086e-05,2.23211022065e-05,-6.79801539794e-06,3.47363728684e-05,3.50837365971e-05,3.05520765237e-05,3.39371217951e-09,1.99370454518e-09,-0.606011824589,7.10882553557,101,0,0.00274230598115,3.78228683495e-05,2.76045241795e-06,7.29211249139e-06,3.05520765237e-05,0.192687772712,0.589815841941,8.19769610173e-06,0.216617037254,1.10065147781
2013-10-10,DAX,4.05764551798e-05,3.20682740545e-05,8.5081811253e-06,2.35600929292e-05,1.78151777254e-05,1.7862059772e-05,1.6465285065e-05,3.05055071973e-08,3.92507942932e-10,5.41447743158,55.5841920618,381,0,0.00356164419589,3.95082185887e-05,3.10354272445e-05,8.47279134418e-06,2.25626359003e-05,2.75410242257e-05,2.78768903748e-05,2.35019880156e-05,6.30159299802e-09,7.02729199317e-10,2.50020463617,12.1114658437,83,0,0.00343829941959,3.9462536138e-05,1.16313282139e-05,1.60062305731e-05,2.35019880156e-05,0.405136732175,0.214456425697,1.23225652528e-05,0.311898781899,1.02703833859
2013-10-11,DAX,1.90363249211e-05,1.01234158429e-05,8.91290907817e-06,1.21050676474e-06,1.73506919533e-05,1.73876870321e-05,1.78217891229e-05,6.25884322338e-10,5.6294331151e-10,0.280751446295,5.18142373245,470,0,0.000938221247402,2.05460211036e-05,1.14404257192e-05,9.10559538436e-06,2.33483033484e-06,1.9653731054e-05,1.98502683645e-05,1.71933810631e-05,5.30013782707e-10,5.56049249709e-10,0.316820686179,3.76662997602,101,0,0.00139193995352,1.99800872902e-05,6.95752739066e-07,3.35264004049e-06,1.71933810631e-05,0.163177095146,0.443180474626,3.23964850406e-06,0.157677658741,0.926521238596
