Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2011-09-19,HSI,330,0.0001041541,0.0001167671,330,0.0001115403,0.0001012951,66,0.0000812122,0.0000544034,33,0.0000662569,0.0000703529,22,0.0000826838,0.0000490410,11,0.0105612641,-9.1011246118,19438.0000000000,18928.5100000000,19438.0000000000,18876.0600000000,,
2011-09-20,HSI,187,0.0001399425,0.0001217586,187,0.0001878966,0.0001431215,43,0.0002023765,0.0001963455,23,0.0001958063,0.0001730154,16,0.0001905818,0.0001644800,9,0.0137075375,-8.5796188325,18929.3500000000,19014.1000000000,19053.0100000000,18732.7500000000,0.0045115581,0.0000443765
2011-09-21,HSI,330,0.0001246135,0.0001283956,330,0.0001181610,0.0001171399,66,0.0000789085,0.0000716666,33,0.0001021947,0.0001011119,22,0.0001062263,0.0001139064,11,0.0108701908,-9.0434620464,18997.8000000000,18830.2000000000,19023.5700000000,18705.1500000000,-0.0097188452,-0.0008576262
2011-09-22,HSI,329,0.0001328241,0.0001484460,329,0.0003070814,0.0002620927,66,0.0001457584,0.0001176534,33,0.0001167653,0.0000773804,22,0.0000837479,0.0000476755,11,0.0175237393,-8.0883975740,18769.3200000000,17921.4600000000,18769.3200000000,17859.3100000000,-0.0494630865,-0.0032383420
2011-09-23,HSI,328,0.0002641019,0.0002842129,328,0.0005195171,0.0003721186,66,0.0004404768,0.0003436527,33,0.0003186488,0.0002624766,22,0.0002770807,0.0003203057,11,0.0227929175,-7.5626108523,17896.1200000000,17647.5800000000,17896.1200000000,17373.8100000000,-0.0154002139,-0.0014149479
2012-02-06,HSI,330,0.0000530321,0.0000548131,330,0.0000626187,0.0000560240,66,0.0000808698,0.0000453929,33,0.0000732619,0.0000466272,22,0.0000849880,0.0000958025,11,0.0079131998,-9.6784461050,20775.8800000000,20722.4100000000,20991.8100000000,20633.8800000000,0.1606170599,0.1631940350
2012-02-07,HSI,329,0.0000508506,0.0000520157,329,0.0000593700,0.0000618795,66,0.0000385211,0.0000424372,33,0.0000383282,0.0000435134,22,0.0000242739,0.0000161532,11,0.0077051932,-9.7317214847,20734.9000000000,20706.8600000000,20865.3600000000,20649.2700000000,-0.0007506770,0.0006025476
2012-02-08,HSI,330,0.0000357883,0.0000335769,330,0.0000451363,0.0000363079,66,0.0000381818,0.0000361118,33,0.0000395598,0.0000194924,22,0.0000303514,0.0000233268,11,0.0067183580,-10.0058230071,20724.1900000000,21017.0300000000,21017.0300000000,20724.1900000000,0.0148680151,0.0008365707
2012-02-09,HSI,328,0.0000697148,0.0000630088,328,0.0000855855,0.0000660652,66,0.0000673551,0.0000577134,33,0.0000624453,0.0000429976,22,0.0000560175,0.0000411938,11,0.0092512424,-9.3659948472,20987.0600000000,21011.1300000000,21053.0600000000,20787.8400000000,-0.0002807641,-0.0014270041
2012-02-10,HSI,330,0.0000366758,0.0000334424,330,0.0000603252,0.0000420158,66,0.0000596358,0.0000547277,33,0.0000493280,0.0000395654,22,0.0000388927,0.0000385919,11,0.0077669279,-9.7157611415,20991.1200000000,20797.6600000000,21002.3300000000,20703.7900000000,-0.0102118169,-0.0009528062
2012-02-13,HSI,330,0.0000449242,0.0000408252,330,0.0000466627,0.0000494008,66,0.0000634015,0.0000689698,33,0.0000691534,0.0000249360,22,0.0000333802,0.0000262792,11,0.0068310137,-9.9725643816,20758.9900000000,20893.2800000000,20969.8000000000,20673.9600000000,0.0045870958,-0.0018610745
2012-02-14,HSI,328,0.0000395928,0.0000363795,328,0.0000393391,0.0000286007,66,0.0000306096,0.0000288691,33,0.0000241232,0.0000247103,22,0.0000239904,0.0000222513,11,0.0062720850,-10.1432928819,20874.8900000000,20909.1800000000,20947.9500000000,20813.5300000000,0.0007607208,-0.0008805749
2012-02-15,HSI,330,0.0000407240,0.0000368205,330,0.0000554688,0.0000587165,66,0.0000616576,0.0000669670,33,0.0000840259,0.0000763332,22,0.0000962436,0.0000782532,11,0.0074477357,-9.7996904482,20936.7300000000,21364.6900000000,21403.2800000000,20933.3900000000,0.0215512623,0.0013167358
2012-02-16,HSI,330,0.0000402109,0.0000414011,330,0.0000371662,0.0000365134,66,0.0000353107,0.0000275565,33,0.0000399392,0.0000339496,22,0.0000353229,0.0000232317,11,0.0060964084,-10.2001109330,21339.7200000000,21280.1300000000,21339.7200000000,21157.6300000000,-0.0039657858,-0.0011694344
2012-02-17,HSI,330,0.0000414587,0.0000469044,330,0.0000461148,0.0000316320,66,0.0000292074,0.0000196739,33,0.0000344629,0.0000257255,22,0.0000275559,0.0000260569,11,0.0067907856,-9.9843772795,21296.6300000000,21487.1300000000,21546.7300000000,21296.6300000000,0.0096803778,0.0007750708
