Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2011-09-19,NDX,390,0.0001498602,0.0001409225,390,0.0001736963,0.0001714748,78,0.0001938718,0.0002084237,39,0.0001461040,0.0001564646,26,0.0001675123,0.0001029901,13,0.0131793878,-8.6582024001,2277.6400000000,2308.9500000000,2319.7300000000,2260.6600000000,,
2011-09-20,NDX,387,0.0001343554,0.0001257792,387,0.0001444155,0.0001647850,78,0.0001403759,0.0001194570,39,0.0001432089,0.0001315615,26,0.0001591866,0.0001334414,13,0.0120173010,-8.8428158295,2318.5700000000,2295.3600000000,2337.6000000000,2293.0600000000,-0.0059031818,0.0041577406
2011-09-21,NDX,389,0.0002384304,0.0002482612,389,0.0002116854,0.0002003743,78,0.0002445781,0.0002185593,39,0.0002995548,0.0003364293,26,0.0003460030,0.0001449387,13,0.0145494117,-8.4604094427,2308.4100000000,2259.1700000000,2321.1300000000,2258.9200000000,-0.0158922048,0.0056692819
2011-09-22,NDX,342,0.0004301955,0.0003971720,342,0.0004390023,0.0003705233,69,0.0005299263,0.0004781450,35,0.0004496938,0.0004912508,23,0.0004919845,0.0005515188,12,0.0209523814,-7.7310059348,2195.4200000000,2171.4400000000,2219.7100000000,2159.0700000000,-0.0396069473,-0.0286241170
2012-01-19,NDX,285,0.0000103023,0.0000103435,285,0.0000115536,0.0000137189,57,0.0000109256,0.0000087051,29,0.0000098986,0.0000113213,19,0.0000128721,0.0000147388,10,0.0033990563,-11.3685148902,2442.6000000000,2441.2700000000,2445.5000000000,2436.2300000000,0.1171278538,0.1176725038
2012-01-20,NDX,390,0.0000201965,0.0000196289,390,0.0000195268,0.0000189637,78,0.0000191713,0.0000135007,39,0.0000168513,0.0000162938,26,0.0000190973,0.0000162797,13,0.0044189156,-10.8437218841,2428.6600000000,2436.2400000000,2438.2500000000,2428.6600000000,-0.0020625285,-0.0051787308
2012-01-23,NDX,390,0.0000373697,0.0000355106,390,0.0000508138,0.0000421814,78,0.0000473942,0.0000385526,39,0.0000507576,0.0000465689,26,0.0000287447,0.0000288674,13,0.0071283782,-9.8873430614,2436.8600000000,2437.3700000000,2455.2200000000,2424.2900000000,0.0004637220,0.0002544581
2012-01-24,NDX,390,0.0000289134,0.0000213686,390,0.0000302517,0.0000315055,78,0.0000246147,0.0000223826,39,0.0000279446,0.0000239514,26,0.0000209279,0.0000251530,13,0.0055001590,-10.4059565481,2427.7900000000,2433.0900000000,2440.2000000000,2423.3600000000,-0.0017575346,-0.0039382106
2012-01-25,NDX,390,0.0000614794,0.0000526157,390,0.0000572777,0.0000548468,78,0.0000551586,0.0000579181,39,0.0000400789,0.0000437936,26,0.0000508322,0.0000593712,13,0.0075682009,-9.7675997972,2456.5500000000,2465.5400000000,2470.5700000000,2440.5700000000,0.0132487960,0.0095958721
2012-01-26,NDX,390,0.0000380936,0.0000378364,390,0.0000462897,0.0000467105,78,0.0000533786,0.0000595111,39,0.0000536121,0.0000586620,26,0.0000630358,0.0000680777,13,0.0068036521,-9.9805914630,2474.4200000000,2454.5900000000,2479.3100000000,2444.8700000000,-0.0044511093,0.0035951747
2012-01-27,NDX,390,0.0000362927,0.0000342309,390,0.0000283926,0.0000229647,78,0.0000286420,0.0000270733,39,0.0000366428,0.0000390003,26,0.0000207253,0.0000249047,13,0.0053284672,-10.4693833266,2450.3800000000,2462.2700000000,2467.4600000000,2449.8300000000,0.0031239475,-0.0017166266
2012-01-30,NDX,390,0.0000416023,0.0000386352,390,0.0000512754,0.0000496574,78,0.0000416990,0.0000372921,39,0.0000431507,0.0000465934,26,0.0000467798,0.0000456703,13,0.0071606829,-9.8782998439,2438.3300000000,2465.2500000000,2468.3400000000,2433.6400000000,0.0012095335,-0.0097703099
2012-01-31,NDX,390,0.0000503893,0.0000473704,390,0.0000688216,0.0000636573,78,0.0000619322,0.0000522211,39,0.0000447994,0.0000538789,26,0.0000542182,0.0000407631,13,0.0082958784,-9.5839929327,2476.5900000000,2468.2700000000,2481.5100000000,2453.0600000000,0.0012242782,0.0045893918
2012-02-01,NDX,388,0.0000342609,0.0000350615,388,0.0000215835,0.0000211024,78,0.0000202256,0.0000209963,39,0.0000146480,0.0000085246,26,0.0000150711,0.0000131368,13,0.0046457995,-10.7435836191,2481.6200000000,2488.2300000000,2497.3100000000,2474.2900000000,0.0080541140,0.0053940723
2012-02-02,NDX,390,0.0000208020,0.0000199269,390,0.0000205666,0.0000210536,78,0.0000245416,0.0000213364,39,0.0000205012,0.0000203042,26,0.0000117528,0.0000140546,13,0.0045350424,-10.7918417034,2495.0800000000,2495.5200000000,2504.1600000000,2487.1500000000,0.0029255100,0.0027491785
2012-02-03,NDX,390,0.0000179934,0.0000170262,390,0.0000152501,0.0000112138,78,0.0000165919,0.0000187477,39,0.0000142632,0.0000127071,26,0.0000075068,0.0000057859,13,0.0039051351,-11.0909257979,2518.8600000000,2528.1000000000,2532.2600000000,2514.9900000000,0.0129709081,0.0093092939
