Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2011-09-20,NKY,170,0.0000288544,0.0000228307,170,0.0000349559,0.0000326761,43,0.0000439643,0.0000337313,22,0.0000259424,0.0000136642,15,0.0000103730,0.0000075775,8,0.0059123544,-10.2614223050,8763.6100000000,8710.2100000000,8770.7100000000,8704.2300000000,,
2011-09-21,NKY,270,0.0000453651,0.0000335726,270,0.0000527048,0.0000464014,55,0.0000339603,0.0000308617,28,0.0000323645,0.0000200794,19,0.0000195508,0.0000062029,10,0.0072598072,-9.8508040202,8717.0000000000,8745.0800000000,8771.6200000000,8707.2800000000,0.0039953557,0.0007792412
2011-09-22,NKY,252,0.0000546397,0.0000329212,252,0.0000616252,0.0000404655,55,0.0000431116,0.0000272077,28,0.0000470668,0.0000388627,19,0.0000681035,0.0000412240,10,0.0078501724,-9.6944395757,8634.6500000000,8559.2300000000,8634.6500000000,8545.4600000000,-0.0214810237,-0.0127080785
2012-02-06,NKY,300,0.0000156282,0.0000144088,300,0.0000169537,0.0000108677,60,0.0000171278,0.0000131836,30,0.0000143159,0.0000141777,20,0.0000060207,0.0000058403,10,0.0041174886,-10.9850237499,8939.9900000000,8924.1500000000,8949.3200000000,8916.9400000000,0.0417508522,0.0435242378
2012-02-07,NKY,298,0.0000154790,0.0000130498,298,0.0000222492,0.0000172389,60,0.0000220843,0.0000160751,30,0.0000192958,0.0000147858,20,0.0000142656,0.0000099831,10,0.0047169102,-10.7132026113,8904.1600000000,8922.7100000000,8928.4400000000,8887.4000000000,-0.0001613729,-0.0022425018
2012-02-08,NKY,300,0.0000150233,0.0000120864,300,0.0000171150,0.0000097466,60,0.0000184581,0.0000163443,30,0.0000125935,0.0000156461,20,0.0000207539,0.0000205007,10,0.0041370326,-10.9755530243,8971.8800000000,9012.0700000000,9012.1700000000,8957.0400000000,0.0099650779,0.0054955295
2012-02-09,NKY,298,0.0000211054,0.0000182311,298,0.0000298626,0.0000244005,60,0.0000298684,0.0000259909,30,0.0000290350,0.0000320253,20,0.0000241087,0.0000172839,10,0.0054646722,-10.4189022753,8996.1300000000,9003.2300000000,9018.4900000000,8942.8700000000,-0.0009813881,-0.0017703051
2012-02-10,NKY,300,0.0000161678,0.0000109503,300,0.0000174603,0.0000113936,60,0.0000161424,0.0000149154,30,0.0000143820,0.0000139647,20,0.0000080853,0.0000080905,10,0.0041785540,-10.9555800658,9010.5300000000,8959.3000000000,9016.9700000000,8953.2400000000,-0.0048913029,0.0008104916
2012-02-13,NKY,299,0.0000291047,0.0000232038,299,0.0000430611,0.0000280127,60,0.0000397022,0.0000171622,30,0.0000299500,0.0000152301,20,0.0000354838,0.0000243926,10,0.0065620978,-10.0528898959,8954.0300000000,8996.6300000000,9023.5000000000,8948.5400000000,0.0041579638,-0.0005883887
2012-02-14,NKY,300,0.0000280547,0.0000262966,300,0.0000364640,0.0000337109,60,0.0000316389,0.0000353212,30,0.0000304791,0.0000306900,20,0.0000406764,0.0000386526,10,0.0060385423,-10.2191852734,8996.4900000000,9061.0700000000,9072.0800000000,8972.7400000000,0.0071371519,-0.0000155615
2012-02-15,NKY,300,0.0000361576,0.0000346015,300,0.0000552980,0.0000415759,60,0.0000586809,0.0000525166,30,0.0000645480,0.0000629058,20,0.0000806192,0.0001113012,10,0.0074362639,-9.8027734502,9108.8400000000,9276.4200000000,9314.3300000000,9107.6800000000,0.0234884819,0.0052581559
2012-02-16,NKY,300,0.0000335444,0.0000336572,300,0.0000511779,0.0000440777,60,0.0000590341,0.0000611933,30,0.0000681123,0.0000736835,20,0.0000877911,0.0000435943,10,0.0071538755,-9.8802020927,9232.3800000000,9241.2400000000,9308.9300000000,9214.2300000000,-0.0037996207,-0.0047588264
2012-02-17,NKY,300,0.0000288060,0.0000309467,300,0.0000324056,0.0000342014,60,0.0000401442,0.0000455202,30,0.0000240107,0.0000214617,20,0.0000110475,0.0000126239,10,0.0056925898,-10.3371799694,9371.1200000000,9395.7000000000,9435.0300000000,9369.2500000000,0.0165760620,0.0139565437
2012-02-20,NKY,300,0.0000220572,0.0000197645,300,0.0000222640,0.0000214304,60,0.0000187449,0.0000150887,30,0.0000175777,0.0000123448,20,0.0000250505,0.0000197907,10,0.0047184711,-10.7125408885,9534.0300000000,9484.1700000000,9547.5800000000,9462.6700000000,0.0093719552,0.0146153656
2012-02-21,NKY,300,0.0000392552,0.0000388864,300,0.0000651893,0.0000505602,60,0.0000332041,0.0000344943,30,0.0000290567,0.0000259281,20,0.0000184810,0.0000150025,10,0.0080739899,-9.6382150099,9458.6800000000,9472.2700000000,9517.0400000000,9440.4100000000,-0.0012555102,-0.0026912545
2012-02-22,NKY,300,0.0000390320,0.0000336932,300,0.0000441821,0.0000496272,60,0.0000545867,0.0000517298,30,0.0000783666,0.0000523783,20,0.0000295878,0.0000251652,10,0.0066469652,-10.0271897762,9459.7400000000,9558.0100000000,9564.0500000000,9442.9600000000,0.0090109636,-0.0013236843
2012-02-23,NKY,300,0.0000277222,0.0000197010,300,0.0000336176,0.0000214109,60,0.0000272940,0.0000293801,30,0.0000149761,0.0000141729,20,0.0000212374,0.0000101852,10,0.0057980659,-10.3004617614,9549.7700000000,9592.0600000000,9609.8400000000,9513.6500000000,0.0035561265,-0.0008624760
2012-02-24,NKY,300,0.0000263558,0.0000220343,300,0.0000399354,0.0000348290,60,0.0000351366,0.0000329863,30,0.0000228401,0.0000285464,20,0.0000386436,0.0000438257,10,0.0063194432,-10.1282483671,9594.8500000000,9631.2800000000,9643.5100000000,9576.2100000000,0.0040804620,0.0002908233
2012-02-27,NKY,300,0.0000263302,0.0000249881,300,0.0000342552,0.0000355627,60,0.0000346218,0.0000301810,30,0.0000338673,0.0000341000,20,0.0000212047,0.0000153474,10,0.0058527911,-10.2816732320,9726.2000000000,9636.0700000000,9736.1100000000,9629.3400000000,0.0004972142,0.0098071403
2012-02-28,NKY,300,0.0000514304,0.0000466880,300,0.0000849772,0.0000939038,60,0.0001068390,0.0000988716,30,0.0001243637,0.0000928068,20,0.0001857278,0.0001119329,10,0.0092183055,-9.3731280912,9567.1200000000,9719.1900000000,9720.0100000000,9528.7700000000,0.0085889325,-0.0071811294
