Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2011-09-19,SPX,364,0.0000651747,0.0000677287,364,0.0001098700,0.0001200260,74,0.0001093610,0.0000973589,37,0.0001255369,0.0001226395,25,0.0001617595,0.0000879333,13,0.0104818871,-9.1162130997,1199.4700000000,1208.9700000000,1208.9700000000,1188.5600000000,,
2011-09-20,SPX,346,0.0000626096,0.0000642452,346,0.0001002342,0.0000849477,74,0.0000891311,0.0000763619,37,0.0000986156,0.0001212443,25,0.0001050235,0.0001128186,13,0.0100117014,-9.2080014633,1209.1700000000,1208.1800000000,1220.2800000000,1201.5700000000,-0.0006536624,0.0001654164
2011-09-21,SPX,307,0.0000595515,0.0000623959,307,0.0000962487,0.0000896903,72,0.0000958257,0.0000902179,37,0.0001079495,0.0000743682,25,0.0000771299,0.0000712288,13,0.0098106422,-9.2485750812,1203.6300000000,1183.5000000000,1206.0300000000,1183.5000000000,-0.0206389451,-0.0037731043
2011-09-22,SPX,295,0.0001137997,0.0001275026,295,0.0001912272,0.0002210187,65,0.0002391800,0.0002467010,33,0.0001593347,0.0001795295,22,0.0001916443,0.0001090984,12,0.0138284908,-8.5620485243,1152.9400000000,1126.3700000000,1152.9400000000,1118.0300000000,-0.0494760774,-0.0261609482
2012-01-16,SPX,73,0.0000046859,0.0000040665,73,0.0000044076,0.0000027029,23,0.0000050050,0.0000054474,12,0.0000037510,0.0000021679,8,0.0000028375,0.0000028158,4,0.0020994182,-12.3321900456,1292.1000000000,1295.4000000000,1296.9000000000,1290.6000000000,0.1398194552,0.1372687292
2012-01-18,SPX,319,0.0000323636,0.0000278736,319,0.0000343665,0.0000227195,78,0.0000295236,0.0000250790,39,0.0000249196,0.0000220439,26,0.0000271260,0.0000186421,13,0.0058622926,-10.2784290343,1293.4000000000,1308.1000000000,1308.9000000000,1291.1000000000,0.0097561749,-0.0015451177
2012-01-19,SPX,280,0.0000075670,0.0000077550,280,0.0000081666,0.0000082137,56,0.0000089000,0.0000075367,28,0.0000075325,0.0000061844,19,0.0000075289,0.0000036754,10,0.0028577239,-11.7154596515,1312.1600000000,1313.7900000000,1315.4900000000,1311.8000000000,0.0043403872,0.0030989316
2012-01-20,SPX,263,0.0000174086,0.0000150753,263,0.0000143985,0.0000141467,76,0.0000143449,0.0000113140,39,0.0000094705,0.0000092492,26,0.0000097842,0.0000089590,13,0.0037945308,-11.1483890492,1313.0000000000,1315.6000000000,1315.9000000000,1309.6000000000,0.0013767454,-0.0006014946
2012-01-23,SPX,366,0.0000210020,0.0000203301,366,0.0000289920,0.0000211826,74,0.0000293531,0.0000224600,37,0.0000321385,0.0000258294,25,0.0000390988,0.0000361772,13,0.0053844252,-10.4484894471,1315.5300000000,1316.4700000000,1322.0000000000,1309.8900000000,0.0006610767,-0.0000532091
2012-01-24,SPX,369,0.0000203535,0.0000177287,369,0.0000160186,0.0000124600,74,0.0000118222,0.0000125703,37,0.0000121089,0.0000117555,25,0.0000141200,0.0000136927,13,0.0040023260,-11.0417591775,1313.8800000000,1314.0600000000,1314.8000000000,1306.1600000000,-0.0018323309,-0.0019693203
