Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2011-09-19,UKX,503,0.0001053834,0.0000982598,503,0.0000847096,0.0000829941,102,0.0000792653,0.0000782264,51,0.0000597205,0.0000670598,34,0.0000628740,0.0000604830,17,0.0092037845,-9.3762810426,5368.0900000000,5264.4900000000,5368.0900000000,5231.7000000000,,
2011-09-20,UKX,502,0.0001458396,0.0001274798,502,0.0001291554,0.0001330925,101,0.0001425111,0.0001438069,51,0.0002005265,0.0002124797,34,0.0002184634,0.0001879749,17,0.0113646566,-8.9544940744,5244.1500000000,5367.3000000000,5376.9300000000,5244.0900000000,0.0193407140,-0.0038711052
2011-09-21,UKX,510,0.0001408386,0.0001253974,510,0.0001333147,0.0001248942,102,0.0001160451,0.0001272713,51,0.0001322542,0.0001330769,34,0.0001506502,0.0001535949,17,0.0115461993,-8.9227979147,5363.3200000000,5272.9900000000,5366.0900000000,5268.9600000000,-0.0177274247,-0.0007418025
2011-09-22,UKX,509,0.0002227742,0.0002216097,509,0.0002837056,0.0002724291,102,0.0003152503,0.0003441471,51,0.0003078642,0.0002821592,34,0.0002713528,0.0002758474,17,0.0168435624,-8.1675735018,5287.6500000000,5042.7700000000,5287.6500000000,5013.5500000000,-0.0446420298,0.0027763487
2011-09-23,UKX,339,0.0001681411,0.0001517252,339,0.0002143241,0.0001729682,72,0.0002133963,0.0002371048,37,0.0002718708,0.0001815933,25,0.0003213900,0.0003147825,13,0.0146398132,-8.4480210639,5042.5500000000,4986.4500000000,5105.3500000000,4928.2400000000,-0.0112313005,-0.0000436278
2012-01-19,UKX,19,0.0000021226,0.0000016706,19,0.0000036196,0.0000027036,4,,,2,,,2,,,1,0.0019025180,-12.5291540636,5727.7100000000,5743.1900000000,5743.8200000000,5727.3200000000,0.1412905714,0.1385915661
2012-01-20,UKX,506,0.0000465884,0.0000318061,506,0.0000374810,0.0000323086,102,0.0000369315,0.0000339049,51,0.0000377182,0.0000249929,34,0.0000339171,0.0000266625,17,0.0061221741,-10.1916760071,5740.3800000000,5729.2000000000,5749.7700000000,5721.6100000000,-0.0024389002,-0.0004893949
2012-01-23,UKX,510,0.0000434978,0.0000387874,510,0.0000385262,0.0000407454,102,0.0000305102,0.0000300072,51,0.0000322176,0.0000281280,34,0.0000412029,0.0000304217,17,0.0062069508,-10.1641710311,5728.5600000000,5778.8000000000,5789.6900000000,5723.0900000000,0.0086201437,-0.0001117147
2012-01-24,UKX,510,0.0000476398,0.0000449840,510,0.0000426696,0.0000482307,102,0.0000452231,0.0000468185,51,0.0000462453,0.0000458054,34,0.0000347347,0.0000388547,17,0.0065321975,-10.0620237463,5782.1700000000,5743.8900000000,5782.1700000000,5719.8600000000,-0.0060593675,0.0005829961
2012-01-25,UKX,510,0.0000375572,0.0000341281,510,0.0000441183,0.0000474890,102,0.0000363979,0.0000323429,51,0.0000409620,0.0000347747,34,0.0000412109,0.0000410968,17,0.0066421616,-10.0286356582,5752.0000000000,5716.5300000000,5777.6800000000,5694.1500000000,-0.0047747032,0.0014109393
2012-01-26,UKX,510,0.0000365939,0.0000343123,510,0.0000454515,0.0000416523,102,0.0000463020,0.0000427133,51,0.0000527327,0.0000553536,34,0.0000526910,0.0000441305,17,0.0067417759,-9.9988638090,5722.8600000000,5793.3700000000,5806.2200000000,5722.8600000000,0.0133521823,0.0011067025
2012-01-27,UKX,510,0.0000539847,0.0000511028,510,0.0000505246,0.0000475785,102,0.0000487784,0.0000415370,51,0.0000476982,0.0000422517,34,0.0000607211,0.0000335521,17,0.0071080652,-9.8930503996,5794.9400000000,5736.1700000000,5794.9400000000,5728.9600000000,-0.0099224200,0.0002709627
2012-01-30,UKX,510,0.0000341440,0.0000330615,510,0.0000496270,0.0000508973,102,0.0000413857,0.0000368198,51,0.0000349311,0.0000307201,34,0.0000403164,0.0000286936,17,0.0070446399,-9.9109764843,5733.2500000000,5665.0100000000,5733.2500000000,5651.6000000000,-0.0124830805,-0.0005091801
2012-01-31,UKX,510,0.0000443235,0.0000401665,510,0.0000476730,0.0000381769,102,0.0000449986,0.0000397755,51,0.0000472019,0.0000365832,34,0.0000225700,0.0000198311,17,0.0069045630,-9.9511455618,5671.1800000000,5687.0300000000,5730.3200000000,5671.1800000000,0.0038794838,0.0010885493
2012-02-01,UKX,510,0.0000371662,0.0000332036,510,0.0000482860,0.0000410909,102,0.0000400291,0.0000335835,51,0.0000434462,0.0000432683,34,0.0000382907,0.0000274504,17,0.0069488141,-9.9383685411,5681.6500000000,5790.5600000000,5790.5800000000,5680.8000000000,0.0180408619,-0.0009464600
2012-02-02,UKX,510,0.0000378243,0.0000368146,510,0.0000407790,0.0000386375,102,0.0000376463,0.0000313493,51,0.0000336798,0.0000386751,34,0.0000212376,0.0000224475,17,0.0063858464,-10.1073424829,5790.8500000000,5792.1500000000,5809.8100000000,5765.7200000000,0.0002745472,0.0000500803
2012-02-03,UKX,510,0.0000691125,0.0000423032,510,0.0000949189,0.0000492718,102,0.0001206264,0.0000702795,51,0.0000966789,0.0000226795,34,0.0000977796,0.0000601582,17,0.0097426309,-9.2624881764,5796.0600000000,5899.1000000000,5900.1400000000,5784.2600000000,0.0182962444,0.0006748238
2012-02-06,UKX,510,0.0000335993,0.0000312173,510,0.0000345935,0.0000355462,102,0.0000305559,0.0000295692,51,0.0000189361,0.0000193440,34,0.0000202725,0.0000168269,17,0.0058816249,-10.2718444271,5901.0200000000,5887.8300000000,5901.0200000000,5863.5500000000,-0.0019122882,0.0003254204
2012-02-07,UKX,510,0.0000348377,0.0000337431,510,0.0000297833,0.0000301354,102,0.0000306726,0.0000250476,51,0.0000246228,0.0000201234,34,0.0000246385,0.0000287114,17,0.0054574084,-10.4215624911,5892.0000000000,5883.3300000000,5906.6500000000,5850.4900000000,-0.0007645806,0.0007079899
2012-02-08,UKX,507,0.0000256579,0.0000213898,507,0.0000308410,0.0000322706,102,0.0000309552,0.0000232188,51,0.0000285478,0.0000264893,34,0.0000281669,0.0000268193,17,0.0055534697,-10.3866647442,5890.2800000000,5874.3500000000,5916.2000000000,5871.3300000000,-0.0015275125,0.0011806066
2012-02-09,UKX,510,0.0000460285,0.0000468270,510,0.0000538456,0.0000551992,102,0.0000520861,0.0000522836,51,0.0000411047,0.0000312132,34,0.0000347768,0.0000354485,17,0.0073379531,-9.8293907023,5875.8000000000,5892.8900000000,5916.0500000000,5870.5500000000,0.0031511239,0.0002468054
