Date,Symbol,RV_1min,RS_pos_1min,RS_neg_1min,SignedJump_1min,BPV_1min,BPV_c_1min,MedRV_1min,RQ_1min,TQ_1min,RSkew_1min,RKurt_1min,NBars_1min,NZeroRet_1min,MaxAbsRet_1min,RV_5min,RS_pos_5min,RS_neg_5min,SignedJump_5min,BPV_5min,BPV_c_5min,MedRV_5min,RQ_5min,TQ_5min,RSkew_5min,RKurt_5min,NBars_5min,NZeroRet_5min,MaxAbsRet_5min,RV_ss5min,Jump_BPV_5min,Jump_MedRV_5min,ContVar_MedRV_5min,JumpShare_5min,RSV_Ratio_5min,RV_SE_5min,RV_RelSE_5min,NoiseRatio_1v5
2011-09-19,UKX,0.000105383446824,5.54399095109e-05,4.99435373129e-05,5.496372198e-06,9.8259806797e-05,9.84559341559e-05,9.69285134479e-05,1.64200717456e-08,1.3097236338e-08,0.275346992309,4.43559113519,502,0,0.0018442066732,8.47096490388e-05,3.531244692e-05,4.93972021187e-05,-1.40847551987e-05,8.29941287627e-05,8.38240700503e-05,7.5199872605e-05,7.44289664705e-09,7.11961001341e-09,-0.379192755083,3.11169826889,101,0,0.00285414610956,8.47096490388e-05,8.8557898847e-07,9.5097764338e-06,7.5199872605e-05,0.11226320191,0.583135483139,1.21401850077e-05,0.143315255646,1.24405481571
2011-09-20,UKX,0.000145839639951,8.38384229306e-05,6.20012170207e-05,2.183720591e-05,0.000127479755283,0.000127734714793,0.000120044353034,3.9993579236e-08,2.42251000474e-08,0.272314392817,5.64105534904,501,1,0.00285514834095,0.00012915541977,9.21106955406e-05,3.70447242296e-05,5.50659713111e-05,0.000133092505268,0.000134436874008,0.000128778262254,1.81266015732e-08,1.97308387937e-08,0.979092419429,3.25996076481,100,1,0.00328003574105,0.00012915541977,0,3.77157516638e-07,0.000128778262254,0.00292018342946,0.286822839456,1.90402739335e-05,0.147421408776,1.12917940425
2011-09-21,UKX,0.000140838646735,6.62147116747e-05,7.46239350599e-05,-8.40922338518e-06,0.000125397438672,0.000125644284024,0.000121254179189,2.7710533843e-08,2.00168938164e-08,-0.0608633251263,4.19104631639,509,2,0.00210793484644,0.000133314719272,5.0108121866e-05,8.32065974057e-05,-3.30984755396e-05,0.000124894205953,0.000126143148012,0.00012060183274,2.05761757416e-08,1.45475810962e-08,-0.550128608838,3.47319934391,101,0,0.0032745285792,0.000133314719272,7.17157125928e-06,1.27128865317e-05,0.00012060183274,0.0953599617591,0.624136613423,2.01853665953e-05,0.151411387321,1.05643733493
2011-09-22,UKX,0.000222774190593,9.50335294096e-05,0.000127740661184,-3.27071317743e-05,0.000221609713318,0.000222046813344,0.000216471087125,6.78274229992e-08,6.70887426402e-08,-0.37966274258,4.1001224103,508,0,0.00274396254029,0.00028370559301,0.000112203474607,0.000171502118403,-5.92986437961e-05,0.000272429079157,0.000275153369948,0.000274398351346,1.00593877426e-07,7.19053316375e-08,-0.557672249755,3.74935884465,101,0,0.00614990580321,0.00028370559301,8.55222306187e-06,9.30724166431e-06,0.000274398351346,0.0328059858304,0.604507357728,4.4631356341e-05,0.157315743646,0.785230168463
2011-09-23,UKX,0.000168141138093,6.83980615489e-05,9.9743076544e-05,-3.13450149951e-05,0.000151725211893,0.000152175435074,0.000143516667744,4.96628709446e-08,2.41291781036e-08,-0.387402774593,5.26993321217,338,0,0.00290148925036,0.000214324129734,7.17355958295e-05,0.000142588533904,-7.08529380748e-05,0.000172968159078,0.000175439132779,0.000177740118372,5.56879648121e-08,2.43036821417e-08,-0.795731216183,3.63697623417,71,0,0.00474031389083,0.000214324129734,3.88849969543e-05,3.65840113617e-05,0.000177740118372,0.170694785544,0.665293889593,3.96065028137e-05,0.18479721748,0.784518002251
2012-01-19,UKX,2.12260526874e-06,1.86101989245e-06,2.61585376291e-07,1.59943451616e-06,1.67056723729e-06,1.76883589831e-06,1.91724229931e-06,4.77132073449e-12,2.27724086461e-12,1.44611077478,3.17703054506,18,1,0.000850943674589,3.6195745609e-06,3.61393993701e-06,5.63462389211e-09,3.60830531312e-06,2.70359303044e-06,4.05538954566e-06,4.11047302736e-06,7.94700813343e-12,3.09677668407e-13,1.32262676846,1.81974216314,3,0,0.00162745320363,3.61844763612e-06,0,0,3.6195745609e-06,0,0.00155670888866,2.30173965128e-06,0.635914418271,0.586423965863
2012-01-20,UKX,4.65884020882e-05,2.82992188281e-05,1.828918326e-05,1.00100355681e-05,3.18061163192e-05,3.18692236929e-05,3.03014704457e-05,2.39092470392e-08,1.17521806816e-09,2.74177762493,33.0469606969,505,1,0.003345624654,3.74810154788e-05,1.98930882834e-05,1.75879271954e-05,2.30516108806e-06,3.23085837857e-05,3.26316696236e-05,3.0660621144e-05,3.05166326089e-09,7.29160898545e-10,0.62752985376,6.51681160892,101,0,0.00278154109201,3.74810154788e-05,4.84934585524e-06,6.82039433484e-06,3.0660621144e-05,0.181969304932,0.469248950987,7.77360762216e-06,0.207401200924,1.24298665586
2012-01-23,UKX,4.34977858163e-05,2.49904882865e-05,1.85072975299e-05,6.4831907566e-06,3.87874438524e-05,3.88637970883e-05,3.49842476817e-05,4.56342805798e-09,2.00046652198e-09,0.528011387988,7.23566017836,509,1,0.00154643474817,3.85262384296e-05,2.43011050278e-05,1.42251334018e-05,1.0075971626e-05,4.07453861318e-05,4.11528399931e-05,3.85996357347e-05,1.3348352784e-09,1.81977340668e-09,0.497709710628,2.69796129342,101,1,0.0014573264561,3.85262384296e-05,0,0,3.85262384296e-05,0,0.369232346101,5.1412432106e-06,0.133447837634,1.12904315576
2012-01-24,UKX,4.76397538691e-05,2.17989732828e-05,2.58407805863e-05,-4.0418073035e-06,4.49840260203e-05,4.50725772526e-05,4.43920773053e-05,3.6528020678e-09,2.71281907953e-09,-0.380218329442,4.82845709466,509,2,0.00134529869752,4.2669603787e-05,1.80607884367e-05,2.46088153503e-05,-6.5480269136e-06,4.8230659253e-05,4.87129658456e-05,4.66796413224e-05,1.63139857928e-09,2.59814495986e-09,-0.401620573505,2.68809191164,101,0,0.00165401841475,4.2669603787e-05,0,0,4.2669603787e-05,0,0.576729408436,5.6837419331e-06,0.133203531991,1.11647987422
2012-01-25,UKX,3.75571582538e-05,1.61337648373e-05,2.14233934165e-05,-5.28962857917e-06,3.41281082141e-05,3.41952895295e-05,3.32685729525e-05,2.30502052346e-09,1.35235881675e-09,-0.44900740719,4.90242098995,509,0,0.00131626617327,4.41183104732e-05,1.51159717755e-05,2.90023386977e-05,-1.38863669222e-05,4.74890175524e-05,4.79639077279e-05,4.44004006289e-05,2.35719045287e-09,2.72796173385e-09,-0.777292993333,3.63310695229,101,0,0.00219136371737,4.41183104732e-05,0,0,4.41183104732e-05,0,0.657376458586,6.83205962143e-06,0.15485768943,0.851282786012
