Year,SPX,NDX,UKX,DAX,NKY,HSI
2011,0.0,0.0,0.0,,0.0,0.0
2012,370.0,390.0,510.0,,300.0,330.0
2013,370.0,390.0,510.0,0.0,300.0,330.0
2014,369.0,389.0,510.0,510.0,299.0,330.0
2015,390.0,390.0,510.0,510.0,0.0,330.0
2016,390.0,390.0,510.0,510.0,240.0,330.0
2017,381.0,390.0,510.0,510.0,196.0,330.0
2018,390.0,390.0,510.0,510.0,277.0,330.0
2019,389.0,390.0,510.0,510.0,261.0,330.0
2020,390.0,390.0,510.0,510.0,296.0,330.0
2021,390.0,390.0,510.0,510.0,299.0,330.0
2022,390.0,390.0,510.0,510.0,297.0,330.0
2023,390.0,390.0,510.0,510.0,299.0,330.0
2024,390.0,390.0,510.0,510.0,300.0,330.0
2025,390.0,390.0,510.0,510.0,300.0,330.0
2026,390.0,390.0,510.0,510.0,300.0,330.0
