Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,2013-09-27,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007303539191,5.334168471e-05,-0.01839642976,-0.01475990678,-0.01236257315,-0.02356376195,-0.01918015909,-0.00777817139,,True,
2013-10-01,2013-09-30,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007714683303,5.951633847e-05,-0.01930391122,-0.01547403799,-0.01295442127,-0.02476885493,-0.02013802223,0.01096305568,4.902784043e-05,True,
2013-10-02,2013-10-01,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007653492226,5.857594325e-05,-0.01948771581,-0.01568762616,-0.01318739995,-0.02490925791,-0.02031499634,-0.006896643161,7.840624283e-05,True,
2013-10-04,2013-10-02,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007889495418,6.224413795e-05,-0.01976826742,-0.01585121986,-0.01327395753,-0.0253562955,-0.02062086629,-0.0007477451451,,True,
2013-10-07,2013-10-04,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007695771289,5.922489573e-05,-0.01938192383,-0.01556087306,-0.01304673253,-0.02483282523,-0.0202135597,-0.003646878268,,True,
2013-10-08,2013-10-07,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007641089606,5.838625037e-05,-0.01918826909,-0.01539428817,-0.01289778545,-0.02459978607,-0.02001372072,-0.004162769448,6.190231207e-05,True,
2013-10-09,2013-10-08,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007631655723,5.824216907e-05,-0.01915471078,-0.01536495971,-0.01287113476,-0.02455972712,-0.01997906404,-0.004592075328,6.477408483e-05,True,
2013-10-10,2013-10-09,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007658614295,5.865437292e-05,-0.01921528847,-0.01541221766,-0.01290956937,-0.02463904323,-0.02004244061,0.01965818218,,True,
2013-10-11,2013-10-10,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007914129871,6.263345162e-05,-0.02031192111,-0.01638184845,-0.01379538845,-0.02591575102,-0.0211662961,0.004486992224,3.516655393e-05,True,
2013-10-14,2013-10-11,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007729046525,5.973816019e-05,-0.01956015911,-0.01572196644,-0.01319585512,-0.02503245038,-0.02039435863,-0.0001169727866,,True,
2013-10-15,2013-10-14,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.00753400364,5.676121085e-05,-0.01897534608,-0.01523367847,-0.0127710395,-0.02430977033,-0.01978847269,0.009200168726,,True,
2013-10-16,2013-10-15,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007447281767,5.546200572e-05,-0.01892120699,-0.01522265331,-0.012788269,-0.02419362711,-0.01972475948,0.004709190909,,True,
2013-10-17,2013-10-16,DAX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007293503987,5.319520041e-05,-0.01844393838,-0.01482178862,-0.01243757044,-0.02360689844,-0.0192306842,-0.003853166918,,True,
