Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,2013-09-27,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007169048571,5.139525741e-05,-0.01800304657,-0.01441164129,-0.01173101395,-0.02201938749,-0.01836717904,-0.007784299453,,True,
2013-10-01,2013-09-30,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007516608328,5.649940076e-05,-0.01889463734,-0.01512911858,-0.01231853283,-0.02310569287,-0.01927642317,-0.0003405294746,5.468023227e-05,True,
2013-10-02,2013-10-01,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007321669843,5.360684929e-05,-0.01850867798,-0.01484081557,-0.01210312059,-0.02261052245,-0.01888056244,-0.003489051805,0.0001063788894,True,
2013-10-03,2013-10-02,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007243252786,5.246471092e-05,-0.01826136715,-0.01463278853,-0.011924415,-0.02231927975,-0.01862926862,0.001784814038,,True,
2013-10-04,2013-10-03,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007060663835,4.985297379e-05,-0.01787440875,-0.01433729987,-0.0116971994,-0.02183002892,-0.01823303611,0.0007595040298,,True,
2013-10-07,2013-10-04,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.006886400551,4.742251255e-05,-0.01741430391,-0.01396449392,-0.01138955342,-0.02127229595,-0.01776408003,-0.002575416804,,True,
2013-10-08,2013-10-07,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.006786158849,4.605195192e-05,-0.0171085008,-0.01370890788,-0.01117144943,-0.02091033409,-0.01745318542,-0.01116928642,5.018534717e-05,True,
2013-10-09,2013-10-08,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007687726962,5.910114584e-05,-0.0192806274,-0.01542938508,-0.01255481521,-0.02358754931,-0.01967110474,-0.004392412998,3.819907247e-05,True,
2013-10-10,2013-10-09,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.00765448932,5.859120675e-05,-0.01929735397,-0.01546276238,-0.01260062061,-0.02358565505,-0.0196861431,0.01450482789,,True,
2013-10-11,2013-10-10,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007563393501,5.720492125e-05,-0.01934804607,-0.01555908982,-0.01273101031,-0.02358531222,-0.01973220823,0.008778738983,2.783105989e-05,True,
2013-10-14,2013-10-11,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007407232782,5.486709749e-05,-0.01886369889,-0.01515297288,-0.01238328448,-0.02301347857,-0.01923992928,0.00315508644,,True,
2013-10-15,2013-10-14,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007220373801,5.213379783e-05,-0.01830254117,-0.01468542401,-0.01198560531,-0.0223476362,-0.01866928057,0.006341529442,,True,
2013-10-16,2013-10-15,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.007060578162,4.985176398e-05,-0.01794247349,-0.01440540753,-0.01176533909,-0.02189804566,-0.0183010965,0.003429698373,,True,
2013-10-17,2013-10-16,UKX,GARCH-EVT,GARCH-EVT-GPD-q95-expanding-on-GJRskewt,1,0.006892949528,4.75127532e-05,-0.01747103112,-0.01401794036,-0.01144055108,-0.02133269211,-0.01782113988,0.0006997516064,,True,
