Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-10-07,2013-09-27,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01677545575,0.0002814159156,-0.04171246268,-0.03294852701,-0.02617241517,,,-0.008106382284,,True,
2013-10-08,2013-09-30,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01765091269,0.0003115547187,-0.04388759372,-0.03466629651,-0.02753656125,,,-0.004490980342,,True,
2013-10-09,2013-10-01,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01752040528,0.0003069646012,-0.04380973173,-0.03465661499,-0.0275795956,,,-0.02004611135,,True,
2013-10-10,2013-10-02,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01802412962,0.0003248692485,-0.04487176929,-0.03545549383,-0.02817500501,,,0.006508713991,,True,
2013-10-11,2013-10-04,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01761056989,0.0003101321717,-0.04388081768,-0.0346805966,-0.02756715702,,,0.01174345136,,True,
2013-10-14,2013-10-07,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01749396183,0.0003060387005,-0.04353664543,-0.03439734344,-0.02733100536,,,0.01527335684,,True,
2013-10-15,2013-10-08,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01747384996,0.0003053354323,-0.04347706284,-0.03434826782,-0.02729005353,,,0.02863629502,,True,
2013-10-16,2013-10-09,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01753132683,0.0003073474204,-0.04362073087,-0.03446190844,-0.02738047751,,,0.03793756125,,True,
2013-10-17,2013-10-10,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01807676709,0.0003267695085,-0.04538003856,-0.0359362639,-0.02863451322,,,0.01442621215,,True,
2013-10-18,2013-10-11,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01768155655,0.0003126374419,-0.044138841,-0.03490153464,-0.02775942141,,,0.01594918308,,True,
2013-10-21,2013-10-14,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01726576957,0.0002981067988,-0.04299177866,-0.03397169027,-0.02699752591,,,0.01630528059,,True,
2013-10-22,2013-10-15,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01708113906,0.0002917653117,-0.04264124426,-0.03371761165,-0.02681802512,,,0.01611350023,,True,
2013-10-23,2013-10-16,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01675413138,0.0002807009182,-0.04172694167,-0.03297414641,-0.02620664813,,,0.008314911418,,True,
2013-10-24,2013-10-17,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01672738193,0.0002798053064,-0.04153759581,-0.03279877515,-0.02604208178,,,0.0189578102,,True,
2013-10-25,2013-10-18,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01645560409,0.0002707869061,-0.04096776287,-0.03237092605,-0.02572401193,,,0.0135167267,,True,
2013-10-28,2013-10-21,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01611608424,0.0002597281713,-0.04000298795,-0.03158352516,-0.02507375334,,,0.01248828008,,True,
2013-10-29,2013-10-22,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01601212465,0.0002563881357,-0.03985486113,-0.03148970954,-0.02502193013,,,0.008300788139,,True,
2013-10-30,2013-10-23,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01592690839,0.0002536664109,-0.03946384762,-0.03114321523,-0.02470985723,,,0.01008469496,,True,
2013-10-31,2013-10-24,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01574018343,0.0002477533743,-0.03911571513,-0.03089263273,-0.02453469857,,,0.005916350397,,True,
2013-11-01,2013-10-25,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01544918286,0.0002386772509,-0.03827099331,-0.03019993719,-0.02395954693,,,0.002455305391,,True,
2013-11-04,2013-10-28,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01520688884,0.0002312494681,-0.03762107634,-0.02967660095,-0.02353408053,,,0.006503182932,0.000145102177,True,
2013-11-05,2013-10-29,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01497756306,0.0002243273953,-0.03701709299,-0.02919831776,-0.02315339522,,,-0.001434150227,0.0001535140421,True,
2013-11-06,2013-10-30,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01479528831,0.0002189005561,-0.03645300398,-0.0287293821,-0.02275802538,,,0.00339043583,0.0001486549287,True,
2013-11-07,2013-10-31,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01458304991,0.0002126653446,-0.03595815345,-0.02834532692,-0.02245962931,,,0.005201279242,0.0003126784824,True,
2013-11-08,2013-11-01,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01460282254,0.0002132424262,-0.03592887197,-0.02830572349,-0.02241204567,,,0.007790569664,0.0003414779077,True,
2013-11-11,2013-11-04,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01441412313,0.0002077669456,-0.03552784808,-0.02800320683,-0.02218568782,,,0.007785052212,0.0003416280297,True,
2013-11-12,2013-11-05,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01448018695,0.0002096758141,-0.03560642566,-0.02804729694,-0.02220311467,,,0.007450177246,0.0003409272317,True,
2013-11-13,2013-11-06,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01430529044,0.0002046413344,-0.03524842369,-0.02778059665,-0.02200700235,,,0.001542903962,0.0003883553329,True,
2013-11-14,2013-11-07,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01416633521,0.0002006850532,-0.03490016127,-0.02750487338,-0.02178736121,,,0.007529084809,0.0002284859013,True,
2013-11-15,2013-11-08,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01399453643,0.00019584705,-0.03438371012,-0.02707810678,-0.02142993235,,,0.009909688388,0.0001961617433,True,
2013-11-18,2013-11-11,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01385208247,0.0001918801888,-0.03406504288,-0.02683380514,-0.02124312492,,,0.01282595186,0.0002285100586,True,
2013-11-19,2013-11-12,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01402459059,0.0001966891411,-0.03441582121,-0.02709452862,-0.02143422438,,,0.01278737044,0.0002282579866,True,
2013-11-20,2013-11-13,DAX,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.01403724138,0.0001970441456,-0.03446431369,-0.02713641697,-0.02147100689,,,0.01613016704,0.0002159365287,True,
