Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-10-04,2013-09-27,NKY,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.02419570797,0.000585432284,-0.06196979807,-0.04971164081,-0.04025607629,,,-0.05113336104,,True,
2013-10-07,2013-09-30,NKY,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.02911024595,0.0008474064194,-0.07414183536,-0.05939384893,-0.04801770696,,,-0.04257076749,,True,
2013-10-08,2013-10-01,NKY,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.02804245854,0.0007863794808,-0.07185168513,-0.05764466679,-0.04668581093,,,-0.04159326171,,True,
2013-10-09,2013-10-02,NKY,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.03251584499,0.001057280175,-0.08279259053,-0.06631924154,-0.05361220811,,,-0.009405120224,,True,
2013-10-10,2013-10-03,NKY,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.03123123017,0.0009753897377,-0.07991596966,-0.064093439,-0.05188842677,,,0.002642496805,,True,
2013-10-11,2013-10-04,NKY,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.03099962106,0.0009609765059,-0.07916662129,-0.06346142967,-0.05134692914,,,0.02676511337,,True,
2013-10-15,2013-10-07,NKY,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.03150650763,0.0009926600229,-0.08040408125,-0.06444208808,-0.05212949875,,,0.04158384127,,True,
2013-10-16,2013-10-08,NKY,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.0302879219,0.0009173582132,-0.07758752421,-0.06224289737,-0.0504065254,,,0.04037882626,,True,
2013-10-17,2013-10-09,NKY,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.02937546661,0.0008629180385,-0.07540089501,-0.06051854109,-0.04903875218,,,0.038340584,,True,
2013-10-18,2013-10-10,NKY,GJR-skewt-h5,GJR-skewt-AR1-expanding-refit21-horizon5,1,0.02858190243,0.0008169251464,-0.07339639162,-0.05891607737,-0.04774640947,,,0.02551445198,,True,
