Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,2013-09-27,DAX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007303539191,5.334168471e-05,-0.0186163435,-0.01480078412,-0.01185066467,,,-0.00777817139,,True,
2013-10-01,2013-09-30,DAX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007714683303,5.951633846e-05,-0.01958092665,-0.01555057486,-0.01243438191,,,0.01096305568,,True,
2013-10-02,2013-10-01,DAX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007653492226,5.857594325e-05,-0.01968727768,-0.0156888937,-0.01259741768,,,-0.006896643161,,True,
2013-10-04,2013-10-02,DAX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007889495418,6.224413795e-05,-0.02004863287,-0.01592695467,-0.01274014985,,,-0.0007477451451,,True,
2013-10-07,2013-10-04,DAX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007695771289,5.922489573e-05,-0.01963134941,-0.01561087774,-0.01250232393,,,-0.003646878268,,True,
2013-10-08,2013-10-07,DAX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007641089606,5.838625037e-05,-0.01944785825,-0.01545595372,-0.01236948749,,,-0.004162769448,,True,
2013-10-09,2013-10-08,DAX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007631655723,5.824216908e-05,-0.01941597879,-0.01542900277,-0.01234634717,,,-0.004592075328,,True,
2013-10-10,2013-10-09,DAX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007658614295,5.865437291e-05,-0.01948009242,-0.01547903253,-0.01238548755,,,0.01965818218,,True,
2013-10-11,2013-10-10,DAX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007914129871,6.263345161e-05,-0.02048924504,-0.01635469716,-0.01315794174,,,0.004486992224,,True,
2013-10-14,2013-10-11,DAX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007729046525,5.973816018e-05,-0.01979220997,-0.01575435445,-0.01263235977,,,-0.0001169727866,,True,
