Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,2013-09-27,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009038117345,8.168756514e-05,-0.0223011106,-0.01747612488,-0.01387227038,,,-0.01507313342,5.859321589e-05,True,
2013-10-02,2013-09-30,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01026106713,0.0001052894986,-0.02626380348,-0.02078594781,-0.01669445491,,,0.005436719009,5.390504211e-05,True,
2013-10-03,2013-10-02,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01002075499,0.0001004155305,-0.02471694558,-0.0193673802,-0.01537170924,,,0.009953566578,4.334572623e-05,True,
2013-10-04,2013-10-03,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.00987891401,9.759294202e-05,-0.02414985531,-0.01887601153,-0.01493689818,,,-0.003273207638,5.082688604e-05,True,
2013-10-07,2013-10-04,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.00971651086,9.441058329e-05,-0.02433921252,-0.01915206742,-0.01527771062,,,-0.007138653545,5.119003188e-05,True,
2013-10-08,2013-10-07,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009784971463,9.574566652e-05,-0.02468974658,-0.01946605389,-0.01556439914,,,0.008879276725,0.0001341716571,True,
2013-10-09,2013-10-08,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009645372582,9.303321224e-05,-0.02360411094,-0.01845494291,-0.01460895174,,,-0.006270094908,2.809045095e-05,True,
2013-10-10,2013-10-09,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009693840841,9.397055026e-05,-0.02441809064,-0.0192430479,-0.01537773053,,,-0.003595499446,0.0001874534933,True,
2013-10-11,2013-10-10,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009524442252,9.071500021e-05,-0.02386480039,-0.01878019083,-0.01498241937,,,0.01156702182,4.401429529e-05,True,
2013-10-15,2013-10-11,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009486012626,8.998443554e-05,-0.02307578469,-0.01801169074,-0.01422924269,,,0.005077859762,3.533059341e-05,True,
2013-10-16,2013-10-15,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009268987001,8.591412002e-05,-0.02281892445,-0.01787068931,-0.01417477795,,,-0.0046468375,0.0001185072453,True,
2013-10-17,2013-10-16,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009216087935,8.493627683e-05,-0.02312749859,-0.01820750354,-0.01453268513,,,-0.005761672668,7.376848052e-05,True,
2013-10-18,2013-10-17,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009213783886,8.48938135e-05,-0.02317244896,-0.01825368392,-0.01457978422,,,0.01056190945,6.5305116e-05,True,
2013-10-21,2013-10-18,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009167380761,8.404087002e-05,-0.02231020398,-0.01741621119,-0.01376081425,,,0.004192158689,5.238050421e-05,True,
2013-10-22,2013-10-21,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.008959772849,8.02775295e-05,-0.02207188284,-0.01728872122,-0.01371610576,,,-0.005225652161,3.731557905e-05,True,
2013-10-23,2013-10-22,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.008969141707,8.044550296e-05,-0.02252503357,-0.0177368704,-0.01416051921,,,-0.01364739306,0.0001263083632,True,
2013-10-24,2013-10-23,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009907758739,9.816368323e-05,-0.02529911313,-0.02000987064,-0.01605925575,,,-0.007161638746,9.645998764e-05,True,
2013-10-25,2013-10-24,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009922728574,9.846054235e-05,-0.02504159314,-0.01974435902,-0.01578777506,,,-0.006038582344,8.854941297e-05,True,
2013-10-28,2013-10-25,HSI,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.009874923652,9.751411713e-05,-0.02486866541,-0.01959695187,-0.01565942963,,,0.004757307312,3.995176815e-05,True,
