Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,2013-09-27,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01060162076,0.0001123943628,-0.02702721784,-0.02165616878,-0.01751310715,,,-0.02082987775,,True,
2013-10-01,2013-09-30,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01291212843,0.0001667230606,-0.03256223931,-0.02602062866,-0.02097463192,,,0.001998577087,,True,
2013-10-02,2013-10-01,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01241238,0.0001540671772,-0.03172665549,-0.02543823003,-0.02058753254,,,-0.02193263262,,True,
2013-10-03,2013-10-02,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01449989937,0.0002102470819,-0.03658397634,-0.0292379608,-0.02357147093,,,-0.0009347890694,,True,
2013-10-04,2013-10-03,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.0139019598,0.0001932644862,-0.03546334005,-0.02842025581,-0.02298743781,,,-0.009434638689,,True,
2013-10-07,2013-10-04,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01379403648,0.0001902754425,-0.03502587032,-0.02803746275,-0.02264682066,,,-0.0122672842,,True,
2013-10-08,2013-10-07,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01403018286,0.000196846031,-0.03557294344,-0.02846489816,-0.02298197122,,,0.002976082864,,True,
2013-10-09,2013-10-08,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.0134621617,0.0001812297975,-0.03441835653,-0.02759808513,-0.02233713808,,,0.01025550887,,True,
2013-10-10,2013-10-09,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01303609949,0.0001699398898,-0.03347281574,-0.02686839822,-0.0217739542,,,0.01111282796,,True,
2013-10-11,2013-10-10,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01266498306,0.0001604017958,-0.03254427271,-0.02612787216,-0.02117845863,,,0.01468797788,0.0001408486612,True,
2013-10-15,2013-10-11,NKY,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.01242653597,0.0001544187962,-0.03200555158,-0.02570995434,-0.02085372477,,,0.002551443695,,True,
