Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,2013-09-27,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007169048571,5.139525742e-05,-0.01791952145,-0.01447126919,-0.01173072862,,,-0.007784299453,,True,
2013-10-01,2013-09-30,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007516608328,5.649940075e-05,-0.01880706287,-0.01519163727,-0.01231823367,,,-0.0003405294746,5.468023227e-05,True,
2013-10-02,2013-10-01,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007321669843,5.360684929e-05,-0.0184233747,-0.01490171288,-0.01210282918,,,-0.003489051805,0.0001063788894,True,
2013-10-03,2013-10-02,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007243252786,5.246471092e-05,-0.01817697749,-0.01469303361,-0.01192412671,,,0.001784814038,,True,
2013-10-04,2013-10-03,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007060663835,4.98529738e-05,-0.0177921464,-0.01439602629,-0.01169691839,,,0.0007595040298,,True,
2013-10-07,2013-10-04,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006886400551,4.742251255e-05,-0.01733407186,-0.01402177092,-0.01138927934,,,-0.002575416804,,True,
2013-10-08,2013-10-07,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006786158849,4.605195192e-05,-0.01702943665,-0.01376535113,-0.01117117933,,,-0.01116928642,5.018534717e-05,True,
2013-10-09,2013-10-08,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007687726962,5.910114584e-05,-0.01919105926,-0.01549332704,-0.01255450923,,,-0.004392412998,3.819907247e-05,True,
2013-10-10,2013-10-09,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.00765448932,5.859120676e-05,-0.01920817308,-0.01552642789,-0.01260031597,,,0.01450482789,,True,
2013-10-11,2013-10-10,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007563393501,5.720492125e-05,-0.01925992652,-0.01562199764,-0.01273070929,,,0.008778738983,2.783105989e-05,True,
2013-10-14,2013-10-11,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007407232782,5.486709749e-05,-0.01877739873,-0.01521458185,-0.01238298967,,,0.00315508644,,True,
2013-10-15,2013-10-14,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007220373801,5.213379783e-05,-0.01821841807,-0.01474547879,-0.01198531793,,,0.006341529442,,True,
2013-10-16,2013-10-15,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007060578162,4.985176399e-05,-0.01786021214,-0.01446413323,-0.01176505808,,,0.003429698373,,True,
2013-10-17,2013-10-16,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006892949528,4.75127532e-05,-0.01739072277,-0.01407527183,-0.01144027674,,,0.0006997516064,,True,
2013-10-18,2013-10-17,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006727546188,4.525987771e-05,-0.01692961226,-0.01369371894,-0.01112195324,,,0.007030956317,1.68746267e-05,True,
2013-10-21,2013-10-18,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006600933509,4.357232319e-05,-0.01670283148,-0.0135278378,-0.01100447283,,,0.004760206672,,True,
2013-10-22,2013-10-21,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006465407792,4.180149792e-05,-0.01632450525,-0.0132146983,-0.01074314128,,,0.006217294881,,True,
2013-10-23,2013-10-22,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006347809623,4.029468701e-05,-0.01604758582,-0.0129943426,-0.0105677403,,,-0.003171263326,1.394684891e-05,True,
2013-10-24,2013-10-23,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006310873532,3.982712474e-05,-0.0158130613,-0.01277758403,-0.01036510144,,,0.005781471385,9.000609624e-06,True,
2013-10-25,2013-10-24,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006198060859,3.841595841e-05,-0.01566062318,-0.01267940786,-0.01031005061,,,0.001205792695,,True,
2013-10-28,2013-10-25,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006071448915,3.686249193e-05,-0.01527040222,-0.01235008618,-0.01002912939,,,0.0006692893335,,True,
2013-10-29,2013-10-28,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.005939973371,3.528328365e-05,-0.01492348628,-0.01206572337,-0.009794477806,,,0.007244265598,1.967832574e-05,True,
2013-10-30,2013-10-29,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.005862275789,3.436627742e-05,-0.01481673046,-0.0119963484,-0.009754811774,,,0.0004427260061,2.603257693e-05,True,
2013-10-31,2013-10-30,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.005753155345,3.309879643e-05,-0.01444568343,-0.01167779999,-0.009477987339,,,-0.006854708894,4.153385241e-05,True,
2013-11-01,2013-10-31,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.00614263448,3.773195835e-05,-0.01533467097,-0.01237940638,-0.01003067003,,,0.0004901631567,4.756435081e-05,True,
2013-11-04,2013-11-01,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006017259229,3.620740862e-05,-0.01511738896,-0.01222244328,-0.009921646208,,,0.004282012777,2.623918069e-05,True,
2013-11-05,2013-11-04,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.005911076258,3.494082253e-05,-0.01489987891,-0.0120560186,-0.009795822319,,,-0.002487017672,3.995956597e-05,True,
2013-11-06,2013-11-05,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.005867461274,3.442710181e-05,-0.01469572046,-0.01187284363,-0.009629324245,,,-0.0007561419347,2.769563299e-05,True,
2013-11-07,2013-11-06,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.005767514314,3.326422136e-05,-0.01446563628,-0.01169084464,-0.009485541599,,,-0.006622589848,7.813158913e-05,True,
2013-11-08,2013-11-07,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006126503104,3.753404028e-05,-0.01529688408,-0.01234938041,-0.01000681217,,,0.00167090015,5.533999329e-05,True,
2013-11-11,2013-11-08,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.006003390477,3.604069722e-05,-0.01509843167,-0.01221015835,-0.009914664223,,,0.002976901504,2.480508082e-05,True,
2013-11-12,2013-11-11,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.005891654421,3.471159182e-05,-0.0148325344,-0.01199801808,-0.009745248053,,,-0.0002378406924,3.803718198e-05,True,
2013-11-13,2013-11-12,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.005782148542,3.343324176e-05,-0.01450996673,-0.01172813446,-0.009517235787,,,-0.01449471448,5.680193686e-05,True,
2013-11-14,2013-11-13,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007586754893,5.75588498e-05,-0.01889863225,-0.01524859119,-0.01234767189,,,0.005430191777,4.127213552e-05,True,
2013-11-15,2013-11-14,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007398557125,5.473864753e-05,-0.01869519423,-0.01513569643,-0.01230673761,,,0.004086955649,3.241033877e-05,True,
2013-11-18,2013-11-15,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007214704981,5.205196797e-05,-0.01820952937,-0.01473848413,-0.01197982417,,,0.004486900658,3.775320307e-05,True,
2013-11-19,2013-11-18,UKX,GJR-skewt,GJR-skewt-AR1-expanding-refit21,1,0.007042494549,4.959672948e-05,-0.01777748138,-0.01438928779,-0.0116964753,,,-0.00379987791,3.32611661e-05,True,
