Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,2013-09-27,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.00777817139,,False,predictors_unavailable
2013-10-01,2013-09-30,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.01096305568,,False,predictors_unavailable
2013-10-02,2013-10-01,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.006896643161,,False,predictors_unavailable
2013-10-04,2013-10-02,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.0007477451451,,False,predictors_unavailable
2013-10-07,2013-10-04,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.003646878268,,False,predictors_unavailable
2013-10-08,2013-10-07,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.004162769448,,False,predictors_unavailable
2013-10-09,2013-10-08,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.004592075328,,False,predictors_unavailable
2013-10-10,2013-10-09,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.01965818218,,False,predictors_unavailable
2013-10-11,2013-10-10,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.004486992224,,False,predictors_unavailable
2013-10-14,2013-10-11,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.0001169727866,,False,predictors_unavailable
2013-10-15,2013-10-14,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.009200168726,,False,predictors_unavailable
2013-10-16,2013-10-15,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.004709190909,,False,predictors_unavailable
2013-10-17,2013-10-16,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.003853166918,,False,predictors_unavailable
2013-10-18,2013-10-17,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.006009963145,,False,predictors_unavailable
2013-10-21,2013-10-18,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.000239124727,,False,predictors_unavailable
2013-10-22,2013-10-21,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.009008388367,,False,predictors_unavailable
2013-10-23,2013-10-22,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.003089397903,,False,predictors_unavailable
2013-10-24,2013-10-23,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.006789731863,,False,predictors_unavailable
2013-10-25,2013-10-24,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.0005688796462,,False,predictors_unavailable
2013-10-28,2013-10-25,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.0007893218886,,False,predictors_unavailable
2013-10-29,2013-10-28,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.004820896421,,False,predictors_unavailable
2013-10-30,2013-10-29,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.001305491083,,False,predictors_unavailable
2013-10-31,2013-10-30,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.002621387301,,False,predictors_unavailable
2013-11-01,2013-10-31,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.002892165359,,False,predictors_unavailable
2013-11-04,2013-11-01,DAX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.003258555652,,False,predictors_unavailable
