Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,2013-09-27,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.006047479879,,False,predictors_unavailable
2013-10-01,2013-09-30,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.007966724581,4.103842709e-05,False,predictors_unavailable
2013-10-02,2013-10-01,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.0006668919395,4.570132671e-05,False,predictors_unavailable
2013-10-03,2013-10-02,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.009019972538,,False,predictors_unavailable
2013-10-04,2013-10-03,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.007028466811,3.490947573e-05,False,predictors_unavailable
2013-10-07,2013-10-04,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.008542747607,4.88390931e-05,False,predictors_unavailable
2013-10-08,2013-10-07,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.01240874996,8.139470235e-05,False,predictors_unavailable
2013-10-09,2013-10-08,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.0005737415845,8.8610125e-05,False,predictors_unavailable
2013-10-10,2013-10-09,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.02159562337,5.085271662e-05,False,predictors_unavailable
2013-10-11,2013-10-10,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.006266595276,3.992843816e-05,False,predictors_unavailable
2013-10-14,2013-10-11,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.004066441452,,False,predictors_unavailable
2013-10-15,2013-10-14,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.00708878958,8.026339991e-05,False,predictors_unavailable
2013-10-16,2013-10-15,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.01373280403,5.730765517e-05,False,predictors_unavailable
2013-10-17,2013-10-16,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.006721314211,,False,predictors_unavailable
2013-10-18,2013-10-17,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.006527405703,,False,predictors_unavailable
2013-10-21,2013-10-18,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,9.173210661e-05,7.789174209e-06,False,predictors_unavailable
2013-10-22,2013-10-21,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.005721116374,,False,predictors_unavailable
2013-10-23,2013-10-22,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.004735753204,,False,predictors_unavailable
2013-10-24,2013-10-23,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.003252838312,,False,predictors_unavailable
2013-10-25,2013-10-24,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.004385214824,1.756945955e-05,False,predictors_unavailable
2013-10-28,2013-10-25,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.001328816053,1.922018733e-05,False,predictors_unavailable
2013-10-29,2013-10-28,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,0.005568661317,1.627272217e-05,False,predictors_unavailable
2013-10-30,2013-10-29,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.004887849367,6.38842804e-05,False,predictors_unavailable
2013-10-31,2013-10-30,SPX,QR-Full,QR-Full-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,,,,,,,,-0.003846770834,5.46247648e-05,False,predictors_unavailable
