Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,2013-09-27,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.009386551168,8.810734284e-05,-0.02089990335,-0.01767910937,-0.01450302273,,,-0.00375284553,,True,
2013-10-01,2013-09-30,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01142667722,0.0001305689522,-0.02622949607,-0.02302664267,-0.01844228129,,,0.01077085105,,True,
2013-10-02,2013-10-01,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01144421626,0.0001309700859,-0.02412761543,-0.02173912176,-0.01632844788,,,6.45407299e-05,,True,
2013-10-03,2013-10-02,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01094327423,0.0001197552508,-0.02325692897,-0.02008196177,-0.01579915054,,,-0.012194177,,True,
2013-10-04,2013-10-03,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.009014078627,8.12536135e-05,-0.0278368718,-0.02334842085,-0.02169382907,,,0.008902849631,,True,
2013-10-07,2013-10-04,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01461407515,0.0002135711926,-0.02534801425,-0.02448657126,-0.01538860611,,,-0.008324310939,,True,
2013-10-08,2013-10-07,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.007605171653,5.783863586e-05,-0.02019241786,-0.01753527914,-0.01500953713,,,-0.019411628,,True,
2013-10-09,2013-10-08,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.008560029033,7.327409704e-05,-0.02892217531,-0.02485856085,-0.02308856477,,,-0.003598904756,,True,
2013-10-10,2013-10-09,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01549009982,0.0002399431924,-0.0299437102,-0.02796895837,-0.01938729629,,,0.02150121003,,True,
2013-10-11,2013-10-10,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01394737449,0.0001945292553,-0.02717628934,-0.02520069708,-0.01767123386,,,0.007134604853,,True,
2013-10-14,2013-10-11,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01292020591,0.0001669317209,-0.0262297482,-0.02273190943,-0.0174247022,,,0.006838379358,,True,
2013-10-15,2013-10-14,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01372732563,0.0001884394689,-0.02914259961,-0.02600634269,-0.01978750617,,,-0.003495055804,,True,
2013-10-16,2013-10-15,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01218238377,0.0001484104743,-0.02296644755,-0.02105705416,-0.0146642231,,,0.01134187443,,True,
2013-10-17,2013-10-16,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01174409529,0.0001379237742,-0.02233825228,-0.01903874543,-0.0143347189,,,0.005957865441,,True,
2013-10-18,2013-10-17,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.007679413117,5.897338582e-05,-0.02413494428,-0.01898695594,-0.01890146842,,,0.01580756886,,True,
2013-10-21,2013-10-18,NDX,QR-Range,QR-Range-expanding-min750-refit10-SigmaHatRECONSTRUCTED,1,0.01081993458,0.0001170709842,-0.0224093638,-0.01990742379,-0.01503564064,,,0.002174232867,,True,
