Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2015-09-28,,DAX,RealGARCH_ST,RealGARCH11-logRVscaled-causal-skewt-walkforward-refit252,1,0.01172021098,0.0001373633455,,,,,,-0.0213840416,0.0002864793002,False,no_prior_day_in_estimation_sample
2015-09-29,2015-09-28,DAX,RealGARCH_ST,RealGARCH11-logRVscaled-causal-skewt-walkforward-refit252,1,0.01426590696,0.0002035161014,-0.03781525418,-0.03042769559,-0.02459985498,-0.0459381546,-0.0383279842,-0.003501588155,0.0004274223134,True,
2015-09-30,2015-09-29,DAX,RealGARCH_ST,RealGARCH11-logRVscaled-causal-skewt-walkforward-refit252,1,0.01739411708,0.0003025553091,-0.04608673834,-0.03707924519,-0.02997348303,-0.05599081813,-0.04671189915,0.02198213033,0.0002208608602,True,
2015-10-01,2015-09-30,DAX,RealGARCH_ST,RealGARCH11-logRVscaled-causal-skewt-walkforward-refit252,1,0.01595128825,0.0002544435968,-0.04227166985,-0.03401134144,-0.02749499687,-0.05135421373,-0.04284497406,-0.01577423126,0.0003182028745,True,
2015-10-02,2015-10-01,DAX,RealGARCH_ST,RealGARCH11-logRVscaled-causal-skewt-walkforward-refit252,1,0.01691236568,0.000286028113,-0.04481291116,-0.03605489158,-0.02914593222,-0.05444268532,-0.04542075738,0.004597592368,0.0005620445917,True,
2015-10-05,2015-10-02,DAX,RealGARCH_ST,RealGARCH11-logRVscaled-causal-skewt-walkforward-refit252,1,0.02025140028,0.0004101192131,-0.05364184868,-0.04315471971,-0.03488171377,-0.06517284409,-0.05436970292,0.02702783419,0.0001880724169,True,
2015-10-06,2015-10-05,DAX,RealGARCH_ST,RealGARCH11-logRVscaled-causal-skewt-walkforward-refit252,1,0.01638324941,0.0002684108614,-0.04341384375,-0.0349298255,-0.0282370182,-0.05274234308,-0.04400267304,0.008930147103,0.0002045499004,True,
2015-10-07,2015-10-06,DAX,RealGARCH_ST,RealGARCH11-logRVscaled-causal-skewt-walkforward-refit252,1,0.01520025339,0.0002310477031,-0.04028581446,-0.03241440728,-0.0262048719,-0.04894072473,-0.04083212577,0.006800159993,0.0002418218848,True,
2015-10-08,2015-10-07,DAX,RealGARCH_ST,RealGARCH11-logRVscaled-causal-skewt-walkforward-refit252,1,0.01536210465,0.0002359942592,-0.04071377489,-0.0327585535,-0.02648289941,-0.04946084205,-0.04126590328,0.002271141234,0.0001866351549,True,
2015-10-09,2015-10-08,DAX,RealGARCH_ST,RealGARCH11-logRVscaled-causal-skewt-walkforward-refit252,1,0.0143966809,0.000207264421,-0.03816104125,-0.03070576175,-0.02482449799,-0.04635840337,-0.03867847141,0.0103068109,9.266946241e-05,True,
