Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-16,,NDX,RealGARCH,RealGARCH11-logRVscaled-causal-studentt-walkforward-refit252,1,0.01219177124,0.0001486392859,,,,,,-0.003021944438,4.776911968e-05,False,no_prior_day_in_estimation_sample
2013-09-17,2013-09-16,NDX,RealGARCH,RealGARCH11-logRVscaled-causal-studentt-walkforward-refit252,1,0.009371226489,8.781988591e-05,-0.02298974816,-0.0181607477,-0.01452077694,-0.02870306647,-0.02360316868,0.006962860839,1.712263376e-05,True,
2013-09-18,2013-09-17,NDX,RealGARCH,RealGARCH11-logRVscaled-causal-studentt-walkforward-refit252,1,0.006649238947,4.421237858e-05,-0.01615022833,-0.01272387022,-0.01014117356,-0.02020404334,-0.01658547334,0.01260655054,8.560705939e-05,True,
2013-09-19,2013-09-18,NDX,RealGARCH,RealGARCH11-logRVscaled-causal-studentt-walkforward-refit252,1,0.008513766351,7.248421748e-05,-0.02083521382,-0.01644806326,-0.01314114707,-0.02602576783,-0.02139250683,0.001947790305,4.240175303e-05,True,
2013-09-20,2013-09-19,NDX,RealGARCH,RealGARCH11-logRVscaled-causal-studentt-walkforward-refit252,1,0.007934941801,6.296330138e-05,-0.01938080526,-0.01529192345,-0.01220983423,-0.02421846961,-0.01990020965,-0.003986216721,,True,
2013-09-23,2013-09-20,NDX,RealGARCH,RealGARCH11-logRVscaled-causal-studentt-walkforward-refit252,1,0.008476926936,7.185829028e-05,-0.02074264767,-0.01637448049,-0.01308187346,-0.02591074194,-0.02129752925,-0.001672822673,,True,RV_imputed_in_recursion
2013-09-24,2013-09-23,NDX,RealGARCH,RealGARCH11-logRVscaled-causal-studentt-walkforward-refit252,1,0.008970461893,8.046918658e-05,-0.02198274965,-0.01736026351,-0.01387595769,-0.0274517354,-0.02256993697,-0.0002113004046,4.831085325e-05,True,RV_imputed_in_recursion
2013-09-25,2013-09-24,NDX,RealGARCH,RealGARCH11-logRVscaled-causal-studentt-walkforward-refit252,1,0.008349054012,6.970670289e-05,-0.02042134223,-0.01611906807,-0.01287612943,-0.02551147672,-0.02096785352,-0.003145959569,7.544573456e-05,True,
2013-09-26,2013-09-25,NDX,RealGARCH,RealGARCH11-logRVscaled-causal-studentt-walkforward-refit252,1,0.009021102064,8.138028245e-05,-0.02210999286,-0.0174614118,-0.01395743633,-0.02760985221,-0.02270049499,0.007913004757,4.54497147e-05,True,
2013-09-27,2013-09-26,NDX,RealGARCH,RealGARCH11-logRVscaled-causal-studentt-walkforward-refit252,1,0.008247638023,6.802353296e-05,-0.02016651496,-0.01591650053,-0.01271295388,-0.02519481957,-0.02070638777,-0.001157114374,,True,
