Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2012-02-06,,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01114810043,0.0001242801433,,,,,,0.0109532986,5.152851231e-05,False,no_prior_day_in_estimation_sample
2012-02-07,2012-02-06,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.009460222307,8.949580609e-05,-0.02358387476,-0.01835138707,-0.01452028029,-0.03013162122,-0.02438281659,-0.001308998611,6.762355912e-05,True,
2012-02-08,2012-02-07,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.009100672779,8.282224503e-05,-0.022666433,-0.01763281362,-0.01394731364,-0.02896532282,-0.02343500988,0.01093745525,5.201884293e-05,True,
2012-02-09,2012-02-08,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.008465830171,7.167028049e-05,-0.02104654179,-0.01636405646,-0.01293564872,-0.02690603512,-0.02176150446,-0.001481822438,9.076345858e-05,True,
2012-02-10,2012-02-09,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.009056647993,8.202287287e-05,-0.0225540975,-0.01754482841,-0.01387715714,-0.02882251624,-0.02331895636,-0.006136188801,5.306825821e-05,True,
2012-02-13,2012-02-10,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.008475708561,7.183763562e-05,-0.02107174791,-0.0163837988,-0.01295139061,-0.02693807842,-0.02178754484,0.005796154955,0.0001308784651,True,
2012-02-14,2012-02-13,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.009727492847,9.46241171e-05,-0.02426585356,-0.01888553744,-0.01494619409,-0.03099858719,-0.02508736712,0.005860067902,0.0001108273703,True,
2012-02-15,2012-02-14,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01016977192,0.0001034242609,-0.02539439153,-0.01976944903,-0.0156509959,-0.03243324177,-0.02625325677,0.02274725289,0.0001680708457,True,
2012-02-16,2012-02-15,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01129900397,0.0001276674907,-0.02827578771,-0.02202626235,-0.01745050405,-0.03609621844,-0.02923001971,-0.002404553722,0.0001555484018,True,
2012-02-17,2012-02-16,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01180252504,0.0001392995974,-0.02956059335,-0.02303256842,-0.01825289916,-0.03772952839,-0.03055734909,0.01568802434,9.849236889e-05,True,
2012-02-20,2012-02-17,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01106915327,0.0001225261541,-0.02768929096,-0.02156689696,-0.01708422131,-0.03535063408,-0.02862411143,0.01069685674,6.766832198e-05,True,
2012-02-21,2012-02-20,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.009932938766,9.866327252e-05,-0.02479007805,-0.01929612894,-0.01527358615,-0.03166500788,-0.02562894208,-0.002329554104,0.0001981340915,True,
2012-02-22,2012-02-21,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01151258689,0.000132539657,-0.02882077492,-0.02245311597,-0.01779086298,-0.03678903376,-0.02979304459,0.009568393511,0.0001342856524,True,
2012-02-23,2012-02-22,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01159177019,0.0001343691362,-0.02902282237,-0.02261136681,-0.01791704696,-0.03704588671,-0.03000177928,0.004341651183,0.0001021760474,True,
2012-02-24,2012-02-23,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01103687327,0.0001218125715,-0.02760692394,-0.02150238414,-0.01703278093,-0.03524592496,-0.02853901828,0.005384797618,0.0001213781252,True,
2012-02-27,2012-02-24,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01110358719,0.0001232896485,-0.02777715401,-0.02163571447,-0.01713909411,-0.03546233004,-0.02871488252,-0.001395153906,0.000104113933,True,
2012-02-28,2012-02-27,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01081505871,0.000116965495,-0.02704093256,-0.0210590793,-0.01667930434,-0.03452640807,-0.02795429405,0.009153586028,0.0002582765604,True,
2012-02-29,2012-02-28,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.012705796,0.0001614372519,-0.03186541766,-0.02483778987,-0.01969232292,-0.04065953772,-0.03293845712,7.412443731e-05,0.0002179964791,True,
2012-03-01,2012-02-29,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.0134488204,0.0001808707702,-0.03376135012,-0.02632275249,-0.0208763829,-0.04306974302,-0.03489714004,-0.001633517449,0.0003275878349,True,
2012-03-02,2012-03-01,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01501876668,0.0002255633526,-0.03776729135,-0.02946035,-0.02337819918,-0.04816229827,-0.03903566755,0.007150381988,0.0001561064254,True,
2012-03-05,2012-03-02,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01383675828,0.0001914558796,-0.03475122878,-0.02709806112,-0.02149458831,-0.04432812688,-0.03591978112,-0.008055286833,0.000146837529,True,
2012-03-06,2012-03-05,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01306430643,0.0001706761026,-0.03278020804,-0.02555428665,-0.02026363371,-0.04182246554,-0.03388352469,-0.0063052824,0.0001437730441,True,
2012-03-07,2012-03-06,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01260187442,0.0001588072388,-0.03160024697,-0.02463009863,-0.01952671681,-0.04032243932,-0.03266450997,-0.006409026637,0.0001015480309,True,
2012-03-08,2012-03-07,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01154820635,0.0001333610699,-0.02891166303,-0.02252430281,-0.01784762501,-0.03690457533,-0.02988694086,0.01994381909,0.0001333506082,True,
2012-03-09,2012-03-08,NKY,RealGARCH,RealGARCH11-logRVscaled-studentt,1,0.01159602289,0.0001344677469,-0.02903367374,-0.022619866,-0.01792382393,-0.03705968152,-0.03001298981,0.01632430991,0.000191682189,True,
