Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2011-09-19,,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01527433219,0.0002333052239,,,,,,-0.02800890322,,False,no_prior_day_in_estimation_sample
2011-09-20,2011-09-19,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.0153178526,0.0002346366082,-0.03793790641,-0.03031144607,-0.02448275215,-0.04672540176,-0.03881841337,0.005106498762,,True,RV_imputed_in_recursion
2011-09-21,2011-09-20,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01535953095,0.000235915191,-0.03804183179,-0.03039462061,-0.02455006739,-0.04685323703,-0.03892473452,-0.01007598617,,True,RV_imputed_in_recursion
2011-09-22,2011-09-21,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01539944022,0.000237142759,-0.03814134594,-0.03047426471,-0.02461452536,-0.0469756462,-0.03902654274,-0.04967363384,,True,RV_imputed_in_recursion
2011-09-23,2011-09-22,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01543765092,0.0002383210661,-0.03823662471,-0.03055051912,-0.02467623997,-0.04709284557,-0.03912401796,-0.01366596958,,True,RV_imputed_in_recursion
2011-09-26,2011-09-23,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01547423119,0.000239451831,-0.03832783796,-0.03062351977,-0.02473532123,-0.04720504407,-0.03921733394,-0.0148836483,,True,RV_imputed_in_recursion
2011-09-27,2011-09-26,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01550924677,0.0002405367354,-0.03841514966,-0.03069339788,-0.02479187534,-0.04731244338,-0.03930665841,0.04067997734,,True,RV_imputed_in_recursion
2011-09-28,2011-09-27,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.0155427611,0.0002415774227,-0.03849871797,-0.03076028007,-0.02484600477,-0.04741523809,-0.03939215321,-0.006612359603,,True,RV_imputed_in_recursion
2011-09-30,2011-09-28,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01557483537,0.0002425754966,-0.03857869546,-0.0308242884,-0.02489780832,-0.04751361583,-0.0394739744,-0.02351847606,,True,RV_imputed_in_recursion
2011-10-03,2011-09-30,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01560552852,0.0002435325204,-0.03865522914,-0.03088554056,-0.02494738123,-0.04760775746,-0.0395522724,-0.04477107455,,True,RV_imputed_in_recursion
2011-10-04,2011-10-03,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01563489737,0.0002444500159,-0.03872846067,-0.03094414991,-0.02499481525,-0.04769783722,-0.03962719212,-0.03458699848,,True,RV_imputed_in_recursion
2011-10-06,2011-10-04,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01566299664,0.0002453294637,-0.03879852645,-0.03100022562,-0.02504019873,-0.04778402289,-0.03969887312,0.05518691998,,True,RV_imputed_in_recursion
2011-10-07,2011-10-06,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01568987897,0.000246172302,-0.0388655578,-0.03105387278,-0.02508361673,-0.04786647601,-0.03976744973,0.0306641783,,True,RV_imputed_in_recursion
2011-10-10,2011-10-07,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01571559504,0.0002469799274,-0.03892968108,-0.03110519252,-0.02512515108,-0.047945352,-0.03983305122,0.0002287408648,,True,RV_imputed_in_recursion
2011-10-11,2011-10-10,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01574019359,0.0002477536943,-0.03899101781,-0.03115428212,-0.02516488052,-0.04802080035,-0.03989580194,0.02401774938,,True,RV_imputed_in_recursion
2011-10-12,2011-10-11,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01576372149,0.0002484949153,-0.03904968487,-0.03120123509,-0.02520288074,-0.04809296482,-0.03995582144,0.01030256917,,True,RV_imputed_in_recursion
2011-10-13,2011-10-12,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.0157862238,0.0002492048619,-0.03910579459,-0.03124614135,-0.02523922451,-0.04816198359,-0.04001322465,0.02310057555,,True,RV_imputed_in_recursion
2011-10-14,2011-10-13,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.0158077438,0.0002498847641,-0.03915945493,-0.0312890873,-0.02527398174,-0.04822798945,-0.040068122,-0.01374279499,,True,RV_imputed_in_recursion
2011-10-17,2011-10-14,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01582832309,0.0002505358119,-0.03921076958,-0.03133015593,-0.02530721962,-0.04829110996,-0.04012061961,0.0199173626,,True,RV_imputed_in_recursion
2011-10-18,2011-10-17,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01584800161,0.000251159155,-0.03925983816,-0.03136942695,-0.02533900264,-0.04835146765,-0.04017081935,-0.04317420462,,True,RV_imputed_in_recursion
2011-10-19,2011-10-18,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01586681771,0.0002517559041,-0.03930675628,-0.03140697691,-0.02536939276,-0.04840918013,-0.04021881907,0.012794205,,True,RV_imputed_in_recursion
2011-10-20,2011-10-19,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.0158848082,0.0002523271314,-0.03935161575,-0.03144287926,-0.02539844944,-0.04846436032,-0.04026471267,-0.01797239005,,True,RV_imputed_in_recursion
2011-10-21,2011-10-20,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01590200841,0.0002528738714,-0.03939450464,-0.0314772045,-0.02542622972,-0.04851711657,-0.04030859028,0.00236725944,,True,RV_imputed_in_recursion
2011-10-24,2011-10-21,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01591845224,0.0002533971216,-0.03943550749,-0.03151002029,-0.02545278836,-0.04856755286,-0.04035053835,0.04055715992,,True,RV_imputed_in_recursion
2011-10-25,2011-10-24,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.0159341722,0.0002538978436,-0.03947470536,-0.0315413915,-0.02547817787,-0.04861576891,-0.04039063985,0.01040702601,,True,RV_imputed_in_recursion
2011-10-26,2011-10-25,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01594919947,0.0002543769637,-0.03951217601,-0.03157138036,-0.02550244861,-0.04866186035,-0.0404289743,0.005171065378,,True,RV_imputed_in_recursion
2011-10-27,2011-10-26,HSI,RealGARCH_FullSample_INSAMPLE,RealGARCH11-logRVscaled-causal-studentt-FULLSAMPLE-NOT-A-RESULT,1,0.01596356395,0.0002548353741,-0.03954799399,-0.03160004655,-0.02552564887,-0.04870591891,-0.04046561799,0.03210991045,,True,RV_imputed_in_recursion
