Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,-0.00375284553,,False,insufficient_history
2013-10-01,2013-09-30,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,0.01077085105,,False,insufficient_history
2013-10-02,2013-10-01,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,6.45407299e-05,,False,insufficient_history
2013-10-03,2013-10-02,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,-0.012194177,,False,insufficient_history
2013-10-04,2013-10-03,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,0.008902849631,,False,insufficient_history
2013-10-07,2013-10-04,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,-0.008324310939,,False,insufficient_history
2013-10-08,2013-10-07,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,-0.019411628,,False,insufficient_history
2013-10-09,2013-10-08,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,-0.003598904756,,False,insufficient_history
2013-10-10,2013-10-09,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,0.02150121003,,False,insufficient_history
2013-10-11,2013-10-10,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,0.007134604853,,False,insufficient_history
2013-10-17,2013-10-11,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01215730614,0.0001478000925,-0.03119538016,-0.02428902309,-0.01928878259,,,0.005957865441,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-18,2013-10-17,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01166746674,0.0001361297801,-0.02993846304,-0.02331037533,-0.01851160337,,,0.01580756886,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-21,2013-10-18,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01195505319,0.0001429232968,-0.03067640355,-0.02388494291,-0.01896788805,,,0.002174232867,2.179801284e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-22,2013-10-21,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01144633593,0.0001310186062,-0.02937104624,-0.02286857915,-0.01816075721,,,0.001709247178,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-23,2013-10-22,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01099743575,0.0001209435931,-0.02821917826,-0.02197172366,-0.01744853217,,,-0.006220769433,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-28,2013-10-23,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01080333951,0.0001167121446,-0.02772113158,-0.02158393973,-0.01714057907,,,-0.0003399525041,3.476281545e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-29,2013-10-28,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01044574835,0.0001091136586,-0.02680356053,-0.02086951008,-0.01657322491,,,0.002677737761,6.272138879e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-30,2013-10-29,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01011988521,0.0001024120767,-0.02596740288,-0.02021846969,-0.01605621044,,,-0.00187988691,0.0001018120391,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-31,2013-10-30,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.009847104339,9.696546387e-05,-0.02526745316,-0.0196734821,-0.01562341629,,,-0.002262245156,9.270317016e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-01,2013-10-31,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.009601920105,9.21968697e-05,-0.02463831581,-0.01918362971,-0.01523440697,,,0.0006008236976,9.061736666e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-04,2013-11-01,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.009346217654,8.735178444e-05,-0.02398218894,-0.01867276302,-0.01482870945,,,0.001475344378,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-05,2013-11-04,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.00911024461,8.299655685e-05,-0.0233766873,-0.01820131361,-0.0144543146,,,0.001201749875,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-06,2013-11-05,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.009045196019,8.181557103e-05,-0.02320977405,-0.01807135335,-0.0143511085,,,-0.001015672794,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-07,2013-11-06,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.008785265618,7.718089198e-05,-0.02254279835,-0.01755203966,-0.01393870291,,,-0.0190767604,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-08,2013-11-07,NDX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.0097865688,9.577692888e-05,-0.0251121203,-0.01955253844,-0.0155273706,,,0.01358528007,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
