Date,OriginDate,Code,Model,Spec,Horizon,SigmaHat,VarHat,VaR_01,VaR_025,VaR_05,ES_01,ES_025,Realized,RVProxy,Valid,Reason
2013-09-30,,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,-0.006047479879,,False,insufficient_history
2013-10-01,2013-09-30,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,0.007966724581,4.103842709e-05,False,insufficient_history
2013-10-02,2013-10-01,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,-0.0006668919395,4.570132671e-05,False,insufficient_history
2013-10-03,2013-10-02,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,-0.009019972538,,False,insufficient_history
2013-10-04,2013-10-03,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,0.007028466811,3.490947573e-05,False,insufficient_history
2013-10-07,2013-10-04,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,-0.008542747607,4.88390931e-05,False,insufficient_history
2013-10-08,2013-10-07,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,-0.01240874996,8.139470235e-05,False,insufficient_history
2013-10-09,2013-10-08,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,0.0005737415845,8.8610125e-05,False,insufficient_history
2013-10-10,2013-10-09,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,0.02159562337,5.085271662e-05,False,insufficient_history
2013-10-11,2013-10-10,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,,,,,,,,0.006266595276,3.992843816e-05,False,insufficient_history
2013-10-15,2013-10-11,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01032591532,0.0001066245272,-0.02649607161,-0.02063009625,-0.01638309782,,,-0.00708878958,8.026339991e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-16,2013-10-15,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01007179665,0.0001014410878,-0.02584400869,-0.02012239378,-0.01597991312,,,0.01373280403,5.730765517e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-17,2013-10-16,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.0103926198,0.0001080065463,-0.02666723384,-0.0207633648,-0.01648893115,,,0.006721314211,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-18,2013-10-17,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.01007090271,0.0001014230814,-0.02584171485,-0.02012060778,-0.01597849479,,,0.006527405703,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-21,2013-10-18,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.009766937669,9.539307144e-05,-0.02506174725,-0.0195133175,-0.01549622385,,,9.173210661e-05,7.789174209e-06,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-22,2013-10-21,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.0094232651,8.879792514e-05,-0.02417989099,-0.01882669574,-0.01495095293,,,0.005721116374,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-23,2013-10-22,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.009156847748,8.384786068e-05,-0.02349626993,-0.0182944218,-0.01452825514,,,-0.004735753204,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-25,2013-10-23,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.009016573245,8.129859309e-05,-0.02313632864,-0.01801416805,-0.01430569561,,,0.004385214824,1.756945955e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-28,2013-10-25,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.008771428856,7.693796418e-05,-0.02250729353,-0.01752439526,-0.01391674951,,,0.001328816053,1.922018733e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-29,2013-10-28,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.008524934412,7.267450673e-05,-0.02187479421,-0.0170319252,-0.01352566141,,,0.005568661317,1.627272217e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-30,2013-10-29,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.008341165677,6.957504485e-05,-0.02140324767,-0.01666477454,-0.01323409392,,,-0.004887849367,6.38842804e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-10-31,2013-10-30,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.008265755074,6.832270695e-05,-0.02120974573,-0.01651411206,-0.01311444746,,,-0.003846770834,5.46247648e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-01,2013-10-31,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.008177102147,6.686499952e-05,-0.02098226426,-0.0163369928,-0.01297379072,,,0.002899214647,5.315982867e-05,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-04,2013-11-01,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.0080577235,6.492690801e-05,-0.02067594128,-0.01609848678,-0.01278438455,,,0.003564199342,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-05,2013-11-04,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.008054050732,6.486773319e-05,-0.02066651704,-0.01609114898,-0.01277855734,,,-0.002809530843,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-06,2013-11-05,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.007749417995,6.005347926e-05,-0.01988483614,-0.01548252471,-0.01229522702,,,0.004256468412,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-07,2013-11-06,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.007682534144,5.902133087e-05,-0.01971321365,-0.01534889778,-0.0121891091,,,-0.0132704361,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-08,2013-11-07,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.008062285363,6.500044527e-05,-0.02068764692,-0.01610760091,-0.0127916224,,,0.01333820883,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-11,2013-11-08,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.007773505931,6.042739445e-05,-0.01994664525,-0.01553064988,-0.01233344494,,,0.0007226704619,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-12,2013-11-11,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.00777138935,6.039449243e-05,-0.01994121415,-0.01552642117,-0.01233008677,,,-0.002373205874,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-13,2013-11-12,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.006545773761,4.284715414e-05,-0.01679631151,-0.01307776972,-0.01038552501,,,0.00806275295,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-14,2013-11-13,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.006619478058,4.381748976e-05,-0.01698543511,-0.01322502318,-0.01050246425,,,0.004825596755,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-15,2013-11-14,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.006323017392,3.998054894e-05,-0.01622472356,-0.01263272585,-0.01003209974,,,0.0042131465,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-18,2013-11-15,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.005786307741,3.348135728e-05,-0.0148475384,-0.01156043623,-0.009180556181,,,-0.00370505275,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-19,2013-11-18,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.005800957733,3.365111062e-05,-0.01488512996,-0.01158970538,-0.009203799859,,,-0.002045055177,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-20,2013-11-19,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.005724901989,3.277450278e-05,-0.01468997259,-0.01143775398,-0.009083129811,,,-0.003642235996,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-21,2013-11-20,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.005812313177,3.378298447e-05,-0.01491426778,-0.01161239237,-0.009221816407,,,0.008095705717,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-22,2013-11-21,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.005933914981,3.521134701e-05,-0.01522629533,-0.01185534002,-0.009414749837,,,0.004949190399,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-25,2013-11-22,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.005845643355,3.417154624e-05,-0.01499979228,-0.01167898257,-0.00927469807,,,-0.001264141177,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-26,2013-11-25,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.005831898851,3.401104421e-05,-0.01496452419,-0.01165152249,-0.009252891039,,,0.0001497934956,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-27,2013-11-26,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.00583568367,3.40552039e-05,-0.01497423595,-0.01165908416,-0.009258896033,,,0.002481998418,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-11-29,2013-11-27,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.005755447743,3.312517872e-05,-0.01476835233,-0.01149878119,-0.009131593707,,,-0.0007859979728,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
2013-12-02,2013-11-29,SPX,PLACEHOLDER,SYNTHETIC_PLACEHOLDER_21d_rolling_std,1,0.005615725741,3.15363756e-05,-0.01440982874,-0.01121963128,-0.008909910771,,,-0.00272272399,,True,SYNTHETIC_PLACEHOLDER_do_not_cite
