index,q,xi_residuals,xi_guide_standin,diff
SPX,0.9,0.08382509752018705,0.1402,-0.056374902479812944
SPX,0.925,0.11117220274885467,0.1704,-0.059227797251145325
SPX,0.95,0.15471536036099454,0.1753,-0.020584639639005475
SPX,0.96,0.16315392403189394,0.1436,0.019553924031893932
SPX,0.97,0.1881813681984415,0.1739,0.014281368198441502
SPX,0.975,0.20986244192852588,0.181,0.028862441928525884
SPX,0.98,0.29367128120859154,0.2296,0.06407128120859154
SPX,0.99,0.09552843181597978,0.3805,-0.28497156818402025
NDX,0.9,0.03484676586276715,0.09342,-0.05857323413723285
NDX,0.925,0.05536495817885251,0.08779,-0.0324250418211475
NDX,0.95,0.05700812071283389,0.1185,-0.0614918792871661
NDX,0.96,0.10898065773587776,0.09846,0.01052065773587775
NDX,0.97,0.1342182787345816,0.1369,-0.0026817212654184075
NDX,0.975,0.08845354441215186,0.1586,-0.07014645558784813
NDX,0.98,0.06909766792764449,0.1735,-0.1044023320723555
NDX,0.99,0.32891026988215455,0.2285,0.10041026988215454
UKX,0.9,0.00994729689662325,0.1157,-0.10575270310337676
UKX,0.925,0.03441058175981948,0.1141,-0.07968941824018051
UKX,0.95,0.06066618625984533,0.1429,-0.08223381374015468
UKX,0.96,0.0792064344171878,0.1349,-0.05569356558281219
UKX,0.97,0.07538443225654937,0.1545,-0.07911556774345063
UKX,0.975,0.11424986292085332,0.1257,-0.011450137079146688
UKX,0.98,0.12899263552367501,0.171,-0.042007364476325
UKX,0.99,0.05115167080475938,0.1899,-0.13874832919524063
DAX,0.9,0.05664783407230954,0.07067,-0.014022165927690455
DAX,0.925,0.0841531122580674,0.0992,-0.015046887741932594
DAX,0.95,0.15421812716064576,0.1632,-0.008981872839354255
DAX,0.96,0.16885398500809434,0.1681,0.0007539850080943433
DAX,0.97,0.17651177880415683,0.187,-0.010488221195843167
DAX,0.975,0.18870762195451085,0.2221,-0.03339237804548914
DAX,0.98,0.19434796413232894,0.2451,-0.050752035867671075
DAX,0.99,0.24930809868948806,0.2095,0.039808098689488064
NKY,0.9,0.010192801955842587,0.1331,-0.12290719804415741
NKY,0.925,0.04073089019456021,0.1319,-0.09116910980543978
NKY,0.95,0.05016365735434307,0.1534,-0.10323634264565694
NKY,0.96,0.05886094207461944,0.2019,-0.14303905792538055
NKY,0.97,0.09456877769223454,0.196,-0.10143122230776547
NKY,0.975,0.11304721768576657,0.2768,-0.1637527823142334
NKY,0.98,0.18471276791160296,0.2521,-0.06738723208839703
NKY,0.99,0.22897176790096568,0.1833,0.04567176790096569
HSI,0.9,0.10042961254591982,0.2144,-0.11397038745408018
HSI,0.925,0.1292817557647064,0.2258,-0.0965182442352936
HSI,0.95,0.15896061851420656,0.2071,-0.04813938148579344
HSI,0.96,0.20152753737692247,0.1808,0.020727537376922484
HSI,0.97,0.1986283229413266,0.1964,0.002228322941326605
HSI,0.975,0.1989101658882903,0.1957,0.0032101658882902895
HSI,0.98,0.30803397391687226,0.2268,0.08123397391687226
HSI,0.99,0.44229585751144485,0.1716,0.27069585751144487
