spec,index,n_rows,n_valid,n_invalid,first_forecast,n_crossings,pct_crossings,median_sigmahat,breach_01,rate_01_pct,rate_025_pct,rate_05_pct
QR-Full,SPX,3243,2481,762,2016-08-31,134,5.4,0.013976,36,1.451,2.862,4.514
QR-Full,NDX,3243,2695,548,2015-10-05,229,8.49,0.016658,36,1.336,2.746,5.046
QR-Full,UKX,3258,2718,540,2015-06-23,316,11.59,0.010905,41,1.508,2.759,5.04
QR-Full,DAX,3267,2474,793,2016-11-11,217,8.77,0.015779,27,1.091,2.344,5.053
QR-Full,NKY,3150,1814,1336,2018-10-10,159,8.72,0.015575,26,1.433,2.811,5.292
QR-Full,HSI,3172,2615,557,2015-06-30,189,7.21,0.013448,46,1.759,3.365,6.654
QR-Range,SPX,3243,3243,0,1992-12-22,87,1.03,0.011402,48,1.48,2.529,5.396
QR-Range,NDX,3243,3243,0,2012-09-05,30,0.85,0.014585,44,1.357,2.529,4.965
QR-Range,UKX,3258,3179,79,2011-01-13,73,1.9,0.012094,41,1.29,2.674,5.316
QR-Range,DAX,3267,3267,0,2008-01-15,82,1.74,0.01276,37,1.133,2.663,4.897
QR-Range,NKY,3150,3037,113,2011-03-14,36,0.99,0.01806,36,1.185,2.898,6.487
QR-Range,HSI,3172,2939,233,2014-05-09,27,0.92,0.013047,50,1.701,4.253,7.383
