index,crisis,n,breaches,rate_pct,in_sample_B
SPX,Asian_Crisis_LTCM,378,6,1.59,False
SPX,COVID_Crash,50,6,12.0,True
SPX,China_Deval_Oil,128,2,1.56,True
SPX,DotCom_Bust,648,6,0.93,False
SPX,Euro_Sovereign_Debt,571,7,1.23,False
SPX,GFC,483,19,3.93,False
SPX,Normal,5941,76,1.28,True
SPX,Q4_2018_Selloff,60,2,3.33,True
SPX,Rate_Shock_2022,196,4,2.04,True
SPX,Volmageddon,9,3,33.33,True
SPX,Yen_Carry_Unwind,7,0,0.0,True
NDX,COVID_Crash,50,4,8.0,True
NDX,China_Deval_Oil,128,4,3.12,True
NDX,Normal,3060,32,1.05,True
NDX,Q4_2018_Selloff,60,2,3.33,True
NDX,Rate_Shock_2022,196,4,2.04,True
NDX,Volmageddon,9,2,22.22,True
NDX,Yen_Carry_Unwind,7,0,0.0,True
UKX,COVID_Crash,49,3,6.12,True
UKX,China_Deval_Oil,126,3,2.38,True
UKX,Euro_Sovereign_Debt,378,3,0.79,False
UKX,Normal,3032,38,1.25,True
UKX,Q4_2018_Selloff,58,0,0.0,True
UKX,Rate_Shock_2022,189,1,0.53,True
UKX,Volmageddon,9,0,0.0,True
UKX,Yen_Carry_Unwind,7,0,0.0,True
DAX,COVID_Crash,49,3,6.12,True
DAX,China_Deval_Oil,129,4,3.1,True
DAX,Euro_Sovereign_Debt,579,7,1.21,False
DAX,GFC,370,8,2.16,False
DAX,Normal,3315,32,0.97,True
DAX,Q4_2018_Selloff,59,1,1.69,True
DAX,Rate_Shock_2022,201,0,0.0,True
DAX,Volmageddon,9,0,0.0,True
DAX,Yen_Carry_Unwind,7,1,14.29,True
NKY,COVID_Crash,47,1,2.13,True
NKY,China_Deval_Oil,118,2,1.69,True
NKY,Euro_Sovereign_Debt,328,4,1.22,False
NKY,Normal,2898,32,1.1,True
NKY,Q4_2018_Selloff,56,2,3.57,True
NKY,Rate_Shock_2022,182,1,0.55,True
NKY,Volmageddon,8,1,12.5,True
NKY,Yen_Carry_Unwind,7,2,28.57,True
HSI,COVID_Crash,48,1,2.08,True
HSI,China_Deval_Oil,121,6,4.96,True
HSI,Normal,2517,41,1.63,True
HSI,Q4_2018_Selloff,56,1,1.79,True
HSI,Rate_Shock_2022,185,2,1.08,True
HSI,Volmageddon,9,1,11.11,True
HSI,Yen_Carry_Unwind,7,0,0.0,True
