index,model,rows_before,rows_after,dropped_outside_sampleB
SPX,GARCH-EVT,3243,3243,0
SPX,GJR-skewt,3243,3243,0
SPX,RealGARCH,3669,3243,426
SPX,QR-Full,2481,2481,0
SPX,QR-Range,3243,3243,0
NDX,GARCH-EVT,3243,3243,0
NDX,GJR-skewt,3243,3243,0
NDX,RealGARCH,3752,3243,509
NDX,QR-Full,2695,2695,0
NDX,QR-Range,3243,3243,0
UKX,GARCH-EVT,3258,3258,0
UKX,GJR-skewt,3258,3258,0
UKX,RealGARCH,3769,3258,511
UKX,QR-Full,2718,2718,0
UKX,QR-Range,3179,3179,0
DAX,GARCH-EVT,3267,3267,0
DAX,GJR-skewt,3267,3267,0
DAX,RealGARCH,3265,3265,0
DAX,QR-Full,2474,2474,0
DAX,QR-Range,3267,3267,0
NKY,GARCH-EVT,3150,3150,0
NKY,GJR-skewt,3150,3150,0
NKY,RealGARCH,3557,3150,407
NKY,QR-Full,1814,1814,0
NKY,QR-Range,3037,3037,0
HSI,GARCH-EVT,3172,3172,0
HSI,GJR-skewt,3172,3172,0
HSI,RealGARCH,3669,3172,497
HSI,QR-Full,2615,2615,0
HSI,QR-Range,2940,2940,0
