index,model_1,model_2,n,dm_stat,p,better
SPX,GARCH-EVT,GJR-skewt,3113,,,identical_by_construction
SPX,GARCH-EVT,RealGARCH,3113,1.8218944436228584,0.06856694755338566,RealGARCH
SPX,GJR-skewt,RealGARCH,3113,1.8218944433982553,0.06856694758748105,RealGARCH
NDX,GARCH-EVT,GJR-skewt,3097,,,identical_by_construction
NDX,GARCH-EVT,RealGARCH,3097,1.7685642052570938,0.07706508187430239,RealGARCH
NDX,GJR-skewt,RealGARCH,3097,1.7685642049410173,0.07706508192710126,RealGARCH
UKX,GARCH-EVT,GJR-skewt,3199,,,identical_by_construction
UKX,GARCH-EVT,RealGARCH,3199,6.464497966667216,1.171158725554733e-10,RealGARCH
UKX,GJR-skewt,RealGARCH,3199,6.464497964748343,1.171158725554733e-10,RealGARCH
DAX,GARCH-EVT,GJR-skewt,3243,,,identical_by_construction
DAX,GARCH-EVT,RealGARCH,3242,5.432602704447085,5.963972671274576e-08,RealGARCH
DAX,GJR-skewt,RealGARCH,3242,5.432602704371615,5.963972693479036e-08,RealGARCH
NKY,GARCH-EVT,GJR-skewt,2333,,,identical_by_construction
NKY,GARCH-EVT,RealGARCH,2333,0.8928517674345586,0.37202868384238164,RealGARCH
NKY,GJR-skewt,RealGARCH,2333,0.892851766850669,0.3720286841550424,RealGARCH
HSI,GARCH-EVT,GJR-skewt,3110,,,identical_by_construction
HSI,GARCH-EVT,RealGARCH,3110,5.3117677523731945,1.1621602635791817e-07,RealGARCH
HSI,GJR-skewt,RealGARCH,3110,5.311767751955451,1.1621602657996277e-07,RealGARCH
