index,model,n,QLIKE,MSE,RMSE,MAE,MAPE
SPX,GARCH-EVT,3113,0.26643098034722923,5.939990694149711e-08,0.0002437209612271729,7.290266874203371e-05,88.34425543670153
SPX,GJR-skewt,3113,0.26643098034512036,5.939990694130558e-08,0.00024372096122677995,7.290266874108288e-05,88.34425543532437
SPX,RealGARCH,3113,0.2483227182801787,5.341337177990934e-08,0.00023111333103027472,5.844890297405012e-05,56.61425017497122
NDX,GARCH-EVT,3097,0.2463592868190318,8.419625352829564e-08,0.0002901659069020612,0.00011227323818788989,86.50365757884491
NDX,GJR-skewt,3097,0.24635928681605287,8.41962535267195e-08,0.0002901659068993453,0.00011227323818820634,86.50365757925489
NDX,RealGARCH,3097,0.23088691190506463,7.002740422137105e-08,0.0002646269151491795,8.955997100499516e-05,52.69465253422355
UKX,GARCH-EVT,3199,0.1555663168714824,1.52235902816964e-08,0.00012338391419344907,4.540962852596748e-05,55.232547780640175
UKX,GJR-skewt,3199,0.15556631687115938,1.5223590279824222e-08,0.00012338391418586226,4.5409628524051264e-05,55.23254778014158
UKX,RealGARCH,3199,0.12552575442410696,1.5049005565260644e-08,0.000122674388383479,3.474994045043764e-05,36.232726243475874
DAX,GARCH-EVT,3243,0.18799904940981266,3.608664001657251e-08,0.00018996483889544536,7.45470412611659e-05,69.74385228015295
DAX,GJR-skewt,3243,0.1879990494063057,3.6086640013820456e-08,0.00018996483888820178,7.454704125950694e-05,69.74385227843347
DAX,RealGARCH,3242,0.16474569373716758,3.5114601902614113e-08,0.0001873889054950002,6.422524688870172e-05,53.02829374993904
NKY,GARCH-EVT,2333,0.23706812020214957,9.354379424488378e-08,0.0003058492998927475,0.00010998967470336049,76.61491846768767
NKY,GJR-skewt,2333,0.23706812019366658,9.354379424511265e-08,0.00030584929989312164,0.00010998967470190313,76.61491846594971
NKY,RealGARCH,2333,0.22379902420080075,8.210227911126827e-08,0.0002865349526868725,8.824891673569224e-05,49.134542240810184
HSI,GARCH-EVT,3110,0.18255811569931513,5.897554728842559e-08,0.00024284881570315632,9.156549698248874e-05,60.65703982606411
HSI,GJR-skewt,3110,0.18255811570390446,5.897554729354564e-08,0.000242848815713698,9.156549698428296e-05,60.65703982782809
HSI,RealGARCH,3110,0.14809596488350504,4.927991840657956e-08,0.0002219908070316867,7.316431633671383e-05,43.069083495895335
