index,model,n,QLIKE,MSE,RMSE,MAE,MAPE
SPX,GARCH-EVT,3059,0.2702111549493547,5.871658187555844e-08,0.00024231504673783352,7.29972899620291e-05,89.66230896340912
SPX,GJR-skewt,3059,0.2702111549469913,5.871658187537855e-08,0.00024231504673746232,7.29972899615518e-05,89.66230896228343
SPX,RealGARCH,3059,0.2607253532163202,6.545232403214321e-08,0.0002558365181754614,6.234866509459366e-05,62.08904545965527
NDX,GARCH-EVT,3058,0.25168389184843587,8.117678336290423e-08,0.00028491539685124816,0.0001116201651357433,92.71322777038719
NDX,GJR-skewt,3058,0.25168389184574325,8.11767833613962e-08,0.0002849153968486017,0.00011162016513632212,92.71322777117604
NDX,RealGARCH,3058,0.21841910240823856,7.641465252933612e-08,0.00027643200344630163,8.809292279900687e-05,57.56291449799019
UKX,GARCH-EVT,3155,0.15666126883444023,1.6658075943768984e-08,0.00012906616885833788,4.6079298188149605e-05,52.678467114072106
UKX,GJR-skewt,3155,0.1566612688341905,1.665807594194826e-08,0.0001290661688512844,4.607929818651411e-05,52.67846711376699
UKX,RealGARCH,3155,0.12866430253041877,1.7892765800717938e-08,0.0001337638433984234,3.728577958817495e-05,36.84271241813821
DAX,GARCH-EVT,2755,0.19199293710646093,3.7214722975866616e-08,0.0001929111789810705,7.436882303036188e-05,73.82173158799424
DAX,GJR-skewt,2755,0.19199293710353516,3.7214722973086726e-08,0.0001929111789738654,7.436882302854338e-05,73.82173158694762
DAX,RealGARCH,2755,0.17813190145600794,3.7627164298319025e-08,0.00019397722623627504,6.035627612901778e-05,44.97703548887577
NKY,GARCH-EVT,2215,0.24772906438637143,7.945015708575467e-08,0.0002818690424394894,0.00010717578353682168,92.13093111254578
NKY,GJR-skewt,2215,0.24772906437653017,7.945015708608451e-08,0.0002818690424400745,0.00010717578353528216,92.1309311110244
NKY,RealGARCH,2215,0.22015086281896054,6.822079038393103e-08,0.00026119109935817303,7.903651876678556e-05,50.993514450724994
HSI,GARCH-EVT,3051,0.1849480558426306,5.770566383358081e-08,0.00024022003212384436,9.181933937936742e-05,63.56397606978458
HSI,GJR-skewt,3051,0.18494805584765417,5.770566383882473e-08,0.00024022003213475918,9.18193393813602e-05,63.56397607140419
HSI,RealGARCH,3051,0.15320915093035622,4.920558155119132e-08,0.00022182331155942857,7.230157658897083e-05,45.78824981126679
