index,model,confidence,n_obs,n_breach,expected,rate_pct,target_pct,kupiec_p,chris_ind_p,chris_cc_p,dq_p,n11,pass_kupiec,pass_indep,pass_cc,pass_dq
SPX,GARCH-EVT,0.99,3169,39,31.7,1.231,1.0,0.2078,0.0949,0.1121,0.0125,2,True,True,True,False
SPX,GARCH-EVT,0.975,3169,84,79.2,2.651,2.5,0.5905,0.2699,0.4708,0.2183,4,True,True,True,True
SPX,GARCH-EVT,0.95,3169,144,158.5,4.544,5.0,0.2319,0.5637,0.4143,0.0181,8,True,True,True,False
SPX,GJR-skewt,0.99,3169,42,31.7,1.325,1.0,0.0796,0.1268,0.067,0.0053,2,True,True,True,False
SPX,GJR-skewt,0.975,3169,85,79.2,2.682,2.5,0.516,0.288,0.4605,0.2407,4,True,True,True,True
SPX,GJR-skewt,0.95,3169,154,158.5,4.86,5.0,0.7156,0.5719,0.7976,0.027,9,True,True,True,False
SPX,RealGARCH,0.99,3169,70,31.7,2.209,1.0,0.0,0.0228,0.0,0.0,5,False,False,False,False
SPX,RealGARCH,0.975,3169,131,79.2,4.134,2.5,0.0,0.4957,0.0,0.0,7,False,True,False,False
SPX,RealGARCH,0.95,3169,228,158.5,7.195,5.0,0.0,0.0319,0.0,0.0,25,False,False,False,False
SPX,QR-Full,0.99,2481,36,24.8,1.451,1.0,0.0344,0.3031,0.0628,0.0233,0,False,True,True,False
SPX,QR-Full,0.975,2481,71,62.0,2.862,2.5,0.2591,0.9811,0.5288,0.6014,2,True,True,True,True
SPX,QR-Full,0.95,2481,112,124.1,4.514,5.0,0.2594,0.6101,0.4649,0.5813,4,True,True,True,True
SPX,QR-Range,0.99,3169,48,31.7,1.515,1.0,0.0068,0.006,0.0006,0.0,4,False,False,False,False
SPX,QR-Range,0.975,3169,80,79.2,2.524,2.5,0.9298,0.0678,0.1879,0.104,5,True,True,True,True
SPX,QR-Range,0.95,3169,172,158.5,5.428,5.0,0.2757,0.8207,0.5381,0.056,10,True,True,True,True
NDX,GARCH-EVT,0.99,3243,49,32.4,1.511,1.0,0.0065,0.2173,0.0116,0.0,2,False,True,False,False
NDX,GARCH-EVT,0.975,3243,89,81.1,2.744,2.5,0.3801,0.3462,0.4365,0.0008,4,True,True,True,False
