index,model,level,ratio,n_breach,mean_realised,mean_predicted_es,mean_excess,Z2,Z2_p
SPX,GARCH-EVT,01,1.0644443116003952,39,-0.028324003985384625,-0.026609192868717952,-0.42750126475065753,2.321481019241625,0.9973333333333333
SPX,GARCH-EVT,025,1.017420053968785,87,-0.02655141891988506,-0.02609681106275862,-0.45139493306806605,2.1597511208528672,0.9933333333333333
SPX,RealGARCH,01,1.0630600053694288,73,-0.025564022585369866,-0.02404758193916438,-0.3339320612393956,3.421672025701831,1.0
SPX,RealGARCH,025,1.087942910734026,127,-0.023408033272984248,-0.021515865439291338,-0.43950361157059314,2.74548201358935,1.0
NDX,GARCH-EVT,01,1.031467631012316,46,-0.03161434528826087,-0.030649866595652175,-0.3021903386743741,2.485829377253575,1.0
NDX,GARCH-EVT,025,1.0294367962454265,89,-0.0321539196405618,-0.031234476713707864,-0.39234364378469,2.1791894111601717,0.9893333333333333
NDX,RealGARCH,01,1.0397219689017134,72,-0.02977649753125,-0.028638903881875004,-0.3191311434171282,3.3718637549480954,1.0
NDX,RealGARCH,025,1.0483323056859328,137,-0.027994930530131388,-0.026704252438175185,-0.40174096899764045,2.840024155588913,1.0
UKX,GARCH-EVT,01,1.0490714817041313,41,-0.030398486300731706,-0.028976563400000002,-0.30535140680255857,2.3358214018948087,0.9923333333333333
UKX,GARCH-EVT,025,1.0604604376871223,82,-0.02502182673134147,-0.023595247726463413,-0.36885042940136253,2.0723971782733734,0.914
UKX,RealGARCH,01,1.0204850257271962,63,-0.02780732490428571,-0.02724912586,-0.2764562098320053,2.9648926379519653,1.0
UKX,RealGARCH,025,1.0716430138242823,116,-0.022886901498241383,-0.021356833575172412,-0.38238417190630164,2.507810560108076,1.0
DAX,GARCH-EVT,01,1.009098250496463,41,-0.036125063995853655,-0.03579935251902439,-0.30757195995549075,2.27224409557876,0.9886666666666667
DAX,GARCH-EVT,025,1.0466321585192317,87,-0.028739764175057473,-0.0274592787362069,-0.36025727102136823,2.1061201507247507,0.9683333333333334
DAX,RealGARCH,01,1.0307108289886164,52,-0.03301369128750001,-0.03203002273673077,-0.30660195818987446,2.634226659905953,1.0
DAX,RealGARCH,025,1.0369910382482619,115,-0.0272672329867826,-0.02629456955852174,-0.3724947292486576,2.4607594035460445,1.0
NKY,GARCH-EVT,01,1.009461805223399,38,-0.04156455026342105,-0.04117496080421052,-0.2369320315959263,2.1951702964664968,0.9516666666666667
NKY,GARCH-EVT,025,1.0240938693736459,90,-0.03338700310922222,-0.03260150666622222,-0.3076091801479755,2.153853446311815,0.9843333333333333
NKY,RealGARCH,01,1.0473348927580284,58,-0.037570021583103456,-0.03587202321137931,-0.31147863352922817,2.8910462631167047,1.0
NKY,RealGARCH,025,1.036984374258233,129,-0.03173119216542635,-0.030599489204573643,-0.3771529956520206,2.699471240092054,1.0
HSI,GARCH-EVT,01,1.1101176559155301,22,-0.04584888538409091,-0.04130092440181818,-0.4020805410485952,1.7491147419673385,0.211
HSI,GARCH-EVT,025,1.007445313502352,73,-0.03387293186027397,-0.03362260105465754,-0.33555282885382354,1.9194071283706653,0.6273333333333333
HSI,RealGARCH,01,1.1039529357014382,36,-0.03969361699833332,-0.03595589604833333,-0.32422672518113627,2.222329620500788,0.9533333333333334
HSI,RealGARCH,025,1.049229429239966,91,-0.03160617722087912,-0.030123227904285718,-0.32552407689566815,2.189399064453871,0.991
