model,index,regime,n,breaches,rate_pct
GARCH-EVT,SPX,COVID_Crash,50,2,4.0
GARCH-EVT,SPX,China_Deval_Oil,128,2,1.562
GARCH-EVT,SPX,Normal,2793,29,1.038
GARCH-EVT,SPX,Q4_2018_Selloff,60,2,3.333
GARCH-EVT,SPX,Rate_Shock_2022,196,2,1.02
GARCH-EVT,SPX,Volmageddon,9,2,22.222
GARCH-EVT,SPX,Yen_Carry_Unwind,7,0,0.0
GARCH-EVT,NDX,COVID_Crash,50,1,2.0
GARCH-EVT,NDX,China_Deval_Oil,128,2,1.562
GARCH-EVT,NDX,Normal,2793,39,1.396
GARCH-EVT,NDX,Q4_2018_Selloff,60,3,5.0
GARCH-EVT,NDX,Rate_Shock_2022,196,2,1.02
GARCH-EVT,NDX,Volmageddon,9,2,22.222
GARCH-EVT,NDX,Yen_Carry_Unwind,7,0,0.0
GARCH-EVT,UKX,COVID_Crash,49,3,6.122
GARCH-EVT,UKX,China_Deval_Oil,129,4,3.101
GARCH-EVT,UKX,Normal,2808,30,1.068
GARCH-EVT,UKX,Q4_2018_Selloff,61,1,1.639
GARCH-EVT,UKX,Rate_Shock_2022,195,2,1.026
GARCH-EVT,UKX,Volmageddon,9,1,11.111
GARCH-EVT,UKX,Yen_Carry_Unwind,7,0,0.0
GARCH-EVT,DAX,COVID_Crash,49,3,6.122
GARCH-EVT,DAX,China_Deval_Oil,129,2,1.55
GARCH-EVT,DAX,Normal,2813,32,1.138
GARCH-EVT,DAX,Q4_2018_Selloff,59,1,1.695
GARCH-EVT,DAX,Rate_Shock_2022,201,2,0.995
GARCH-EVT,DAX,Volmageddon,9,0,0.0
GARCH-EVT,DAX,Yen_Carry_Unwind,7,1,14.286
GARCH-EVT,NKY,COVID_Crash,48,1,2.083
GARCH-EVT,NKY,China_Deval_Oil,122,4,3.279
GARCH-EVT,NKY,Normal,2716,25,0.92
GARCH-EVT,NKY,Q4_2018_Selloff,60,2,3.333
GARCH-EVT,NKY,Rate_Shock_2022,189,3,1.587
GARCH-EVT,NKY,Volmageddon,8,1,12.5
GARCH-EVT,NKY,Yen_Carry_Unwind,7,2,28.571
GARCH-EVT,HSI,COVID_Crash,48,1,2.083
GARCH-EVT,HSI,China_Deval_Oil,124,2,1.613
GARCH-EVT,HSI,Normal,2734,17,0.622
GARCH-EVT,HSI,Q4_2018_Selloff,59,1,1.695
GARCH-EVT,HSI,Rate_Shock_2022,191,0,0.0
GARCH-EVT,HSI,Volmageddon,9,1,11.111
GARCH-EVT,HSI,Yen_Carry_Unwind,7,0,0.0
GJR-skewt,SPX,COVID_Crash,50,2,4.0
GJR-skewt,SPX,China_Deval_Oil,128,2,1.562
GJR-skewt,SPX,Normal,2793,32,1.146
GJR-skewt,SPX,Q4_2018_Selloff,60,2,3.333
GJR-skewt,SPX,Rate_Shock_2022,196,2,1.02
GJR-skewt,SPX,Volmageddon,9,2,22.222
GJR-skewt,SPX,Yen_Carry_Unwind,7,0,0.0
GJR-skewt,NDX,COVID_Crash,50,1,2.0
GJR-skewt,NDX,China_Deval_Oil,128,2,1.562
GJR-skewt,NDX,Normal,2793,39,1.396
GJR-skewt,NDX,Q4_2018_Selloff,60,3,5.0
GJR-skewt,NDX,Rate_Shock_2022,196,2,1.02
GJR-skewt,NDX,Volmageddon,9,2,22.222
GJR-skewt,NDX,Yen_Carry_Unwind,7,0,0.0
GJR-skewt,UKX,COVID_Crash,49,3,6.122
GJR-skewt,UKX,China_Deval_Oil,129,4,3.101
GJR-skewt,UKX,Normal,2808,31,1.104
GJR-skewt,UKX,Q4_2018_Selloff,61,1,1.639
GJR-skewt,UKX,Rate_Shock_2022,195,2,1.026
GJR-skewt,UKX,Volmageddon,9,1,11.111
GJR-skewt,UKX,Yen_Carry_Unwind,7,0,0.0
GJR-skewt,DAX,COVID_Crash,49,3,6.122
GJR-skewt,DAX,China_Deval_Oil,129,2,1.55
GJR-skewt,DAX,Normal,2813,32,1.138
GJR-skewt,DAX,Q4_2018_Selloff,59,1,1.695
GJR-skewt,DAX,Rate_Shock_2022,201,2,0.995
GJR-skewt,DAX,Volmageddon,9,0,0.0
GJR-skewt,DAX,Yen_Carry_Unwind,7,1,14.286
GJR-skewt,NKY,COVID_Crash,48,1,2.083
GJR-skewt,NKY,China_Deval_Oil,122,4,3.279
GJR-skewt,NKY,Normal,2716,25,0.92
GJR-skewt,NKY,Q4_2018_Selloff,60,2,3.333
GJR-skewt,NKY,Rate_Shock_2022,189,3,1.587
GJR-skewt,NKY,Volmageddon,8,1,12.5
GJR-skewt,NKY,Yen_Carry_Unwind,7,2,28.571
GJR-skewt,HSI,COVID_Crash,48,1,2.083
GJR-skewt,HSI,China_Deval_Oil,124,2,1.613
GJR-skewt,HSI,Normal,2734,18,0.658
GJR-skewt,HSI,Q4_2018_Selloff,59,1,1.695
GJR-skewt,HSI,Rate_Shock_2022,191,1,0.524
GJR-skewt,HSI,Volmageddon,9,1,11.111
GJR-skewt,HSI,Yen_Carry_Unwind,7,0,0.0
RealGARCH,SPX,COVID_Crash,50,6,12.0
RealGARCH,SPX,China_Deval_Oil,128,6,4.688
RealGARCH,SPX,Normal,2719,47,1.729
RealGARCH,SPX,Q4_2018_Selloff,60,3,5.0
RealGARCH,SPX,Rate_Shock_2022,196,6,3.061
RealGARCH,SPX,Volmageddon,9,2,22.222
RealGARCH,SPX,Yen_Carry_Unwind,7,0,0.0
RealGARCH,NDX,COVID_Crash,50,4,8.0
RealGARCH,NDX,China_Deval_Oil,128,5,3.906
RealGARCH,NDX,Normal,2793,50,1.79
RealGARCH,NDX,Q4_2018_Selloff,60,5,8.333
RealGARCH,NDX,Rate_Shock_2022,196,6,3.061
RealGARCH,NDX,Volmageddon,9,1,11.111
RealGARCH,NDX,Yen_Carry_Unwind,7,0,0.0
RealGARCH,UKX,COVID_Crash,49,4,8.163
RealGARCH,UKX,China_Deval_Oil,129,4,3.101
RealGARCH,UKX,Normal,2808,39,1.389
RealGARCH,UKX,Q4_2018_Selloff,61,2,3.279
RealGARCH,UKX,Rate_Shock_2022,195,5,2.564
RealGARCH,UKX,Volmageddon,9,1,11.111
RealGARCH,UKX,Yen_Carry_Unwind,7,0,0.0
RealGARCH,DAX,COVID_Crash,49,3,6.122
RealGARCH,DAX,China_Deval_Oil,94,2,2.128
RealGARCH,DAX,Normal,2346,41,1.748
RealGARCH,DAX,Q4_2018_Selloff,59,1,1.695
RealGARCH,DAX,Rate_Shock_2022,201,2,0.995
RealGARCH,DAX,Volmageddon,9,0,0.0
RealGARCH,DAX,Yen_Carry_Unwind,7,2,28.571
RealGARCH,NKY,COVID_Crash,48,2,4.167
RealGARCH,NKY,China_Deval_Oil,122,6,4.918
RealGARCH,NKY,Normal,2623,38,1.449
RealGARCH,NKY,Q4_2018_Selloff,60,3,5.0
RealGARCH,NKY,Rate_Shock_2022,189,6,3.175
RealGARCH,NKY,Volmageddon,8,1,12.5
RealGARCH,NKY,Yen_Carry_Unwind,7,2,28.571
RealGARCH,HSI,COVID_Crash,48,2,4.167
RealGARCH,HSI,China_Deval_Oil,124,4,3.226
RealGARCH,HSI,Normal,2731,26,0.952
RealGARCH,HSI,Q4_2018_Selloff,59,1,1.695
RealGARCH,HSI,Rate_Shock_2022,191,2,1.047
RealGARCH,HSI,Volmageddon,9,1,11.111
RealGARCH,HSI,Yen_Carry_Unwind,7,0,0.0
QR-Full,SPX,COVID_Crash,49,5,10.204
QR-Full,SPX,Normal,2162,22,1.018
QR-Full,SPX,Q4_2018_Selloff,58,4,6.897
QR-Full,SPX,Rate_Shock_2022,196,4,2.041
QR-Full,SPX,Volmageddon,9,1,11.111
QR-Full,SPX,Yen_Carry_Unwind,7,0,0.0
QR-Full,NDX,COVID_Crash,47,3,6.383
QR-Full,NDX,China_Deval_Oil,81,3,3.704
QR-Full,NDX,Normal,2297,19,0.827
QR-Full,NDX,Q4_2018_Selloff,58,5,8.621
QR-Full,NDX,Rate_Shock_2022,196,5,2.551
QR-Full,NDX,Volmageddon,9,1,11.111
QR-Full,NDX,Yen_Carry_Unwind,7,0,0.0
QR-Full,UKX,COVID_Crash,48,5,10.417
QR-Full,UKX,China_Deval_Oil,122,6,4.918
QR-Full,UKX,Normal,2285,29,1.269
QR-Full,UKX,Q4_2018_Selloff,58,0,0.0
QR-Full,UKX,Rate_Shock_2022,189,1,0.529
QR-Full,UKX,Volmageddon,9,0,0.0
QR-Full,UKX,Yen_Carry_Unwind,7,0,0.0
QR-Full,DAX,COVID_Crash,47,5,10.638
QR-Full,DAX,Normal,2151,19,0.883
QR-Full,DAX,Q4_2018_Selloff,59,1,1.695
QR-Full,DAX,Rate_Shock_2022,201,1,0.498
QR-Full,DAX,Volmageddon,9,1,11.111
QR-Full,DAX,Yen_Carry_Unwind,7,0,0.0
QR-Full,NKY,COVID_Crash,44,3,6.818
QR-Full,NKY,Normal,1531,17,1.11
QR-Full,NKY,Q4_2018_Selloff,50,2,4.0
QR-Full,NKY,Rate_Shock_2022,182,2,1.099
QR-Full,NKY,Yen_Carry_Unwind,7,2,28.571
QR-Full,HSI,COVID_Crash,44,1,2.273
QR-Full,HSI,China_Deval_Oil,119,3,2.521
QR-Full,HSI,Normal,2200,36,1.636
