model,regime,n,breaches,rate_pct,reportable
GARCH-EVT,COVID_Crash,294,11,3.741,True
GARCH-EVT,China_Deval_Oil,760,16,2.105,True
GARCH-EVT,Normal,16657,172,1.033,True
GARCH-EVT,Q4_2018_Selloff,359,10,2.786,True
GARCH-EVT,Rate_Shock_2022,1168,11,0.942,True
GARCH-EVT,Volmageddon,53,7,13.208,True
GARCH-EVT,Yen_Carry_Unwind,42,3,7.143,True
GJR-skewt,COVID_Crash,294,11,3.741,True
GJR-skewt,China_Deval_Oil,760,16,2.105,True
GJR-skewt,Normal,16657,177,1.063,True
GJR-skewt,Q4_2018_Selloff,359,10,2.786,True
GJR-skewt,Rate_Shock_2022,1168,12,1.027,True
GJR-skewt,Volmageddon,53,7,13.208,True
GJR-skewt,Yen_Carry_Unwind,42,3,7.143,True
RealGARCH,COVID_Crash,294,21,7.143,True
RealGARCH,China_Deval_Oil,725,27,3.724,True
RealGARCH,Normal,16020,241,1.504,True
RealGARCH,Q4_2018_Selloff,359,15,4.178,True
RealGARCH,Rate_Shock_2022,1168,27,2.312,True
RealGARCH,Volmageddon,53,6,11.321,True
RealGARCH,Yen_Carry_Unwind,42,4,9.524,True
QR-Full,COVID_Crash,279,22,7.885,True
QR-Full,China_Deval_Oil,322,12,3.727,True
QR-Full,Normal,12626,142,1.125,True
QR-Full,Q4_2018_Selloff,339,15,4.425,True
QR-Full,Rate_Shock_2022,1145,15,1.31,True
QR-Full,Volmageddon,44,4,9.091,True
QR-Full,Yen_Carry_Unwind,42,2,4.762,True
QR-Range,COVID_Crash,293,18,6.143,True
QR-Range,China_Deval_Oil,749,20,2.67,True
QR-Range,Normal,16273,188,1.155,True
QR-Range,Q4_2018_Selloff,349,8,2.292,True
QR-Range,Rate_Shock_2022,1149,12,1.044,True
QR-Range,Volmageddon,53,7,13.208,True
QR-Range,Yen_Carry_Unwind,42,3,7.143,True
