index,model,rows_unrestricted,rows_strict,dropped_for_common_window
SPX,GARCH-EVT,3243,3169,74
SPX,GJR-skewt,3243,3169,74
SPX,RealGARCH,3169,3169,0
SPX,QR-Full,2481,2481,0
SPX,QR-Range,3243,3169,74
NDX,GARCH-EVT,3243,3243,0
NDX,GJR-skewt,3243,3243,0
NDX,RealGARCH,3243,3243,0
NDX,QR-Full,2695,2695,0
NDX,QR-Range,3243,3243,0
UKX,GARCH-EVT,3258,3258,0
UKX,GJR-skewt,3258,3258,0
UKX,RealGARCH,3258,3258,0
UKX,QR-Full,2718,2718,0
UKX,QR-Range,3179,3179,0
DAX,GARCH-EVT,3267,2765,502
DAX,GJR-skewt,3267,2765,502
DAX,RealGARCH,2765,2765,0
DAX,QR-Full,2474,2474,0
DAX,QR-Range,3267,2765,502
NKY,GARCH-EVT,3150,3057,93
NKY,GJR-skewt,3150,3057,93
NKY,RealGARCH,3057,3057,0
NKY,QR-Full,1814,1814,0
NKY,QR-Range,3037,2948,89
HSI,GARCH-EVT,3172,3169,3
HSI,GJR-skewt,3172,3169,3
HSI,RealGARCH,3169,3169,0
HSI,QR-Full,2615,2615,0
HSI,QR-Range,2940,2940,0
