model,regime,n,breaches,rate_pct,reportable
GARCH-EVT,Calm,6365,66,1.037,True
GARCH-EVT,Crisis,3054,34,1.113,True
GARCH-EVT,Normal,5453,76,1.394,True
GARCH-EVT,Stressed,4461,54,1.21,True
GJR-skewt,Calm,6365,68,1.068,True
GJR-skewt,Crisis,3054,34,1.113,True
GJR-skewt,Normal,5453,77,1.412,True
GJR-skewt,Stressed,4461,57,1.278,True
RealGARCH,Calm,6151,84,1.366,True
RealGARCH,Crisis,3014,51,1.692,True
RealGARCH,Normal,5239,115,2.195,True
RealGARCH,Stressed,4257,91,2.138,True
QR-Full,Calm,4341,42,0.968,True
QR-Full,Crisis,2533,46,1.816,True
QR-Full,Normal,4358,63,1.446,True
QR-Full,Stressed,3565,61,1.711,True
QR-Range,Calm,6160,68,1.104,True
QR-Range,Crisis,3014,47,1.559,True
QR-Range,Normal,5336,73,1.368,True
QR-Range,Stressed,4399,68,1.546,True
