model,regime,n,breaches,rate_pct,reportable
GARCH-EVT,Calm,6151,64,1.04,True
GARCH-EVT,Crisis,3014,34,1.128,True
GARCH-EVT,Normal,5239,75,1.432,True
GARCH-EVT,Stressed,4257,53,1.245,True
GJR-skewt,Calm,6151,66,1.073,True
GJR-skewt,Crisis,3014,34,1.128,True
GJR-skewt,Normal,5239,76,1.451,True
GJR-skewt,Stressed,4257,56,1.315,True
RealGARCH,Calm,6151,84,1.366,True
RealGARCH,Crisis,3014,51,1.692,True
RealGARCH,Normal,5239,115,2.195,True
RealGARCH,Stressed,4257,91,2.138,True
QR-Full,Calm,4341,42,0.968,True
QR-Full,Crisis,2533,46,1.816,True
QR-Full,Normal,4358,63,1.446,True
QR-Full,Stressed,3565,61,1.711,True
QR-Range,Calm,5947,65,1.093,True
QR-Range,Crisis,2974,46,1.547,True
QR-Range,Normal,5127,71,1.385,True
QR-Range,Stressed,4196,65,1.549,True
