model,regime,n_unrestricted,n_strict,days_dropped,rate_pct_unrestricted,rate_pct_strict,rate_change_pp
GARCH-EVT,COVID_Crash,294,294,0,3.741,3.741,0.0
GARCH-EVT,China_Deval_Oil,760,725,35,2.105,2.207,0.102
GARCH-EVT,Normal,16657,16020,637,1.033,1.049,0.016
GARCH-EVT,Q4_2018_Selloff,359,359,0,2.786,2.786,0.0
GARCH-EVT,Rate_Shock_2022,1168,1168,0,0.942,0.942,0.0
GARCH-EVT,Volmageddon,53,53,0,13.208,13.208,0.0
GARCH-EVT,Yen_Carry_Unwind,42,42,0,7.143,7.143,0.0
GJR-skewt,COVID_Crash,294,294,0,3.741,3.741,0.0
GJR-skewt,China_Deval_Oil,760,725,35,2.105,2.207,0.102
GJR-skewt,Normal,16657,16020,637,1.063,1.08,0.017
GJR-skewt,Q4_2018_Selloff,359,359,0,2.786,2.786,0.0
GJR-skewt,Rate_Shock_2022,1168,1168,0,1.027,1.027,0.0
GJR-skewt,Volmageddon,53,53,0,13.208,13.208,0.0
GJR-skewt,Yen_Carry_Unwind,42,42,0,7.143,7.143,0.0
RealGARCH,COVID_Crash,294,294,0,7.143,7.143,0.0
RealGARCH,China_Deval_Oil,725,725,0,3.724,3.724,0.0
RealGARCH,Normal,16020,16020,0,1.504,1.504,0.0
RealGARCH,Q4_2018_Selloff,359,359,0,4.178,4.178,0.0
RealGARCH,Rate_Shock_2022,1168,1168,0,2.312,2.312,0.0
RealGARCH,Volmageddon,53,53,0,11.321,11.321,0.0
RealGARCH,Yen_Carry_Unwind,42,42,0,9.524,9.524,0.0
QR-Full,COVID_Crash,279,279,0,7.885,7.885,0.0
QR-Full,China_Deval_Oil,322,322,0,3.727,3.727,0.0
QR-Full,Normal,12626,12626,0,1.125,1.125,0.0
QR-Full,Q4_2018_Selloff,339,339,0,4.425,4.425,0.0
QR-Full,Rate_Shock_2022,1145,1145,0,1.31,1.31,0.0
QR-Full,Volmageddon,44,44,0,9.091,9.091,0.0
QR-Full,Yen_Carry_Unwind,42,42,0,4.762,4.762,0.0
QR-Range,COVID_Crash,293,293,0,6.143,6.143,0.0
QR-Range,China_Deval_Oil,749,714,35,2.67,2.521,-0.149
QR-Range,Normal,16274,15644,630,1.155,1.157,0.002
QR-Range,Q4_2018_Selloff,349,349,0,2.292,2.292,0.0
QR-Range,Rate_Shock_2022,1149,1149,0,1.044,1.044,0.0
QR-Range,Volmageddon,53,53,0,13.208,13.208,0.0
QR-Range,Yen_Carry_Unwind,42,42,0,7.143,7.143,0.0
