index,model,n_obs,n_breach,expected,rate_pct,zone
SPX,GARCH-EVT,3243,39,32.4,1.203,green
SPX,GJR-skewt,3243,42,32.4,1.295,amber
SPX,RealGARCH,3243,73,32.4,2.251,red
SPX,QR-Full,2481,36,24.8,1.451,amber
SPX,QR-Range,3243,48,32.4,1.48,amber
NDX,GARCH-EVT,3243,49,32.4,1.511,amber
NDX,GJR-skewt,3243,49,32.4,1.511,amber
NDX,RealGARCH,3243,72,32.4,2.22,red
NDX,QR-Full,2695,36,26.9,1.336,amber
NDX,QR-Range,3243,44,32.4,1.357,amber
UKX,GARCH-EVT,3258,41,32.6,1.258,green
UKX,GJR-skewt,3258,42,32.6,1.289,amber
UKX,RealGARCH,3258,63,32.6,1.934,red
UKX,QR-Full,2718,41,27.2,1.508,amber
UKX,QR-Range,3179,41,31.8,1.29,amber
DAX,GARCH-EVT,3267,41,32.7,1.255,green
DAX,GJR-skewt,3267,41,32.7,1.255,green
DAX,RealGARCH,3265,52,32.6,1.593,amber
DAX,QR-Full,2474,27,24.7,1.091,green
DAX,QR-Range,3267,37,32.7,1.133,green
NKY,GARCH-EVT,3150,38,31.5,1.206,green
NKY,GJR-skewt,3150,38,31.5,1.206,green
NKY,RealGARCH,3150,58,31.5,1.841,red
NKY,QR-Full,1814,27,18.1,1.488,amber
NKY,QR-Range,3037,36,30.4,1.185,green
HSI,GARCH-EVT,3172,22,31.7,0.694,green
HSI,GJR-skewt,3172,24,31.7,0.757,green
HSI,RealGARCH,3172,36,31.7,1.135,green
HSI,QR-Full,2615,46,26.2,1.759,amber
HSI,QR-Range,2940,50,29.4,1.701,amber
