index,model_1,model_2,n,dm_stat,p,sig_5pct
SPX,GARCH-EVT,GJR-skewt,3243,0.3154535942252008,0.7524375837789619,False
SPX,GARCH-EVT,RealGARCH,3169,-0.0877972060599848,0.930043407491771,False
SPX,GARCH-EVT,QR-Full,2481,-0.022036153149425055,0.9824208892409618,False
SPX,GARCH-EVT,QR-Range,3243,0.5020537134709946,0.6156638327919168,False
SPX,GJR-skewt,RealGARCH,3169,-0.0979967402679571,0.9219410812716928,False
SPX,GJR-skewt,QR-Full,2481,-0.02563737772241353,0.9795486353851168,False
SPX,GJR-skewt,QR-Range,3243,0.49525944193279814,0.6204505611071545,False
SPX,RealGARCH,QR-Full,2481,0.2501029567773499,0.8025284447595165,False
SPX,RealGARCH,QR-Range,3169,1.0491278609071144,0.2941993021005387,False
SPX,QR-Full,QR-Range,2481,0.39808723499010396,0.6906001488795321,False
NDX,GARCH-EVT,GJR-skewt,3243,0.5025217633440131,0.6153346787355414,False
NDX,GARCH-EVT,RealGARCH,3243,0.5904718973937932,0.5549154772866447,False
NDX,GARCH-EVT,QR-Full,2695,0.9542028075238421,0.340066602657384,False
NDX,GARCH-EVT,QR-Range,3243,0.5406000001248554,0.5888204547779003,False
NDX,GJR-skewt,RealGARCH,3243,0.5807918727870715,0.5614211026244811,False
NDX,GJR-skewt,QR-Full,2695,0.9437947353727257,0.34535918282672085,False
NDX,GJR-skewt,QR-Range,3243,0.5276652210083355,0.5977678257844388,False
NDX,RealGARCH,QR-Full,2695,-0.6739196480329186,0.500420216682159,False
NDX,RealGARCH,QR-Range,3243,-0.057939710068435554,0.9538002228721538,False
NDX,QR-Full,QR-Range,2695,0.10751770888528153,0.9143862832457039,False
UKX,GARCH-EVT,GJR-skewt,3258,-1.1140029288263624,0.2653601308509206,False
UKX,GARCH-EVT,RealGARCH,3258,-0.34791150905362866,0.7279291244545703,False
UKX,GARCH-EVT,QR-Full,2718,0.016498609994171333,0.9868378223720005,False
UKX,GARCH-EVT,QR-Range,3179,0.42997585523220516,0.6672423575168809,False
UKX,GJR-skewt,RealGARCH,3258,-0.28936026640399076,0.7723241149745743,False
UKX,GJR-skewt,QR-Full,2718,0.05071351915200774,0.9595575315744453,False
UKX,GJR-skewt,QR-Range,3179,0.481332114868327,0.6303136147558845,False
UKX,RealGARCH,QR-Full,2718,-0.10906812123945729,0.9131565137470994,False
UKX,RealGARCH,QR-Range,3179,0.4651343591069105,0.641867110592474,False
UKX,QR-Full,QR-Range,2718,0.7670251578248883,0.44313320076774776,False
DAX,GARCH-EVT,GJR-skewt,3267,0.9269897217804045,0.3540003663619351,False
DAX,GARCH-EVT,RealGARCH,2765,-1.0364986017502762,0.3000602607836116,False
DAX,GARCH-EVT,QR-Full,2474,0.1237146286041064,0.9015512824410181,False
DAX,GARCH-EVT,QR-Range,3267,1.7513657942310552,0.07997678452298485,False
DAX,GJR-skewt,RealGARCH,2765,-1.0984875481575225,0.27208732906950117,False
DAX,GJR-skewt,QR-Full,2474,0.018848042750167274,0.9849638485140897,False
DAX,GJR-skewt,QR-Range,3267,1.6287027063655894,0.10347241495883708,False
DAX,RealGARCH,QR-Full,2474,0.801828532918669,0.42272918987760466,False
DAX,RealGARCH,QR-Range,2765,2.2054160886850362,0.027506947542205396,True
DAX,QR-Full,QR-Range,2474,1.4797074527844902,0.13907870695708535,False
NKY,GARCH-EVT,GJR-skewt,3150,0.6301293288490084,0.5286556923691932,False
NKY,GARCH-EVT,RealGARCH,3057,-2.083654689594537,0.03727448830477309,True
NKY,GARCH-EVT,QR-Full,1814,0.38940744461647114,0.697020499971257,False
NKY,GARCH-EVT,QR-Range,3037,0.06740002702673531,0.9462676858296581,False
NKY,GJR-skewt,RealGARCH,3057,-2.100017510234138,0.035809076210564283,True
NKY,GJR-skewt,QR-Full,1814,0.3887087916784612,0.6975372210092288,False
NKY,GJR-skewt,QR-Range,3037,0.052590784001562065,0.9580614200546176,False
NKY,RealGARCH,QR-Full,1814,1.5566288807772628,0.11973315616385993,False
NKY,RealGARCH,QR-Range,2948,1.4736428790298546,0.1406845721890715,False
NKY,QR-Full,QR-Range,1814,0.1285741941177357,0.8977088474676234,False
HSI,GARCH-EVT,GJR-skewt,3172,2.333490692150851,0.019684598693981092,True
HSI,GARCH-EVT,RealGARCH,3169,0.6990337342076033,0.4845822647992233,False
HSI,GARCH-EVT,QR-Full,2615,0.5343144258476337,0.5931694512915748,False
HSI,GARCH-EVT,QR-Range,2939,0.6232310527264512,0.5331810741808027,False
HSI,GJR-skewt,RealGARCH,3169,0.5610615190767742,0.5747952808595187,False
HSI,GJR-skewt,QR-Full,2615,0.43638420917959947,0.662594032801159,False
HSI,GJR-skewt,QR-Range,2939,0.490315326048521,0.6239473971128588,False
HSI,RealGARCH,QR-Full,2615,-0.07016385616509645,0.9440686089907695,False
HSI,RealGARCH,QR-Range,2939,-0.031093574621171807,0.9751970258849141,False
HSI,QR-Full,QR-Range,2614,0.018057718594306126,0.9855941867687179,False
