index,model,level_pct,n_obs,n_breach,expected,rate_pct,target_pct,kupiec_p,pass_kupiec
SPX,RealGARCH-t,99,3169,70.0,31.7,2.209,1.0,0.0,False
SPX,RealGARCH-skew-t,99,3169,50.0,31.7,1.578,1.0,0.0026,False
SPX,RealGARCH-t,97.5,3169,131.0,79.2,4.134,2.5,0.0,False
SPX,RealGARCH-skew-t,97.5,3169,109.0,79.2,3.44,2.5,0.0013,False
SPX,RealGARCH-t,95,3169,228.0,158.5,7.195,5.0,0.0,False
SPX,RealGARCH-skew-t,95,3169,189.0,158.5,5.964,5.0,0.0155,False
SPX,RealGARCH-t,QLIKE,3059,,,0.260725,,,
SPX,RealGARCH-skew-t,QLIKE,3059,,,0.247042,,,
NDX,RealGARCH-t,99,3252,71.0,32.5,2.183,1.0,0.0,False
NDX,RealGARCH-skew-t,99,3252,48.0,32.5,1.476,1.0,0.0108,False
NDX,RealGARCH-t,97.5,3252,136.0,81.3,4.182,2.5,0.0,False
NDX,RealGARCH-skew-t,97.5,3252,110.0,81.3,3.383,2.5,0.0022,False
NDX,RealGARCH-t,95,3252,247.0,162.6,7.595,5.0,0.0,False
NDX,RealGARCH-skew-t,95,3252,207.0,162.6,6.365,5.0,0.0006,False
NDX,RealGARCH-t,QLIKE,3064,,,0.218475,,,
NDX,RealGARCH-skew-t,QLIKE,3064,,,0.217968,,,
UKX,RealGARCH-t,99,3269,55.0,32.7,1.682,1.0,0.0004,False
UKX,RealGARCH-skew-t,99,3269,40.0,32.7,1.224,1.0,0.2144,True
UKX,RealGARCH-t,97.5,3269,110.0,81.7,3.365,2.5,0.0026,False
UKX,RealGARCH-skew-t,97.5,3269,91.0,81.7,2.784,2.5,0.3074,True
UKX,RealGARCH-t,95,3269,188.0,163.5,5.751,5.0,0.0541,True
UKX,RealGARCH-skew-t,95,3269,162.0,163.5,4.956,5.0,0.9072,True
UKX,RealGARCH-t,QLIKE,3166,,,0.128469,,,
UKX,RealGARCH-skew-t,QLIKE,3166,,,0.128875,,,
DAX,RealGARCH-t,99,2765,51.0,27.7,1.844,1.0,0.0001,False
DAX,RealGARCH-skew-t,99,2765,45.0,27.7,1.627,1.0,0.0024,False
DAX,RealGARCH-t,97.5,2765,117.0,69.1,4.231,2.5,0.0,False
DAX,RealGARCH-skew-t,97.5,2765,95.0,69.1,3.436,2.5,0.0028,False
DAX,RealGARCH-t,95,2765,198.0,138.2,7.161,5.0,0.0,False
DAX,RealGARCH-skew-t,95,2765,172.0,138.2,6.221,5.0,0.0045,False
DAX,RealGARCH-t,QLIKE,2755,,,0.178132,,,
DAX,RealGARCH-skew-t,QLIKE,2755,,,0.178548,,,
NKY,RealGARCH-t,99,3057,58.0,30.6,1.897,1.0,0.0,False
NKY,RealGARCH-skew-t,99,3057,50.0,30.6,1.636,1.0,0.0012,False
NKY,RealGARCH-t,97.5,3057,129.0,76.4,4.22,2.5,0.0,False
NKY,RealGARCH-skew-t,97.5,3057,123.0,76.4,4.024,2.5,0.0,False
NKY,RealGARCH-t,95,3057,226.0,152.8,7.393,5.0,0.0,False
NKY,RealGARCH-skew-t,95,3057,207.0,152.8,6.771,5.0,0.0,False
NKY,RealGARCH-t,QLIKE,2215,,,0.220151,,,
NKY,RealGARCH-skew-t,QLIKE,2215,,,0.220277,,,
HSI,RealGARCH-t,99,3169,36.0,31.7,1.136,1.0,0.4514,True
HSI,RealGARCH-skew-t,99,3169,32.0,31.7,1.01,1.0,0.9559,True
HSI,RealGARCH-t,97.5,3169,90.0,79.2,2.84,2.5,0.23,True
HSI,RealGARCH-skew-t,97.5,3169,84.0,79.2,2.651,2.5,0.5905,True
HSI,RealGARCH-t,95,3169,195.0,158.5,6.153,5.0,0.004,False
HSI,RealGARCH-skew-t,95,3169,172.0,158.5,5.428,5.0,0.2757,True
HSI,RealGARCH-t,QLIKE,3051,,,0.153209,,,
HSI,RealGARCH-skew-t,QLIKE,3051,,,0.153228,,,
